Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
47 Meters Down,2017,original screenplay,54,52,53,37,46,-9,42,12,,"horror, thriller",11205561,11.21,44307192,44.31,0.00,0,44307192,44.31,0.00%,5.5,805.59%,203.74%,,,https://www.amazon.co.uk/47-Metres-Down-Mandy-Moore/dp/B074CKGYXR/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981382&sr=1-1&keywords=47+Meters+Down,,,,,"Jun 16, 2017",
A Bad Moms Christmas,2017,sequel,28,42,35,50,48,2,49,-14,,comedy,16759161,16.76,69585639,69.59,45.70,45700000,115285639,115.29,39.64%,28,411.73%,59.85%,,,https://www.amazon.co.uk/Bad-Moms-Christmas/dp/B079J5YMFP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978904&sr=1-1&keywords=A+Bad+Moms+Christmas,,,,,"Nov 1, 2017",
A Cure for Wellness,2017,original screenplay,41,47,44,41,70,-29,56,-12,,horror,4356941,4.36,8106986,8.11,18.45,18452571,26559557,26.56,69.48%,40,66.40%,10.89%,,,https://www.amazon.co.uk/Cure-Wellness-Dane-DeHaan/dp/B01MV04KMG/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978969&sr=1-1&keywords=A+Cure+for+Wellness,,,,,"Feb 17, 2017",
A Dog's Purpose,2017,adaptation,33,43,38,73,59,14,66,-28,,"comedy, drama",18222810,18.22,64321890,64.32,131.88,131878234,196200124,196.20,67.22%,22,891.82%,82.83%,,,https://www.amazon.co.uk/Dogs-Purpose-Josh-Gad/dp/B071RN7MPQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977726&sr=1-1&keywords=A+Dog27s+Purpose,,,,,"Jan 27, 2017",
A United Kingdom,2017,based on a true story,84,65,75,78,65,13,72,3,,drama,66510,0.07,3902185,3.90,9.92,9916954,13819139,13.82,71.76%,14,98.71%,0.48%,,,https://www.amazon.co.uk/United-Kingdom-David-Oyelowo/dp/B01N0EMX88/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981660&sr=1-1&keywords=A+United+Kingdom,,,,,"Feb 10, 2017",
Alien: Covenant,2017,sequel,68,65,67,56,60,-4,58,9,,"sci-fi, horror",36160621,36.16,74262031,74.26,166.48,166483733,240745764,240.75,69.15%,97,248.19%,37.28%,,,https://www.amazon.co.uk/Alien-Covenant-Michael-Fassbender/dp/B0725JLQ47/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981509&sr=1-1&keywords=Alien3A+Covenant,,,,,"May 19, 2017",
All Eyez on Me,2017,based on a true story,18,38,28,54,42,12,48,-20,,drama,26435354,26.44,44922302,44.92,0.00,0,44922302,44.92,0.00%,40,112.31%,66.09%,,,https://www.amazon.co.uk/All-Eyez-Me-Benny-Boom/dp/B0721Z3YBW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978525&sr=1-1&keywords=All+Eyez+on+Me,,,,,"Jun 16, 2017",
All Saints,2017,original screenplay,93,63,78,78,56,22,67,11,,drama,1514278,1.51,5802208,5.80,0.14,140357,5942565,5.94,2.36%,2,297.13%,75.71%,,,https://www.amazon.co.uk/All-Saints-Patrick-Johnson/dp/B077ZBZG3S/ref=sr_1_6?s=instant-video&ie=UTF8&qid=1546981416&sr=1-6&keywords=All+Saints,,,,,"Aug 25, 2017",
American Assassin,2017,adaptation,34,45,40,64,60,4,62,-23,,"action, adventure",14846778,14.85,36249674,36.25,29.92,29918277,66167951,66.17,45.22%,33,200.51%,44.99%,,,https://www.amazon.co.uk/American-Assassin-Dylan-OBrien/dp/B075K8NXHR/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977848&sr=1-1&keywords=American+Assassin,,,,,"Sep 15, 2017",
American Made,2017,original screenplay,87,65,76,79,68,11,74,3,,"crime, thriller",16776390,16.78,51338325,51.34,83.52,83524593,134862918,134.86,61.93%,50,269.73%,33.55%,,,https://www.amazon.co.uk/American-Made-Tom-Cruise/dp/B074VCGX4L/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981630&sr=1-1&keywords=American+Made,,,,,"Sep 29, 2017",
