Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Annabelle: Creation,2017,prequel,69,62,66,68,68,0,68,-3,,horror,35006404,35.01,102092201,102.09,203.70,203700000,305792201,305.79,66.61%,15,2038.61%,233.38%,,,https://www.amazon.co.uk/Annabelle-Creation-David-F-Sandberg/dp/B074SYP8BL/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980777&sr=1-1&keywords=Annabelle3A+Creation,,,,,"Aug 11, 2017",
Atomic Blonde,2017,adaptation,76,63,70,65,66,-1,66,4,,thriller,18286420,18.29,51573925,51.57,44.10,44100000,95673925,95.67,46.09%,30,318.91%,60.95%,,,https://www.amazon.co.uk/Atomic-Blonde-David-Leitch/dp/B074K14RZS/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981671&sr=1-1&keywords=Atomic+Blonde,,,,,"Jul 28, 2017",
Baahubali 2: The Conclusion,2017,sequel,100,-,-,87,85,2,86,-,,"action, adventure",10430497,10.43,20186659,20.19,121.32,121319777,141506436,141.51,85.73%,39,362.84%,26.74%,,,https://www.amazon.co.uk/Baahubali-2-Conclusion-Hindi-Version/dp/B075DFVZZH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981161&sr=1-1&keywords=Baahubali+23A+The+Conclusion,,,,,"Apr 28, 2017",
Baby Driver,2017,original screenplay,93,86,90,86,79,7,83,7,,"action, crime",20553320,20.55,107825862,107.83,119.12,119119225,226945087,226.95,52.49%,34,667.49%,60.45%,,,https://www.amazon.co.uk/Baby-Driver-Jamie-Foxx/dp/B073DPLHDW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981529&sr=1-1&keywords=Baby+Driver,,,,,"Jun 28, 2017",
Battle of the Sexes,2017,based on a true story,86,73,80,76,59,17,68,12,,sports,518332,0.52,12626314,12.63,0.00,0,12626314,12.63,0.00%,25,50.51%,2.07%,,,https://www.amazon.co.uk/Battle-Sexes-Emma-Stone/dp/B0771YHP82/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981315&sr=1-1&keywords=Battle+of+the+Sexes,,,,,"Sep 22, 2017",
Baywatch,2017,adaptation,18,37,28,56,45,11,51,-23,,"action, comedy",18503871,18.50,58060186,58.06,119.80,119796565,177856751,177.86,67.36%,69,257.76%,26.82%,,,https://www.amazon.co.uk/Baywatch-Extended-Cut-Dwayne-Johnson/dp/B072JHF2L6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977838&sr=1-1&keywords=Baywatch,,,,,"May 25, 2017",
Beatriz At Dinner,2017,original screenplay,75,68,72,56,52,4,54,18,,comedy,141959,0.14,7115854,7.12,0.00,0,7115854,7.12,0.00%,-,-,-,,,https://www.amazon.co.uk/Dinner-Steve-Coogan/dp/B07BMDS55H/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981246&sr=1-1&keywords=Beatriz+At+Dinner,,,,,"Jun 9, 2017",
Beauty and the Beast,2017,adaptation,71,65,68,81,68,13,75,-7,,fantasy,174750616,174.75,504014165,504.01,759.51,759506961,1263521126,1263.52,60.11%,160,789.70%,109.22%,,,https://www.amazon.co.uk/Beauty-Beast-Theatrical-Version-Condon/dp/B06XKXYK8G/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546980543&sr=1-2&keywords=Beauty+and+the+Beast,,,,,"Mar 17, 2017",
Before I Fall,2017,adaptation,63,58,61,57,62,-5,60,1,,drama,4690214,4.69,12241122,12.24,0.00,0,12241122,12.24,0.00%,5,244.82%,93.80%,,,-,,,,,"Mar 3, 2017",
Birth of the Dragon,2017,original screenplay,23,35,29,72,45,27,59,-30,,action,2702430,2.70,6901965,6.90,0.00,0,6901965,6.90,0.00%,31,22.26%,8.72%,,,https://www.amazon.co.uk/Birth-Dragon-Philip-Wan-lung-Ng/dp/B07C2T84BM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977658&sr=1-1&keywords=Birth+of+the+Dragon,,,,,"Aug 25, 2017",
Blade Runner 2049,2017,sequel,87,81,84,81,84,-3,83,2,,sci-fi,32753122,32.75,91366477,91.37,166.40,166400313,257766790,257.77,64.55%,150,171.84%,21.84%,Oscar Winner,"Best Cinematography, Best Visual Effects",https://www.amazon.co.uk/Blade-Runner-2049-Harrison-Ford/dp/B0764VPQ4N/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981066&sr=1-1&keywords=Blade+Runner+2049,,,,,"Oct 6, 2017",
Captain Underpants: The First Epic Movie,2017,adaptation,86,69,78,61,67,-6,64,14,,animation,23851539,23.85,73921000,73.92,51.37,51368450,125289450,125.29,41.00%,38,329.71%,62.77%,,,https://www.amazon.co.uk/Captain-Underpants-First-Epic-Movie/dp/B079HNQQWV/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981307&sr=1-1&keywords=Captain+Underpants3A+The+First+Epic+Movie,,,,,"Jun 2, 2017",
Cars 3,2017,sequel,68,59,64,71,70,1,71,-7,,animation,53688680,53.69,152901115,152.90,230.81,230814641,383715756,383.72,60.15%,175,219.27%,30.68%,,,https://www.amazon.co.uk/Cars-Bonus-Content-Owen-Wilson/dp/B073X1F22B/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980522&sr=1-1&keywords=Cars+3,,,,,"Jun 16, 2017",
CHiPs,2017,adaptation,17,28,23,45,42,3,44,-21,,"action, comedy",7722802,7.72,18600152,18.60,8.20,8200000,26800152,26.80,30.60%,25,107.20%,30.89%,,,https://www.amazon.co.uk/CHiPs-Law-Disorder-Dax-Shepard/dp/B06XTTD233/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978236&sr=1-1&keywords=CHiPs,,,,,"Mar 24, 2017",
Close Encounters of the Third Kind (40th Anniversary),2017,original screenplay,100,90,95,92,78,14,85,10,,sci-fi,1767758,1.77,3100479,3.10,0.00,0,3100479,3.10,0.00%,20,15.50%,8.84%,,,https://www.amazon.co.uk/Close-Encounters-Third-Kind-Collectors/dp/B077FJTZ2W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981445&sr=1-1&keywords=Close+Encounters+of+the+Third+Kind+2840th+Anniversary29,,,,,"Sep 1, 2017",
Coco,2017,original screenplay,97,81,89,96,83,13,90,-1,,animation,50802605,50.80,139715473,139.72,263.00,263000000,402715473,402.72,65.31%,188,214.78%,27.09%,Oscar Winner,"Best Original Song, Best Animated Feature",https://www.amazon.co.uk/Coco-Theatrical-Version-Anthony-Gonzalez/dp/B0792J311W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980935&sr=1-1&keywords=Coco,,,,,"Nov 22, 2017",
Colossal,2017,original screenplay,80,70,75,59,61,-2,60,15,,"sci-fi, action",120226,0.12,3029287,3.03,0.00,0,3029287,3.03,0.00%,15,20.20%,0.80%,,,https://www.amazon.co.uk/Colossal-Anne-Hathaway/dp/B075DHWK1H/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981255&sr=1-1&keywords=Colossal,,,,,"Apr 7, 2017",
Daddy's Home 2,2017,sequel,18,30,24,59,60,-1,60,-36,,comedy,29651193,29.65,92470376,92.47,53.47,53469916,145940292,145.94,36.64%,69,211.51%,42.97%,,,https://www.amazon.co.uk/Daddys-Home-2-Will-Ferrell/dp/B078451C96/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977530&sr=1-1&keywords=Daddy27s+Home+2,,,,,"Nov 10, 2017",
Despicable Me 3,2017,sequel,60,49,55,55,57,-2,56,-2,,animation,72434025,72.43,264556235,264.56,768.88,768883847,1033440082,1033.44,74.40%,80,1291.80%,90.54%,,,https://www.amazon.co.uk/Despicable-Me-3-Kristen-Wiig/dp/B073DFVGKK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980885&sr=1-1&keywords=Despicable+Me+3,,,,,"Jun 30, 2017",
Detroit,2017,"adaptation, based on a true story",83,78,81,80,62,18,71,10,,"crime, drama",350190,0.35,16790139,16.79,0.00,0,16790139,16.79,0.00%,34,49.38%,1.03%,,,https://www.amazon.co.uk/Detroit-John-Boyega/dp/B074MS7TFB/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981497&sr=1-1&keywords=Detroit,,,,,"Aug 4, 2017",
Diary of a Wimpy Kid: The Long Haul,2017,"adaptation, sequel",20,39,30,34,35,-1,35,-5,,comedy,7126084,7.13,20738724,20.74,19.40,19402248,40140972,40.14,48.34%,22,182.46%,32.39%,,,https://www.amazon.co.uk/Diary-Wimpy-Kid-Long-Haul/dp/B0728JLB46/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980612&sr=1-1&keywords=Diary+of+a+Wimpy+Kid3A+The+Long+Haul,,,,,"May 19, 2017",
Dunkirk,2017,original screenplay,92,94,93,82,84,-2,83,10,,"action, thriller",50513488,50.51,188045546,188.05,337.00,337000000,525045546,525.05,64.18%,100,525.05%,50.51%,Oscar Winner,"Best Film Editing, Best Sound Editing, Best Sound Mixing",https://www.amazon.co.uk/Dunkirk-Christopher-Nolan/dp/B076QYZ5NC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981488&sr=1-1&keywords=Dunkirk,,,,,"Jul 21, 2017",
"Everything, Everything",2017,adaptation,46,52,49,62,48,14,55,-6,,drama,11727390,11.73,34121140,34.12,27.50,27500000,61621140,61.62,44.63%,10,616.21%,117.27%,,,https://www.amazon.co.uk/Everything-Amandla-Stenberg/dp/B074MR3XGM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980574&sr=1-1&keywords=Everything2C+Everything,,,,,"May 19, 2017",
Fifty Shades Darker,2017,"sequel, adaptation",10,33,22,49,30,19,40,-18,,romance,46607250,46.61,114434010,114.43,266.55,266547533,380981543,380.98,69.96%,55,692.69%,84.74%,,,https://www.amazon.co.uk/Fifty-Shades-Darker-Dakota-Johnson/dp/B01N4TQAB4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978565&sr=1-1&keywords=Fifty+Shades+Darker,,,,,"Feb 10, 2017",
Fist Fight,2017,original screenplay,26,37,32,41,50,-9,46,-14,,comedy,12201873,12.20,32187017,32.19,8.90,8900000,41087017,41.09,21.66%,25,164.35%,48.81%,,,https://www.amazon.co.uk/Fist-Fight-Ice-Cube/dp/B06XDR22Z7/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978913&sr=1-1&keywords=Fist+Fight,,,,,"Feb 17, 2017",
Flatliners,2017,remake,5,27,16,38,28,10,33,-17,,"sci-fi, horror",6574326,6.57,16883115,16.88,26.68,26675700,43558815,43.56,61.24%,19,229.26%,34.60%,,,https://www.amazon.co.uk/Flatliners-Ellen-Page/dp/B075R2WJP7/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546978605&sr=1-2&keywords=Flatliners,,,,,"Sep 29, 2017",
Friend Request,2017,original screenplay,15,31,23,30,38,-8,34,-11,,horror,2002863,2.00,3759078,3.76,0.00,0,3759078,3.76,0.00%,9.9,37.97%,20.23%,,,https://www.amazon.co.uk/Friend-Request-Alycia-Debnam-Carey/dp/B01KUVL2KA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546979574&sr=1-1&keywords=Friend+Request,,,,,"Sep 22, 2017",
Geostorm,2017,original screenplay,13,21,17,41,37,4,39,-22,,action,13707376,13.71,33287280,33.29,174.40,174400000,207687280,207.69,83.97%,120,173.07%,11.42%,,,https://www.amazon.co.uk/Geostorm-Gerard-Butler/dp/B0765Q426P/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978196&sr=1-1&keywords=Geostorm,,,,,"Oct 20, 2017",
Get Out,2017,original screenplay,99,84,92,87,75,12,81,11,,horror,33377060,33.38,175484140,175.48,78.85,78845376,254329516,254.33,31.00%,4.5,5651.77%,741.71%,Oscar Winner,Best Original Screenplay,https://www.amazon.co.uk/Get-Out-Daniel-Kaluuya/dp/B072XM6DBW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981433&sr=1-1&keywords=Get+Out,,,,,"Feb 24, 2017",
Ghost in the Shell ,2017,adaptation,45,52,49,52,69,-17,61,-12,,"sci-fi, action",18676033,18.68,40563557,40.56,129.24,129238364,169801921,169.80,76.11%,110,154.37%,16.98%,,,https://www.amazon.co.uk/Ghost-Shell-Scarlett-Johansson/dp/B06XRVRXMX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978938&sr=1-1&keywords=Ghost+in+the+Shell,,,,,"Mar 31, 2017",
Gifted,2017,original screenplay,73,60,67,85,76,9,81,-14,,drama,446380,0.45,24801212,24.80,17.63,17634981,42436193,42.44,41.56%,7,606.23%,6.38%,,,https://www.amazon.co.uk/Gifted-Marc-Webb/dp/B071WXC22Q/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978921&sr=1-1&keywords=Gifted,,,,,"Apr 7, 2017",
Girls Trip,2017,original screenplay,89,71,80,80,56,24,68,12,,comedy,31201920,31.20,115108515,115.11,23.50,23500000,138608515,138.61,16.95%,19,729.52%,164.22%,,,https://www.amazon.co.uk/Girls-Trip-Regina-Hall/dp/B073ZY12PY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981359&sr=1-1&keywords=Girls+Trip,,,,,"Jul 21, 2017",
Going in Style ,2017,remake,48,50,49,58,58,0,58,-9,,comedy,11932330,11.93,45018541,45.02,39.90,39900000,84918541,84.92,46.99%,25,339.67%,47.73%,,,https://www.amazon.co.uk/Going-Style-Morgan-Freeman/dp/B06Y1BJKSP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980067&sr=1-1&keywords=Going+in+Style,,,,,"Apr 7, 2017",
Gold,2017,based on a true story,43,49,46,45,64,-19,55,-9,,adventure,3471316,3.47,7227038,7.23,0.00,0,7227038,7.23,0.00%,20,36.14%,17.36%,,,https://www.amazon.co.uk/Gold-Matthew-McConaughey/dp/B01N24A6KK/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546980446&sr=1-2&keywords=Gold,,,,,"Jan 27, 2017",
Guardians of the Galaxy Vol. 2,2017,"sequel, adaptation",83,67,75,88,78,10,83,-8,,"action, adventure",146510104,146.51,389813101,389.81,473.75,473752426,863565527,863.57,54.86%,200,431.78%,73.26%,,,https://www.amazon.co.uk/Guardians-Galaxy-Vol-Theatrical-Version/dp/B071DPLCRK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980468&sr=1-1&keywords=Guardians+of+the+Galaxy+Vol.+2,,,,,"May 5, 2017",
Happy Death Day,2017,original screenplay,71,57,64,66,66,0,66,-2,,horror,26039025,26.04,55681005,55.68,56.70,56700000,112381005,112.38,50.45%,4.8,2341.27%,542.48%,,,https://www.amazon.co.uk/Happy-Death-Day-Jessica-Rothe/dp/B076THF46M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980828&sr=1-1&keywords=Happy+Death+Day,,,,,"Oct 13, 2017",
Home Again,2017,original screenplay,31,41,36,50,58,-8,54,-18,,"romance, comedy",8567881,8.57,27020284,27.02,0.00,0,27020284,27.02,0.00%,12,225.17%,71.40%,,,https://www.amazon.co.uk/Home-Again-Reese-Witherspoon/dp/B077PLFHJ6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978576&sr=1-1&keywords=Home+Again,,,,,"Sep 8, 2017",
How to be a Latin Lover,2017,original screenplay,38,54,46,62,54,8,58,-12,,comedy,12252439,12.25,32149404,32.15,29.73,29731968,61881372,61.88,48.05%,10,618.81%,122.52%,,,https://www.amazon.co.uk/How-Latin-Lover-Salma-Hayek/dp/B074G4C1FP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978945&sr=1-1&keywords=How+to+be+a+Latin+Lover,,,,,"Apr 28, 2017",
Ingrid Goes West,2017,original screenplay,85,71,78,73,73,0,73,5,,comedy,135301,0.14,3024308,3.02,0.00,0,3024308,3.02,0.00%,3,100.81%,4.51%,,,https://www.amazon.co.uk/Ingrid-Goes-West-Aubrey-Plaza/dp/B07BB6RM46/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981553&sr=1-1&keywords=Ingrid+Goes+West,,,,,"Aug 11, 2017",
It,2017,adaptation,85,70,78,85,80,5,83,-5,,horror,123403419,123.40,327475366,327.48,368.20,368200000,695675366,695.68,52.93%,35,1987.64%,352.58%,,,https://www.amazon.co.uk/Bill-Skarsgard/dp/B0756WYLZH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980603&sr=1-1&keywords=It,,,,,"Sep 8, 2017",
It Comes At Night,2017,original screenplay,88,78,83,43,62,-19,53,31,,horror,5988370,5.99,13985117,13.99,5.30,5295814,19280931,19.28,27.47%,2.4,803.37%,249.52%,,,https://www.amazon.co.uk/Comes-at-Night-Joel-Edgerton/dp/B076VQ54MV/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981172&sr=1-1&keywords=It+Comes+At+Night,,,,,"Jun 9, 2017",
Jigsaw,2017,sequel,34,39,37,92,60,32,76,-40,,horror,16640452,16.64,37899565,37.90,63.12,63120449,101020014,101.02,62.48%,10,1010.20%,166.40%,,,https://www.amazon.co.uk/Jigsaw-Michael-Spierig/dp/B076TY3PTX/ref=sr_1_cc_2?s=aps&ie=UTF8&qid=1546977478&sr=1-2-catcorr&keywords=jigsaw+2017,,,,,"Oct 27, 2017",
John Wick: Chapter Two,2017,sequel,89,75,82,85,81,4,83,-1,,action,30436123,30.44,92029184,92.03,79.51,79510703,171539887,171.54,46.35%,40,428.85%,76.09%,,,https://www.amazon.co.uk/John-Wick-Chapter-Thomas-Sadoski/dp/B06WD5LZG2/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980924&sr=1-1&keywords=John+Wick3A+Chapter+Two,,,,,"Feb 10, 2017",
Just Getting Started,2017,original screenplay,5,21,13,17,41,-24,29,-16,,"action, comedy",3201459,3.20,4278904,4.28,0.00,0,4278904,4.28,0.00%,22,19.45%,14.55%,,,-,,,,,"Dec 8, 2017",
Justice League,2017,adaptation,40,45,43,80,69,11,75,-32,,"action, adventure",93842239,93.84,214723646,214.72,402.60,402600000,617323646,617.32,65.22%,300,205.77%,31.28%,,,https://www.amazon.co.uk/Justice-League-Ben-Affleck/dp/B074M867H6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977632&sr=1-1&keywords=Justice+League,,,,,"Nov 17, 2017",
Kidnap ,2017,original screenplay,38,44,41,51,46,5,49,-8,,"action, thriller",10016323,10.02,30718107,30.72,0.00,0,30718107,30.72,0.00%,21,146.28%,47.70%,,,-,,,,,"Aug 4, 2017",
King Arthur: Legend of the Sword,2017,original screenplay,29,41,35,69,72,-3,71,-36,,adventure,15371270,15.37,39175066,39.18,109.50,109500000,148675066,148.68,73.65%,175,84.96%,8.78%,,,https://www.amazon.co.uk/King-Arthur-Legend-Charlie-Hunnam/dp/B0716QNRNJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977541&sr=1-1&keywords=King+Arthur3A+Legend+of+the+Sword,,,,,"May 12, 2017",
Kingsman: The Golden Circle,2017,"sequel, adaptation",51,44,48,68,66,2,67,-20,,"action, comedy",39023010,39.02,100148463,100.15,295.22,295224607,395373070,395.37,74.67%,104,380.17%,37.52%,,,https://www.amazon.co.uk/Kingsman-Golden-Circle-Colin-Firth/dp/B075MN78VR/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978535&sr=1-1&keywords=Kingsman3A+The+Golden+Circle,,,,,"Sep 22, 2017",
Kong: Skull Island,2017,remake,76,62,69,70,67,3,69,1,,"action, adventure",61025472,61.03,168052812,168.05,398.60,398600000,566652812,566.65,70.34%,185,306.30%,32.99%,,,https://www.amazon.co.uk/Kong-Skull-Island-Tom-Hiddleston/dp/B06XG9S786/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980962&sr=1-1&keywords=Kong3A+Skull+Island,,,,,"Mar 10, 2017",
Lady Bird,2017,original screenplay,99,94,97,84,81,3,83,14,,"comedy, drama",364437,0.36,23531261,23.53,0.00,0,23531261,23.53,0.00%,10,235.31%,3.64%,,,https://www.amazon.co.uk/Lady-Bird-Saoirse-Ronan/dp/B079RWGWRK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981285&sr=1-1&keywords=Lady+Bird,,,,,"Nov 3, 2017",
Leap!,2017,original screenplay,37,48,43,63,64,-1,64,-21,,animation,4730038,4.73,21858070,21.86,84.20,84197417,106055487,106.06,79.39%,30,353.52%,15.77%,,,https://www.amazon.co.uk/Leap-Marshall-Goldsmith/dp/B07JN82NSS/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978228&sr=1-1&keywords=Leap21,,,,,"Aug 25, 2017",
Let there be Light,2017,original screenplay,60,-,-,78,55,23,67,-,,drama,1729535,1.73,7184198,7.18,0.00,0,7184198,7.18,0.00%,3,239.47%,57.65%,,,-,,,,,"Nov 10, 2017",
Life ,2017,original screenplay,67,54,61,55,63,-8,59,2,,"sci-fi, thriller",12501936,12.50,30234022,30.23,70.31,70307784,100541806,100.54,69.93%,58,173.35%,21.56%,,,https://www.amazon.co.uk/Life-Ryan-Reynolds/dp/B06XR9ZN8P/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981078&sr=1-1&keywords=Life,,,,,"Mar 24, 2017",
Logan,2017,adaptation,93,77,85,90,87,3,89,-4,,"action, adventure",88411916,88.41,226277068,226.28,390.52,390518532,616795600,616.80,63.31%,97,635.87%,91.15%,,,https://www.amazon.co.uk/Logan-Hugh-Jackman/dp/B06X96QF44/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980685&sr=1-1&keywords=Logan,,,,,"Mar 3, 2017",
Logan Lucky,2017,original screenplay,93,78,86,76,68,8,72,14,,"action, comedy",7600036,7.60,27780977,27.78,19.45,19450002,47230979,47.23,41.18%,29,162.87%,26.21%,,,https://www.amazon.co.uk/Logan-Lucky-Channing-Tatum/dp/B074XKRS1B/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981296&sr=1-1&keywords=Logan+Lucky,,,,,"Aug 18, 2017",
Loving Vincent,2017,based on a true story,82,62,72,89,84,5,87,-15,,animation,23180,0.02,5784242,5.78,0.00,0,5784242,5.78,0.00%,5.5,105.17%,0.42%,,,https://www.amazon.co.uk/Loving-Vincent-Aidan-Turner/dp/B078TY5CR3/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978897&sr=1-1&keywords=Loving+Vincent,,,,,"Oct 13, 2017",
Lowriders,2017,original screenplay,55,57,56,63,-,-,-,-,,drama,2403885,2.40,6179955,6.18,0.00,0,6179955,6.18,0.00%,1,686.66%,267.10%,,,https://www.amazon.co.uk/Lowriders-Demian-Bichir/dp/B074TK7SYD/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981116&sr=1-1&keywords=Lowriders,,,,,"May 12, 2017",
