Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2019/?ref_=bo_yl_table_5
The Angry Birds Movie 2,2019,sequel,73,60,67,84,68,16,76,-10,,adventure,10354073,10.4,41657076,41.7,105.1,105078230,146735306,146.7,71.6,65,225.75%,16.00%,,,https://www.amazon.co.uk/Angry-Birds-Movie-2/dp/B07VWSSQXQ/ref=sr_1_1?crid=2PFLHZ3NPJTH8&keywords=the+angry+birds+movie+2&qid=1577974335&s=instant-video&sprefix=The+Angry+Birds+Movie+22Cinstant-video2C146&sr=1-1,,Sony Pictures,6.4,20,"August 14, 2019",,
The Art of Racing in the Rain,2019,adaptation,44,43,44,96,76,20,86,-43,,drama,8137584,8.1,26402818,26.4,7.4,7371145,33773963,33.8,21.9,-,-,-,,,https://www.amazon.co.uk/Art-Racing-Rain-Simon-Curtis/dp/B07W7L527W/ref=sr_1_1?keywords=The+Art+of+Racing+in+the+Rain&qid=1577974343&s=instant-video&sr=1-1,,20th Century Fox,7.5,21,"August 9, 2019",,
The Art of Self-Defense,2019,original screenplay,83,65,74,63,65,-2,64,10,,comedy,114374,0.1,2410914,2.4,0.0,3604,2414518,2.4,0.2,-,-,-,,,https://www.amazon.co.uk/Art-Self-Defense-Jesse-Eisenberg/dp/B07ZTW7124/ref=sr_1_2?crid=11UCQAEG13O18&keywords=the+art+of+self+defence+movie&qid=1694550298&sprefix=the+art+of+self%2Caps%2C177&sr=8-2,,Bleecker Street,6.6,-3,"July 19, 2019",,
The Beach Bum,2019,original screenplay,52,56,54,32,61,-29,47,8,,comedy,1763070,1.8,3005408,3,0,0,3005408,3,0.0,5,60.11%,36.00%,,,https://www.amazon.co.uk/Beach-Bum-Matthew-McConaughey/dp/B07Z5DFTR1/ref=sr_1_1?keywords=The+Beach+Bum&qid=1577974354&s=instant-video&sr=1-1,,NEON,5.5,-23,"March 29, 2019",,
The Best of Enemies,2019,adaptation,53,49,51,76,49,27,63,-12,,"biography, drama, history",4446190,4.4,4446190,4.4,0,0,4446190,4.4,0.0,10,44.46%,44.00%,,,https://www.amazon.co.uk/Enemies-Morgan-Neville-Robert-Gordon/dp/B012DK04JG/ref=sr_1_1?keywords=The+Best+of+Enemies&qid=1557074720&s=instant-video&sr=1-1,,STX Entertainment,7.3,3,"April 5, 2019",,
The Curse of La Llorona,2019,original screenplay,29,41,35,40,47,-7,44,-9,,horror,26347631,26.3,54733739,54.7,67.4,67400000,122133739,122.1,55.2,9,1357.04%,292.22%,,,https://www.amazon.co.uk/Curse-Llorona-Linda-Cardellini/dp/B07RD3HCP8/ref=sr_1_1?keywords=The+Curse+of+La+Llorona&qid=1577974362&s=instant-video&sr=1-1,,Warner Bros. Pictures,5.2,-12,"April 19, 2019",,
The Dead Don't Die,2019,original screenplay,55,53,54,38,55,-17,47,8,,"comedy, horror",2540240,2.5,6782066,6.8,9.0,8961988,15744054,15.7,57.3,-,-,-,,,https://www.amazon.co.uk/Dead-Dont-Die-Bill-Murray/dp/B07VNTYXY6/ref=sr_1_1?crid=1C9KBT0YASFB2&keywords=the+dead+don%27t+die&qid=1694550274&sprefix=the+dead+dont+die%2Caps%2C354&sr=8-1,,Focus Features,5.5,-17,"June 14, 2019",,
The Farewell,2019,based on a true story,99,89,94,87,89,-2,88,6,,comedy,355662,0.4,17700478,17.7,1.9,1906283,19606761,19.6,9.7,3,653.56%,13.33%,,,https://www.amazon.co.uk/Farewell-PoLin/dp/B082LS2P8N/ref=sr_1_1?crid=W489TX2UC8JL&keywords=the+farewell&qid=1577974370&s=instant-video&sprefix=The+Farewell2Cinstant-video2C154&sr=1-1,,A24,7.5,12,"July 12, 2019",,
The Goldfinch,2019,adaptation,24,40,32,72,70,2,71,-39,,drama,2679027,2.7,5332621,5.3,4.6,4600000,9932621,9.9,46.5,45,22.07%,6.00%,,,https://www.amazon.co.uk/Goldfinch-Ansel-Elgort/dp/B083ZS783Z/ref=sr_1_1?crid=2PSJIXP9VK3AY&keywords=the+goldfinch&qid=1694218635&s=instant-video&sprefix=the+goldfinch%2Cinstant-video%2C334&sr=1-1,,Warner Bros. Pictures,6.4,8,"September 13, 2019",,
The Good Liar,2019,adaptation,66,55,61,85,48,37,67,-6,,thriller,5605051,5.6,15486968,15.5,9.6,9600000,25086968,25.1,38.2,10,250.87%,56.00%,,,https://www.amazon.co.uk/Good-Liar-Bill-Condon/dp/B081PPT83H/ref=sr_1_1?keywords=The+Good+Liar&qid=1577974386&s=instant-video&sr=1-1,,Warner Bros. Pictures,6.7,18,"November 15, 2019",,
