Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2019/?ref_=bo_yl_table_5
21 Bridges,2019,original screenplay,50,51,51,91,62,29,77,-26,,thriller,9261268,9.3,20676747,20.7,2.7,2730000,23406747,23.4,11.5,33.0,70.93%,28.18%,,,https://www.amazon.co.uk/21-Bridges-Chadwick-Boseman/dp/B0815XQL3L/ref=sr_1_2?keywords=21+Bridges&qid=1577972909&s=instant-video&sr=1-2,,STX Entertainment,6.6,25,"Nov 22, 2019",,
47 Meters Down: Uncaged,2019,sequel,42,43,43,68,55,13,62,-19,,thriller,8427265,8.4,22260900,22.3,17.6,17649616,39910516,39.9,44.1,12.0,332.59%,70.00%,,,https://www.amazon.co.uk/47-Metres-Down-Uncaged-DVD/dp/B081KQ2NTY/ref=sr_1_2?crid=3AEN2LCEDK0HJ&keywords=47+meters+down+uncaged+movie&qid=1577972928&s=instant-video&sprefix=47+Meters+Down3A+Uncaged2Cinstant-video2C226&sr=1-2-catcorr,,Entertainment Studios,5.0,18,"Aug 16, 2019",,
A Beautiful Day in the Neighbourhood,2019,original screenplay,95,80,88,91,71,20,81,7,,drama,13251238,13.3,37144754,37.1,0.0,0,37144754,37.1,0.0,25.0,148.58%,53.20%,,,https://www.amazon.co.uk/Beautiful-Day-Neighbourhood-Tom-Hanks/dp/B0848RVCTK/ref=sr_1_2?crid=276KZP5BKDKBU&keywords=a+beautiful+day+in+the+neighborhood&qid=1694218183&sprefix=a+beautiful+day+in+the+%2Caps%2C261&sr=8-2,,Sony Pictures,7.2,19,"Nov 22, 2019",,
A Dog's Way Home,2019,adaptation,62,50,56,73,51,22,62,-6,,"adventure, drama, family",11251263,11.3,42004346,42.0,33.1,33054369,75058715,75.1,44.1,18.0,416.99%,62.78%,,,https://www.amazon.co.uk/Dogs-Way-Home-Chris-Bauer/dp/B07N1VQCXY/ref=sr_1_2?keywords=A+Dog27s+Way+Home&qid=1557072732&s=instant-video&sr=1-2,,Sony Pictures,6.7,6,"Jan 11, 2019",,
A Dog’s Journey,2019,adaptation,50,43,47,92,70,22,81,-35,,drama,8030085,8.0,22546590,22.5,49.2,49200000,71746590,71.7,68.6,22.0,326.12%,36.36%,,,https://www.amazon.co.uk/Dogs-Journey-Marg-Helgenberger/dp/B07WZ116NH/ref=sr_1_1?keywords=A+DogE28099s+Journey&qid=1577972984&s=instant-video&sr=1-1,,Universal Pictures,7.4,18,"May 17, 2019",,
A Hidden Life,2019,based on a true story,83,79,81,71,88,-17,80,2,,"biography, drama, romance",50383,0.1,1015637,1.0,1.0,1015637,2031274,2.0,50.0,8.0,25.39%,1.25%,,,https://www.amazon.co.uk/Hidden-Life-Terrence-Malick/dp/B083ZWJ1VB/ref=sr_1_1?crid=28QG0SFYB8YMJ&keywords=a+hidden+life&qid=1694218201&sprefix=a+hidden+life%2Caps%2C224&sr=8-1,,Fox Searchlight,7.4,-3,"Dec 13, 2019",,
A Madea Family Funeral,2019,original screenplay,11,39,25,31,40,-9,36,-11,,"comedy, drama",27062332,27.1,73257045,73.3,1.5,1524954,74781999,74.8,2.0,20.0,373.91%,135.50%,,,https://www.amazon.co.uk/Tyler-Perrys-Madea-Family-Funeral/dp/B07S86XJD4/ref=sr_1_1?crid=3482HNUIRJPSW&keywords=a+madea+family+funeral&qid=1694550513&s=instant-video&sprefix=a+madea+famil%2Cinstant-video%2C161&sr=1-1,,Lionsgate,4.6,-15,"Mar 1, 2019",,
Abominable,2019,original screenplay,80,61,71,95,57,38,76,-6,,adventure,20612100,20.6,60196485,60.2,116.0,116000000,176196485,176.2,65.8,75.0,234.93%,27.47%,,,https://www.amazon.co.uk/Abominable-Chloe-Bennet/dp/B07YM1R8BL/ref=sr_1_1?crid=2J95SE0GTUDCL&keywords=abominable+2019&qid=1577973009&s=instant-video&sprefix=Abominable2Cinstant-video2C144&sr=1-1,,Universal Pictures,7.0,25,"Sep 27, 2019",,
Ad Astra,2019,original screenplay,84,80,82,40,62,-22,51,31,,"thriller, sci-fi",19001398,19.0,50175123,50.2,77.0,76987552,127162675,127.2,60.5,90.0,141.29%,21.11%,,,https://www.amazon.co.uk/Ad-Astra-Brad-Pitt/dp/B07XT8YM1B/ref=sr_1_1?keywords=Ad+Astra&qid=1577973022&s=instant-video&sr=1-1,,20th Century Fox,6.5,-25,"Sep 20, 2019",,
After,2019,original screenplay,18,30,24,65,45,20,55,-31,,"drama, romance",6002349,6.0,12138565,12.1,45.8,45788285,57926850,57.9,79.1,14.0,413.76%,42.86%,,,https://www.netflix.com/gb/title/80244311,,Aviron Pictures,5.3,12,"Apr 12, 2019",,
Aladdin,2019,remake,57,53,55,94,67,27,81,-26,,adventure,91500929,91.5,355559216,355.6,695.1,695134737,1050693953,1050.7,66.2,183.0,574.15%,50.00%,,,https://www.amazon.co.uk/Aladdin-Will-Smith-Genie-Mariner/dp/B07RX8F5GW/ref=sr_1_2?crid=1YLEY3XS29JCF&keywords=aladdin&qid=1577973045&s=instant-video&sprefix=Aladdin2Cinstant-video2C163&sr=1-2,,Walt Disney Studios,6.9,25,"May 24, 2019",,
Alita: Battle Angel,2019,adaptation,60,54,57,94,88,6,91,-34,,"action, adventure, romance",28525613,28.5,85316378,85.3,316.4,316393320,401709698,401.7,78.8,170.0,236.30%,16.76%,,,https://www.amazon.co.uk/Alita-Battle-Angel-Rosa-Salazar/dp/B07NCHJNQ3/ref=sr_1_1?crid=OWGN2WZXDZN5&keywords=alita+battle+angel+2019&qid=1577973064&s=instant-video&sprefix=Alita3A+Battle+Angel2Cinstant-video2C145&sr=1-1,,20th Century Fox,7.3,21,"Feb 14, 2019",,
Angel Has Fallen,2019,sequel,39,45,42,93,66,27,80,-38,,thriller,21380987,21.4,69030436,69.0,64.3,64335016,133365452,133.4,48.2,40.0,333.41%,53.50%,,,https://www.amazon.co.uk/Angel-Has-Fallen-Gerard-Butler/dp/B07WSB42PD/ref=sr_1_1?keywords=Angel+Has+Fallen&qid=1577973072&s=instant-video&sr=1-1,,Lionsgate,6.4,29,"Aug 23, 2019",,
Anna,2019,original screenplay,36,40,38,81,64,17,73,-35,,action,3600647,3.6,7743794,7.7,23.2,23174932,30918726,30.9,75.1,30.0,103.06%,12.00%,,,https://www.amazon.co.uk/Anna-Sasha-Luss/dp/B07TLZ5G6T/ref=sr_1_1?keywords=Anna&qid=1577973080&s=instant-video&sr=1-1,,Summit Entertainment,6.6,15,"Jun 21, 2019",,
Annabelle Comes Home,2019,sequel,64,53,59,70,62,8,66,-8,,horror,20269723,20.3,74152591,74.2,154.4,154400000,228552591,228.6,67.5,30.0,761.84%,67.67%,,,https://www.amazon.co.uk/Annabelle-Comes-Home-McKenna-Grace/dp/B07VNLK58K/ref=sr_1_2?keywords=Annabelle+Comes+Home&qid=1577973087&s=instant-video&sr=1-2,,Warner Bros. Pictures,5.9,11,"Jun 26, 2019",,
Arctic,2019,original screenplay,89,71,80,87,63,24,75,5,,"adventure, drama",50878,0.1,2409826,2.41,1,1395666,3805492,38,3.7,2.0,190.27%,2.54%,,,https://www.amazon.co.uk/Arctic-Mads-Mikkelsen/dp/B07RK4YWPY/ref=sr_1_1?keywords=Arctic&qid=1577973098&s=instant-video&sr=1-1,,Bleecker Street,6.8,19,"Feb 1, 2019",,
Arctic Dogs (a.k.a. Polar Squad),2019,original screenplay,14,28,21,60,21,39,41,-20,,adventure,2901335,2.9,5667265,5.7,1.0,956170,6623435,6.6,15.2,50.0,13.25%,5.80%,,,https://www.amazon.co.uk/Polar-Squad-Jeremy-Renner/dp/B084M8BYQR/ref=sr_1_9?crid=2Q6XEHT36USQC&keywords=arctic+dogs&qid=1694218213&sprefix=arctic+dogs%2Caps%2C211&sr=8-9,,Entertainment Studios,4.8,12,"Nov 1, 2019",,
Avengers: Endgame,2019,adaptation,94,78,86,90,78,12,84,2,,action,357115007,357.1,858373000,858.4,1939.4,1939427564,2797800564,2797.8,69.3,356.0,785.90%,100.31%,,,https://www.amazon.co.uk/Avengers-Endgame-Robert-Downey-Jr/dp/B07W55FQXY/ref=sr_1_1?crid=1K3KVNLE0EN81&keywords=avengers+endgame&qid=1577973139&s=instant-video&sprefix=Avengers3A+Endgame2Cinstant-video2C149&sr=1-1,,Walt Disney Studios,8.4,6,"Apr 26, 2019",,
Black and Blue,2019,original screenplay,51,54,53,93,37,56,65,-13,,action,8376846,8.4,21800086,21.8,0.6,644342,22444428,22.4,2.7,12.0,187.04%,70.00%,,,https://www.amazon.co.uk/Black-Blue-Naomie-Harris/dp/B07ZQR6MXQ/ref=sr_1_1?crid=33T5QAJZ47G2F&keywords=black+and+blue&qid=1577973148&s=instant-video&sprefix=Black+and+Blue2Cinstant-video2C148&sr=1-1,,Sony Pictures,6.4,29,"Oct 25, 2019",,
Black Christmas,2019,remake,40,50,45,31,19,12,25,20,,"thriller, horror",4240245,4.2,9747760,9.7,8.1,8100000,17847760,17.8,45.5,5.0,356.96%,84.00%,,,https://www.amazon.co.uk/Black-Christmas-Imogen-Poots/dp/B0829CKDF1/ref=sr_1_1?crid=3HP1MJCDF1006&keywords=black+christmas+2019&qid=1577973167&s=instant-video&sprefix=Black+Christma2Cinstant-video2C144&sr=1-1,,Universal Pictures,3.5,-4,"Dec 13, 2019",,
Blinded by the Light,2019,based on a true story,89,71,80,91,68,23,80,1,,drama,4333305,4.3,11901145,11.9,6.1,6118053,18019198,18.0,33.9,15.0,120.13%,28.67%,,,https://www.amazon.co.uk/Blinded-Light-Viveik-Kalra/dp/B07X2MM9Y3/ref=sr_1_1?crid=LA9LD2IPFRR0&keywords=blinded+by+the+light&qid=1577973175&s=instant-video&sprefix=Blinded+by+the+Light2Cinstant-video2C146&sr=1-1,,Warner Bros. Pictures,6.9,22,"Aug 16, 2019",,
Bombshell,2019,based on a true story,66,65,66,83,63,20,73,-8,,"biography, drama",319157,0.3,18109144,18.1,0.2,228919,18338063,18.3,1.1,32.0,57.31%,0.94%,,,https://www.amazon.co.uk/Bombshell-Nicole-Kidman/dp/B083TS4Q2Y/ref=sr_1_1?crid=23WNZ9PQGI5FH&keywords=bombshell&qid=1694218245&sprefix=bombshell%2Caps%2C223&sr=8-1,,Lionsgate,6.8,15,"December 13, 2019",,
Booksmart,2019,original screenplay,97,84,91,77,43,34,60,31,,comedy,6933620,6.9,22680962,22.7,2.2,2163028,24843990,24.8,8.9,6.0,414.07%,115.00%,,,https://www.amazon.co.uk/Booksmart-Kaitlyn-Dever/dp/B07V4XPWWY/ref=sr_1_1?crid=1WI96X5ERDH8G&keywords=booksmart+prime+video&qid=1577973203&s=instant-video&sprefix=Booksmart2Cinstant-video2C139&sr=1-1,,United Artists Releasing,7.1,6,"May 24, 2019",,
Breakthrough,2019,adaptation,61,46,54,81,68,13,75,-21,,drama,11282333,11.3,40713082,40.7,9.7,9731276,50444358,50.4,19.2,14.0,360.32%,80.71%,,,https://www.amazon.co.uk/Breakthrough-Roxann-Dawson/dp/B07RRR91JF/ref=sr_1_1?keywords=Breakthrough&qid=1577973212&s=instant-video&sr=1-1,,20th Century Fox,6.3,18,"Apr 17, 2019",,
Brian Banks,2019,based on a true story,60,58,59,97,52,45,75,-16,,drama,2156272,2.2,4376820,4,-,-,-,-,-,10.0,-,21.56%,,,https://www.amazon.co.uk/Brian-Banks-Greg-Kinnear/dp/B082DRZBPF/ref=sr_1_1?crid=3GQV84NMMF94P&keywords=brian+banks&qid=1577973220&s=instant-video&sprefix=Brian+Banks2Cinstant-video2C145&sr=1-1,,Bleecker Street,7.2,25,"Aug 9, 2019",,
BrightBurn,2019,original screenplay,57,44,51,67,64,3,66,-15,,horror,7845658,7.8,17259427,17.3,15.6,15592982,32852409,32.9,47.4,6.0,547.54%,130.00%,,,https://www.amazon.co.uk/Brightburn-Elizabeth-Banks/dp/B07VKF561P/ref=sr_1_1?crid=2H49IXCE1R7D&keywords=brightburn&qid=1577973226&s=instant-video&sprefix=BrightBurn2Cinstant-video2C148&sr=1-1,,Sony Pictures,6.1,6,"May 24, 2019",,
Brittany Runs a Marathon,2019,original screenplay,89,72,81,87,56,31,72,9,,drama,180711,0.2,7136342,7.1,0.3,250420,7386762,7.4,4.1,14.0,52.76%,1.43%,,,https://www.amazon.co.uk/Brittany-Runs-Marathon-Jillian-Bell/dp/B081BBHVM3/ref=sr_1_2?crid=324ZABJ257CHX&keywords=brittany+runs+a+marathon&qid=1577973233&s=instant-video&sprefix=Brittany+Runs+a+Marathon2Cinstant-video2C208&sr=1-2,,Amazon Studios,6.8,19,"Aug 23, 2019",,
Captain Marvel,2019,adaptation,78,64,71,58,36,22,47,24,,"action, adventure, sci-fi",153433423,153.4,373880366,373.9,664.1,664099896,1037980262,1038.0,64.0,152.0,682.88%,100.92%,,,https://www.amazon.co.uk/Marvel-Studios-Captain-Larson-Danvers/dp/B07P8NDRH7/ref=sr_1_1?keywords=Captain+Marvel&qid=1557072388&s=instant-video&sr=1-1,,Walt Disney Studios,6.8,-10,"Mar 8, 2019",,
Captive State,2019,original screenplay,45,54,50,42,53,-11,48,2,,"sci-fi, thriller",3131525,3.1,5958315,6.0,1.0,982490,6940805,6.9,14.5,25.0,27.76%,12.40%,,,https://www.amazon.co.uk/Captive-State-John-Goodman/dp/B08Y5P6S2N/ref=sr_1_1?crid=25X45KFV40TU1&keywords=captive+state&qid=1694218260&sprefix=captive+state%2Caps%2C310&sr=8-1,,Focus Features,6.0,-18,"Mar 15, 2019",,
Cats,2019,adaptation,19,32,26,54,63,-9,59,-33,,"drama, comedy, musical",6619870,6.6,19962590,20.0,20.5,20500000,40462590,40.5,50.6,95.0,42.59%,6.95%,,,https://www.amazon.co.uk/Cats-James-Corden/dp/B082JTNCX7/ref=sr_1_1?crid=IYXMDVK5RFYX&keywords=cats+2019&qid=1577973262&s=instant-video&sprefix=Cats2Cinstant-video2C160&sr=1-1,,Universal Pictures,2.8,26,"Dec 20, 2019",,
Charlie’s Angels,2019,remake,53,52,53,79,28,51,54,-1,,action,8351109,8.4,17199425,17.2,38.4,38400000,55599425,55.6,69.1,48.0,115.83%,17.50%,,,https://www.amazon.co.uk/Charlies-Angels-Kristen-Stewart/dp/B08211ZRPD/ref=sr_1_1?crid=3FE76G0XGXJNT&keywords=charlies+angels+2019&qid=1577973270&s=instant-video&sprefix=CharlieE28099s+Angels2Cinstant-video2C189&sr=1-1,,Sony Pictures,5.0,29,"Nov 15, 2019",,
Child’s Play,2019,remake,63,48,56,57,62,-5,60,-4,,horror,14094594,14.1,29208403,29.2,15.7,15693834,44902237,44.9,35.0,10.0,449.02%,141.00%,,,https://www.amazon.co.uk/Childs-Play-Aubrey-Plaza/dp/B07WW74CMJ/ref=sr_1_1?crid=10WBSHM1QE5M8&keywords=childs+play+2019&qid=1577973280&s=instant-video&sprefix=ChildE28099s+Play+2Cinstant-video2C166&sr=1-1,,United Artists Releasing,5.7,0,"Jun 21, 2019",,
Cold Pursuit,2019,remake,69,57,63,58,60,-2,59,4,,"action, drama, thriller, crime",11030233,11.0,32050710,32.1,27.1,27075069,59125779,59.1,45.9,60.0,98.54%,18.33%,,,https://www.amazon.co.uk/Cold-Pursuit-Liam-Neeson/dp/B07P1B6CP2/ref=sr_1_1?crid=1ZYE6J7L42KX6&keywords=cold+pursuit&qid=1557072845&s=instant-video&sprefix=Cold+Pursuit2Cinstant-video2C140&sr=1-1,,Lionsgate,6.2,-4,"Feb 8, 2019",,
Countdown,2019,original screenplay,25,31,28,72,32,40,52,-24,,horror,8865082,8.9,25324261,25.3,10.0,10000000,35324261,35.3,28.3,6.5,543.45%,136.92%,,,https://www.amazon.co.uk/Countdown-Anne-Winters/dp/B0814CHYTD/ref=sr_1_1?crid=11GJOV3S2YCMC&keywords=countdown+2019&qid=1577973288&s=instant-video&sprefix=Countdown2Cinstant-video2C146&sr=1-1,,STX Entertainment,5.4,18,"Oct 25, 2019",,
Crawl,2019,original screenplay,83,60,72,75,61,14,68,4,,horror,12005210,12.0,39014193,39.0,52.5,52502455,91516648,91.5,57.4,13.5,677.90%,88.89%,,,https://www.amazon.co.uk/Crawl-Kaya-Scodelario/dp/B07WRDLS8K/ref=sr_1_1?keywords=Crawl&qid=1577973297&s=instant-video&sr=1-1,,Paramount Pictures,6.1,14,"Jul 12, 2019",,
Dark Phoenix,2019,sequel,23,43,33,64,51,13,58,-25,,action,32828348,32.8,65845974,65.8,186.6,186597000,252442974,252.4,73.9,200.0,126.22%,16.40%,,,https://www.amazon.co.uk/X-Men-Dark-Phoenix-Simon-Kinberg/dp/B07SH9KGBF/ref=sr_1_1?keywords=Dark+Phoenix&qid=1577973321&s=instant-video&sr=1-1,,20th Century Fox,5.7,7,"Jun 7, 2019",,
Dark Waters,2019,original screenplay,89,73,81,95,80,15,88,-7,,"biography, drama",102606,0.1,11136084,11.1,12.0,11971933,23108017,23.1,51.9,20.0,115.54%,0.50%,,,https://www.amazon.co.uk/Dark-Waters-Mark-Ruffalo/dp/B084WTRSMG/ref=sr_1_3?crid=34VTNCBR78P8V&keywords=dark+waters&qid=1694218284&sprefix=dark+waters%2Caps%2C239&sr=8-3,,Focus Features,7.6,19,"Nov 22, 2019",,
Doctor Sleep,2019,adaptation,77,59,68,89,66,23,78,-10,,horror,14114124,14.1,30796016,30.8,38.6,38600000,69396016,69.4,55.6,45.0,154.21%,31.33%,,,https://www.amazon.co.uk/Doctor-Sleep-Ewan-McGregor/dp/B07ZTW61K4/ref=sr_1_1?keywords=Doctor+Sleep&qid=1577973349&s=instant-video&sr=1-1,,Warner Bros. Pictures,7.3,16,"Nov 8, 2019",,
Don’t Let Go,2019,original screenplay,39,49,44,79,59,20,69,-25,,thriller,2338669,2.3,4302776,4.3,0.1,72949,4375725,4.4,2.3,5.0,87.51%,46.00%,,,https://www.amazon.co.uk/Dont-Let-Go-David-Oyelowo/dp/B083ZQC3MT/ref=sr_1_2?crid=1LJ7AV21EYJ25&keywords=don%27t+let+go&qid=1694218315&sprefix=dont+let+go%2Caps%2C192&sr=8-2,,Universal Pictures,6.4,15,"Aug 30, 2019",,
Dora and the Lost City of Gold,2019,adaptation,84,63,74,88,44,44,66,8,,adventure,17431588,17.4,60477943,60.5,58.8,58804784,119282727,119.3,49.3,49.0,243.43%,35.51%,,,https://www.amazon.co.uk/Dora-Lost-City-Isabela-Moner/dp/B07WMF17X1/ref=sr_1_1?keywords=Dora+and+the+Lost+City+of+Gold&qid=1577973375&s=instant-video&sr=1-1,,Paramount Pictures,6.1,27,"Aug 9, 2019",,
Downton Abbey,2019,adaptation,84,64,74,94,61,33,78,-4,,drama,31033665,31.0,96722715,96.7,89.2,89200000,185922715,185.9,48.0,17.0,1093.66%,182.35%,,,https://www.amazon.co.uk/Downton-Abbey-Hugh-Bonneville/dp/B07XPDBQRG/ref=sr_1_1?crid=W28R0R7J65YJ&keywords=downton+abbey+film+2019&qid=1577973385&s=instant-video&sprefix=Downton+Abbey2Cinstant-video2C166&sr=1-1,,Focus Features,7.4,20,"Sep 20, 2019",,
Dragon Ball Super: Broly,2019,sequel,83,59,71,93,77,16,85,-14,,"action, adventure, sci-fi, fantasy, family",9816197,9.8,30712119,30.7,72.9,72915772,103627891,103.6,70.4,8.5,1219.15%,115.29%,,,https://www.amazon.co.uk/Dragon-Ball-Super-Movie-Broly/dp/B07NL9LZPB/ref=sr_1_1?crid=252G9N9WO449K&keywords=dragon+ball+super+broly&qid=1557072717&s=instant-video&sprefix=Dragon+Ball+Super3A+Broly2Cinstant-video2C165&sr=1-1-catcorr,,Funimation Films,7.7,16,"Jan 16, 2019",,
Dumbo,2019,adaptation,47,51,49,58,56,2,57,-8,,"adventure, family, fantasy",45990748,46.0,76261456,76.3,139.6,139570743,215832199,215.8,64.7,170.0,126.96%,27.06%,,,https://www.amazon.co.uk/Dumbo-Colin-Farrell-Holt-Farrier/dp/B07Q59QD25/ref=sr_1_1?crid=30QJZL1BHM6EK&keywords=dumbo+2019&qid=1557072520&s=instant-video&sprefix=Dumbo+2Cinstant-video2C141&sr=1-1-catcorr,,Walt Disney Studios,6.3,-5,"Mar 29, 2019",,
Escape Room,2019,original screenplay,48,48,48,55,55,0,55,-7,,"action, adventure, drama",18238172,18.2,56884457,56.9,96.5,96526751,153411208,153.4,62.9,9.0,1704.57%,202.22%,,,https://www.amazon.co.uk/Escape-Room-Tyler-Labine/dp/B07NBWYMVG/ref=sr_1_2?crid=1SK4TR2AU9EK4&keywords=escape+room+2019&qid=1557072613&s=instant-video&sprefix=Escape+Room2Cinstant-video2C143&sr=1-2-catcorr,,Sony Pictures,6.4,-9,"Jan 4, 2019",,
Everybody Knows,2019,original screenplay,77,68,73,64,73,-9,69,4,,"drama, mystery, thriller, crime",71207,0.1,2660165,2.7,15.3,15337185,17997350,18.0,85.0,11.8,152.52%,0.85%,,,https://www.amazon.co.uk/Everybody-Knows-Javier-Bardem/dp/B07T769783/ref=sr_1_1?keywords=Everybody+Knows&qid=1577973405&s=instant-video&sr=1-1,,Focus Features,6.9,-5,"February 8, 2019",,
Fast & Furious Presents: Hobbs and Shaw,2019,sequel,67,60,64,88,66,22,77,-14,,action,60038950,60.0,173810100,173.8,585.1,585100000,758910100,758.9,77.1,200.0,379.46%,30.00%,,,https://www.amazon.co.uk/Fast-Furious-Hobbs-Dwayne-Johnson/dp/B07WHJFN3L/ref=sr_1_1?crid=3HRB3SJOA6JPD&keywords=fast+26+furious+presents+hobbs+26+shaw&qid=1577973429&s=instant-video&sprefix=Fast+26+Furious+Presents3A+Hobbs+and+Shaw2Cinstant-video2C147&sr=1-1,,Universal Pictures,6.5,23,"Aug 2, 2019",,
Fighting with My Family,2019,based on a true story,92,68,80,86,74,12,80,0,,"biography, drama, sport, comedy",138780,0.1,22726193,22.7,0.0,0,22726193,22.7,0.0,11.0,206.60%,0.91%,,,https://www.amazon.co.uk/Fighting-My-Family-Florence-Pugh/dp/B07P5G1581/ref=sr_1_1?keywords=Fighting+with+My+Family&qid=1557074040&s=instant-video&sr=1-1,,Metro-Goldwyn-Mayer (MGM),7.1,15,"Feb 14, 2019",,
Five Feet Apart,2019,adaptation,55,53,54,80,74,6,77,-23,,"drama, romance",13190286,13.2,41471489,41.5,21.0,21000000,62471489,62.5,33.6,7.0,892.45%,188.57%,,,https://www.amazon.co.uk/Five-Feet-Apart-Cole-Sprouse/dp/B07SQBRBMG/ref=sr_1_1?crid=1PLGCVBTO8E5M&keywords=five+feet+apart&qid=1577973436&s=instant-video&sprefix=Five+Feet+Apart2Cinstant-video2C150&sr=1-1,,Lionsgate,7.2,8,"Mar 15, 2019",,
Ford v. Ferrari,2019,original screenplay,91,81,86,98,75,23,87,-1,,drama,31474958,31.5,83797945,83.8,76.5,76500000,160297945,160.3,47.7,97.6,164.24%,32.27%,Oscar Winner,"Best Film Editing, Best Sound Editing",https://www.amazon.co.uk/Mans-66-4K-UHD/dp/B08JH8SXG6/ref=sr_1_1?crid=3USG2LCMF6JII&keywords=ford+v+ferrari&qid=1694218370&s=instant-video&sprefix=ford+v+ferrari%2Cinstant-video%2C153&sr=1-1,,20th Century Fox,8.1,17,"Nov 15, 2019",,
Frozen II,2019,sequel,78,65,72,92,69,23,81,-9,,adventure,130263358,130.3,300194495,300.2,582.1,582100000,882294495,882.3,66.0,33.0,2673.62%,394.85%,,,https://www.amazon.co.uk/Frozen-Hadley-Gannaway-Young-Anna/dp/B085LHLSSL/ref=sr_1_1?crid=2YRYJR9WIGFBY&keywords=frozen+2&qid=1694218405&s=instant-video&sprefix=frozen+2%2Cinstant-video%2C167&sr=1-1,,Walt Disney Studios,6.8,24,"Nov 22, 2019",,
Gemini Man,2019,original screenplay,26,38,32,83,50,33,67,-35,,action,20552372,20.6,48541509,48.5,124.4,124425400,172966909,173.0,71.9,138.0,125.34%,14.93%,,,https://www.amazon.co.uk/Gemini-Man-Will-Smith/dp/B07YSXCR3N/ref=sr_1_1?crid=29ZNWX6RE50GF&keywords=gemini+man&qid=1577973477&s=instant-video&sprefix=Gemini+Man2Cinstant-video2C144&sr=1-1,,Paramount Pictures,5.7,26,"Oct 11, 2019",,
Glass,2019,sequel,37,42,40,73,68,5,71,-31,,"drama, sci-fi, thriller",40328920,40.3,111035005,111.0,135.9,135873591,246908596,246.9,55.0,20.0,1234.54%,201.50%,,,https://www.amazon.co.uk/Glass-James-McAvoy/dp/B07MG7Z6ZS/ref=sr_1_1?crid=34RG5I1U602P9&keywords=glass+2019&qid=1557072469&s=instant-video&sprefix=Glass2Cinstant-video2C147&sr=1-1,,Universal Pictures,6.6,7,"Jan 18, 2019",,
Gloria Bell,2019,remake,91,80,86,41,67,-26,54,32,,"drama, comedy, romance",145218,0.1,5007471,5.0,0.7,745660,5753131,5.8,12.1,-,-,-,,,https://www.amazon.co.uk/Gloria-Bell-Julianne-Moore/dp/B07V7Y2FFD/ref=sr_1_1?crid=FSA51VY03Q92&keywords=gloria+bell&qid=1577973483&s=instant-video&sprefix=Gloria+Bell2Cinstant-video2C145&sr=1-1,,A24,6.3,-22,"Mar 8, 2019",,
Godzilla: King of the Monsters,2019,sequel,42,48,45,83,73,10,78,-33,,action,47776293,47.8,110500138,110.5,275.4,275400000,385900138,385.9,71.4,170.0,227.00%,28.12%,,,https://www.amazon.co.uk/Godzilla-King-Monsters-Kyle-Chandler/dp/B07XZHMTG8/ref=sr_1_1?crid=3KGA3U4IZ76R7&keywords=godzilla+king+of+the+monsters+movie+2019&qid=1577973490&s=instant-video&sprefix=Godzilla3A+King+of+the+Monsters2Cinstant-video2C142&sr=1-1,,Warner Bros. Pictures,6.0,23,"May 31, 2019",,
Good Boys,2019,original screenplay,80,60,70,86,61,25,74,-4,,comedy,21402605,21.4,83083070,83.1,27.8,27800000,110883070,110.9,25.1,20.0,554.42%,107.00%,,,https://www.amazon.co.uk/Good-Boys-Jacob-Tremblay/dp/B07WHRNC7M/ref=sr_1_1?crid=3S5J2JFLOJ9E1&keywords=good+boys&qid=1577973497&s=instant-video&sprefix=Good+Boys2Cinstant-video2C160&sr=1-1,,Universal Pictures,6.7,19,"Aug 16, 2019",,
Greta,2019,original screenplay,56,53,55,44,61,-17,53,2,,"drama, mystery, thriller, horror",4481910,4.5,10519425,10.5,0.7,700000,11219425,11.2,6.3,-,-,-,,,https://www.amazon.co.uk/Greta-Isabelle-Huppert/dp/B07QMQV8TX/ref=sr_1_1?crid=27CNJYH4C3PM3&keywords=greta&qid=1557074434&s=instant-video&sprefix=Greta2Cinstant-video2C258&sr=1-1,,Focus Features,6.0,-16,"Mar 1, 2019",,
Happy Death Day 2U,2019,sequel,68,57,63,65,63,2,64,-2,,"sci-fi, drama, mystery, thriller, horror, comedy",9497665,9.5,28051045,28.1,36.2,36200000,64251045,64.3,56.3,9.0,713.90%,105.56%,,,https://www.amazon.co.uk/Happy-Death-Day-Jessica-Rothe/dp/B07NJ8DHPH/ref=sr_1_2?keywords=Happy+Death+Day+2U&qid=1557072799&s=instant-video&sr=1-2,,Universal Pictures,6.2,3,"Feb 13, 2019",,
