Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
12 Strong,2018,adaptation,53,54,54,64,63,1,64,-10,,drama,15815025,15.8,45500164,46,22,21533253,67033417,670,32.12%,35,191.52%,45.19%,,,https://www.amazon.com/12-Strong-Michael-Shannon/dp/B0791T5DTV/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964021&sr=1-2&keywords=12+Strong,,,,,"Jan 19, 2018",
7 Days in Entebbe,2018,based on a true story,26,49,38,39,59,-20,49,-12,,"thriller, suspense",1592645,1.6,3189220,3,5,5465548,8654768,87,63.15%,-,-,-,,,https://www.amazon.com/7-Days-Entebbe-Daniel-BrC3BChl/dp/B07BF8T78W/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964038&sr=1-2&keywords=7+Days+in+Entebbe,,,,,"Mar 16, 2018",
A Quiet Place,2018,original screenplay,95,82,89,83,75,8,79,10,,horror,50203562,50.2,188024361,188,145,144559086,332583447,3326,43.47%,17,1956.37%,295.32%,,,https://www.amazon.com/Quiet-Place-Emily-Blunt/dp/B07BYSTXMF/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964056&sr=1-2&keywords=A+Quiet+Place,,,,,"Apr 6, 2018",
A Simple Favor,2018,adaptation,85,67,76,77,70,7,74,3,,thriller,16011689,16.0,53548586,54,41,41285014,94833600,948,43.53%,20,-,-,,,https://www.amazon.com/Simple-Favor-Anna-Kendrick/dp/B07HHWHRS9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546963941&sr=1-1&keywords=A+Simple+Favor,,,,,"Sep 14, 2018",
A Star is Born,2018,remake,90,88,89,81,86,-5,84,6,,drama,42908051,42.9,202110867,202,188,188000000,390110867,3901,48.19%,36,1083.64%,119.19%,,,-,,,,,"Oct 5, 2018",
A Wrinkle in Time,2018,adaptation,42,53,48,29,29,0,29,19,,adventure,33123609,33.1,100478608,100,32,32197256,132675864,1327,24.27%,125,106.14%,26.50%,,,https://www.amazon.com/Wrinkle-Time-Oprah-Winfrey/dp/B07B3PW72Q/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964078&sr=1-2&keywords=A+Wrinkle+in+Time,,,,,"Mar 9, 2018",
A.X.L.,2018,original screenplay,33,31,32,64,50,14,57,-25,,drama,2798229,2.8,3000943,3,-,-,3000943,30,-,10,30.01%,27.98%,,,https://www.amazon.com/X-L-Becky-G/dp/B07KY65QBP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546964091&sr=1-1&keywords=A.X.L.,,,,,"Aug 24, 2018",
Action Point,2018,original screenplay,19,37,28,29,37,-8,33,-5,,comedy,2390164,2.4,5059608,5,-,-,5059608,51,-,19,26.63%,12.58%,,,https://www.amazon.com/Action-Point-Johnny-Knoxville/dp/B07DD6DNJ6/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964108&sr=1-2&keywords=Action+Point,,,,,"Jun 1, 2018",
Adrift,2018,based on a true story,73,56,65,67,63,4,65,-1,,drama,11603039,11.6,31445011,31,22,21900001,53345012,533,41.05%,35,152.41%,33.15%,,,https://www.amazon.com/Adrift-Shailene-Woodley/dp/B07DGLJM3X/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964130&sr=1-2&keywords=Adrift,,,,,"Jun 1, 2018",
Alpha,2018,original screenplay,83,63,73,79,68,11,74,-1,,adventure,10352512,10.4,21083037,21,9,8752823,29835860,298,29.34%,51,58.50%,20.30%,,,https://www.amazon.com/Alpha-Kodi-Smit-McPhee/dp/B07GJV8S5R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546964141&sr=1-1&keywords=Alpha,,,,,"Aug 17, 2018",
American Animals,2018,based on a true story,86,66,76,85,80,5,83,-7,,"thriller, suspense",134793,0.1,2853526,3,-,-,2853526,29,-,3,95.12%,4.49%,,,https://www.amazon.com/American-Animals-Evan-Peters/dp/B07DD6WNTN/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964446&sr=1-2&keywords=American+Animals,,,,,"Jun 1, 2018",
Annihilation,2018,adaptation,87,79,83,66,72,-6,69,14,,"thriller, suspense",11071584,11.1,32732301,33,-,-,32732301,327,-,40,81.83%,27.68%,,,https://www.amazon.com/Annihilation-Natalie-Portman/dp/B079YYHM9Z/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964458&sr=1-2&keywords=Annihilation,,,,,"Feb 23, 2018",
Ant-Man and the Wasp,2018,sequel,88,70,79,80,74,6,77,2,,action,75812205,75.8,211630916,212,333,333301651,544932567,5449,61.16%,195,279.45%,38.88%,,,https://www.amazon.com/Ant-Man-Wasp-Paul-Rudd/dp/B07F1HTM3K/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964477&sr=1-2&keywords=Ant-Man+and+the+Wasp,,,,,"Jul 6, 2018",
Aquaman ,2018,adaptation,65,55,60,80,73,7,77,-17,,"action, adventure",67873522,67.9,259720880,260,681,681000000,940720880,9407,72.39%,160,-,-,,,-,,,,,"Dec 21, 2018",
