Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Avengers: Infinity War,2018,sequel,83,68,76,91,85,6,88,-13,,action,257698183,257.7,678690536,679,1367,1367467024,2046157560,20462,66.83%,321,637.04%,80.23%,,,https://www.amazon.com/Avengers-Infinity-Robert-Downey-Jr/dp/B07CKQ4R7X/ref=sr_1_3?s=instant-video&ie=UTF8&qid=1546969990&sr=1-3&keywords=Avengers3A+Infinity+War,,,,,"Apr 27, 2018",
Baaghi 2,2018,sequel,33,-,-,58,-,-,-,-,,action,650722,0.7,1319579,1,30,29890510,31210089,312,95.77%,8.41,371.11%,7.74%,,,-,,,,,"Mar 30, 2018",
Bad Samaritan,2018,original screenplay,54,42,48,73,65,8,69,-21,,"thriller, suspense",1726868,1.7,3424744,3,-,-,3424744,34,-,-,-,-,,,https://www.amazon.com/Bad-Samaritan-David-Tennant/dp/B07F1L2CTZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970011&sr=1-2&keywords=Bad+Samaritan,,,,,"May 4, 2018",
Bad Times at the El Royale,2018,original screenplay,74,60,67,75,74,1,75,-8,,thriller,7132647,7.1,17839115,18,14,13777762,31616877,316,43.58%,32,98.80%,22.29%,,,https://www.amazon.com/Bad-Times-at-El-Royale/dp/B07J5PVR6M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970025&sr=1-1&keywords=Bad+Times+at+the+El+Royale,,,,,"Oct 12, 2018",
Beirut (aka The Negotiator),2018,original screenplay,83,69,76,56,66,-10,61,15,,action,1734497,1.7,5019226,5,2,2239308,7258534,73,30.85%,-,-,-,,,-,,,,,"Apr 13, 2018",
Black Panther,2018,original screenplay,97,88,93,79,67,12,73,20,,action,202003951,202.0,700059566,700,647,646784468,1346844034,13468,48.02%,205,657.00%,98.54%,,,https://www.amazon.com/Black-Panther-Plus-Bonus-Content/dp/B079S4NZ2R/ref=sr_1_3?s=instant-video&ie=UTF8&qid=1546970045&sr=1-3&keywords=Black+Panther,,,,,"Feb 16, 2018",
BlacKkKlansman,2018,based on a true story,95,83,89,79,76,3,78,12,,"thriller, suspense",10845330,10.8,32316575,32,9,9325905,41642480,416,22.40%,15,277.62%,72.30%,,,https://www.amazon.com/Blackkklansman-John-David-Washington/dp/B07G7GRTVH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970084&sr=1-1&keywords=BlacKkKlansman,,,,,"Aug 10, 2018",
Blindspotting,2018,original screenplay,93,76,85,90,79,11,85,0,,drama,338999,0.3,4153783,4,0,25419,4179202,42,0.61%,-,-,-,,,https://www.amazon.com/Blindspotting-Daveed-Diggs/dp/B07G4N3J9R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970094&sr=1-1&keywords=Blindspotting,,,,,"Jul 20, 2018",
Blockers,2018,original screenplay,83,69,76,50,62,-12,56,20,,comedy,20556350,20.6,59839515,60,34,33835271,93674786,937,36.12%,21,446.07%,97.89%,,,https://www.amazon.com/Blockers-Leslie-Mann/dp/B07BW7954L/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970107&sr=1-2&keywords=Blockers,,,,,"Apr 6, 2018",
Bohemian Rhapsody,2018,based on a true story,62,49,56,90,82,8,86,-31,,drama,51061119,51.1,193673825,194,550,550032290,743706115,7437,73.96%,52,1430.20%,98.19%,,,https://www.amazon.com/Bohemian-Rhapsody-Rami-Malek/dp/B07K2LGD2B/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970119&sr=1-1&keywords=Bohemian+Rhapsody,,,,,"Nov 2, 2018",
Book Club,2018,original screenplay,53,53,53,57,48,9,53,1,,comedy,13582231,13.6,68566296,69,-,-,68566296,686,-,10,685.66%,135.82%,,,https://www.amazon.com/Book-Club-Diane-Keaton/dp/B07CYTJWR2/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970284&sr=1-2&keywords=Book+Club,,,,,"May 18, 2018",
Breaking In,2018,original screenplay,27,42,35,32,39,-7,36,-1,,"thriller, suspense",17630285,17.6,46383120,46,5,4545500,50928620,509,8.93%,6,848.81%,293.84%,,,https://www.amazon.com/Breaking-Gabrielle-Union/dp/B07FK573KK/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970294&sr=1-2&keywords=Breaking+In,,,,,"May 11, 2018",
Bumblebee,2018,sequel,93,67,80,79,76,3,78,3,,"sci-fi, action",21654047,21.7,97128140,97,192,192000000,289128140,2891,66.41%,135,214.17%,16.04%,,,https://www.amazon.com/Bumblebee-Hailee-Steinfeld/dp/B07L6N8ZJT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970308&sr=1-1&keywords=Bumblebee,,,,,"Dec 21, 2018",
Call Me By Your Name,2018,"adaptation, sequel",95,93,94,85,78,7,82,13,,drama,1437889,1.4,18095701,18,24,23603117,41698818,417,56.60%,3.5,1191.39%,41.08%,,,https://www.amazon.com/Call-Your-Name-Armie-Hammer/dp/B0791VJLVB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970323&sr=1-2&keywords=Call+Me+By+Your+Name,,,,,"Jan 19, 2018 (limited), Jan 26, 2018  ",
Chappaquiddick,2018,based on a true story,80,67,74,70,74,-4,72,2,,"thriller, suspense",5765854,5.8,17395521,17,1,591150,17986671,180,3.29%,34,52.90%,16.96%,,,https://www.amazon.com/Chappaquiddick-Jason-Clarke/dp/B07DFS89PM/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970341&sr=1-2&keywords=Chappaquiddick,,,,,"Apr 6, 2018",
Christopher Robin,2018,adaptation,71,59,65,87,76,11,82,-17,,adventure,24585139,24.6,78163501,78,37,37391937,115555438,1156,32.36%,75,154.07%,32.78%,,,https://www.amazon.com/Christopher-Robin-Ewan-McGregor/dp/B07FVT3WF4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970354&sr=1-1&keywords=Christopher+Robin,,,,,"Aug 3, 2018",
Crazy Rich Asians,2018,adaptation,93,74,84,89,71,18,80,4,,comedy,26510140,26.5,79282410,79,12,11603963,90886373,909,12.77%,30,302.95%,88.37%,,,https://www.amazon.com/Crazy-Rich-Asians-Constance-Wu/dp/B07JWGJ49W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970365&sr=1-1&keywords=Crazy+Rich+Asians,,,,,"Aug 15, 2018",
Creed II,2018,sequel,83,66,75,84,73,11,79,-4,,drama,35574710,35.6,114388337,114,30,30300000,144688337,1447,20.94%,50,289.38%,71.15%,,,https://www.amazon.com/Creed-II-Michael-B-Jordan/dp/B07KQ23PG1/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970376&sr=1-1&keywords=Creed+II,,,,,"Nov 21, 2018",
Deadpool 2,2018,sequel,82,66,74,86,78,8,82,-8,,action,125507153,125.5,318402623,318,416,415641416,734044039,7340,56.62%,110,667.31%,114.10%,,,https://www.amazon.com/Deadpool-2-Ryan-Reynolds/dp/B07D5KWFJ7/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970385&sr=1-2&keywords=Deadpool+2,,,,,"May 18, 2018",
Death Wish,2018,remake,17,31,24,75,71,4,73,-49,,action,13010267,13.0,34017028,34,-,-,34017028,340,-,30,113.39%,43.37%,,,https://www.amazon.com/Death-Wish-Bruce-Willis/dp/B07B3JFQH4/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970396&sr=1-2&keywords=Death+Wish,,,,,"Mar 2, 2018",
Den of Thieves,2018,original screenplay,40,49,45,62,64,-2,63,-19,,action,15206108,15.2,44947622,45,36,35562000,80509622,805,44.17%,30,268.37%,50.69%,,,https://www.amazon.com/Den-Thieves-Gerard-Butler/dp/B07M6GDVM2/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970405&sr=1-2&keywords=Den+of+Thieves,,,,,"Jan 19, 2018",
Detective Chinatown 2,2018,sequel,54,48,51,71,-,-,-,-,,action,704047,0.7,1983984,2,542,542077932,544061916,5441,99.64%,-,-,-,,,https://www.amazon.com/Detective-Chinatown-Wang-Baoqiang/dp/B01MSC08RY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970420&sr=1-1&keywords=Detective+Chinatown+2,,,,,"Feb 16, 2018",
Disobedience,2018,adaptation,85,74,80,78,75,3,77,3,,drama,237393,0.2,3480702,3,3,3145322,6626024,66,47.47%,6,110.43%,3.96%,,,https://www.amazon.com/Disobedience-Rachel-Weisz/dp/B07CLGLPJ3/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970431&sr=1-2&keywords=Disobedience,,,,,"Apr 27, 2018 (limited), May 18, 2018  ",
Dog Days,2018,original screenplay,59,47,53,85,62,23,74,-21,,"romance, comedy",2554766,2.6,6611475,7,-,-,6611475,66,-,10,66.11%,25.55%,,,https://www.amazon.com/Dog-Days-Ken-Marino/dp/B07GFRT4J6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970449&sr=1-1&keywords=Dog+Days,,,,,"Aug 10, 2018",
Dr Seuss' The Grinch,2018,adaptation,58,51,55,55,65,-10,60,-6,,animation,67572855,67.6,269612735,270,229,228700000,498312735,4983,45.89%,75,664.42%,90.10%,,,https://www.amazon.com/Illumination-Presents-Dr-Seuss-Grinch/dp/B07K6Y4GF2/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970459&sr=1-1&keywords=Dr+Seuss27+The+Grinch,,,,,"Nov 9, 2018",
Early Man,2018,original screenplay,81,68,75,51,64,-13,58,17,,adventure,3190525,3.2,8267544,8,46,45728842,53996386,540,84.69%,50,107.99%,6.38%,,,https://www.amazon.com/Early-Man-Eddie-Redmayne/dp/B07B36DZ7C/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970472&sr=1-2&keywords=Early+Man,,,,,"Feb 16, 2018",
Eighth Grade,2018,original screenplay,98,90,94,86,84,2,85,9,,drama,263797,0.3,12506396,13,-,-,12506396,125,-,12.5,100.05%,2.11%,,,https://www.amazon.com/Eighth-Grade-Elsie-Fisher/dp/B07FJNMSFN/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970482&sr=1-1&keywords=Eighth+Grade,,,,,"Jul 13, 2018",
Every Day,2018,adaptation,63,52,58,55,65,-10,60,-3,,drama,3016149,3.0,6112914,6,-,-,6112914,61,-,4.9,124.75%,61.55%,,,https://www.amazon.com/Every-Day-Angourie-Rice/dp/B079NTSQQ4/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970495&sr=1-2&keywords=Every+Day,,,,,"Feb 23, 2018",
Fantastic Beasts: The Crimes of Grindelwald,2018,sequel,38,52,45,60,60,0,60,-15,,fantasy,62163104,62.2,158058573,158,472,471900000,629958573,6300,74.91%,200,314.98%,31.08%,,,https://www.amazon.com/Fantastic-Beasts-Where-Find-Them/dp/B01N0AEYU6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970509&sr=1-1&keywords=Fantastic+Beasts3A+The+Crimes+of+Grindelwald,,,,,"Nov 16, 2018",
Fifty Shades Freed,2018,"adaptation, sequel",12,31,22,39,35,4,37,-16,,drama,38560195,38.6,100407760,100,271,270741918,371149678,3711,72.95%,55,674.82%,70.11%,,,https://www.amazon.com/Fifty-Shades-Freed-Dakota-Johnson/dp/B079NS6JL5/ref=sr_1_3?s=instant-video&ie=UTF8&qid=1546970517&sr=1-3&keywords=Fifty+Shades+Freed,,,,,"Feb 9, 2018",
Finding Your Feet,2018,original screenplay,70,53,62,55,74,-19,65,-3,,comedy,60132,0.1,1418682,1,-,-,1418682,14,-,7,20.27%,0.86%,,,https://www.amazon.com/Finding-Your-Feet-Celia-Imrie/dp/B07F47WPSY/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974372&sr=1-2&keywords=Finding+Your+Feet,,,,,"Mar 30, 2018",
First Man,2018,based on a true story,88,84,86,66,75,-9,71,16,,drama,16006065,16.0,44936545,45,56,55512117,100448662,1004,55.26%,59,170.25%,27.13%,,,https://www.amazon.com/First-Man-Ryan-Gosling/dp/B07J25TW8Z/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974385&sr=1-1&keywords=First+Man,,,,,"Oct 12, 2018",
First Reformed,2018,original screenplay,93,85,89,69,77,-8,73,16,,"thriller, suspense",97562,0.1,3448256,3,-,-,3448256,34,-,3.5,98.52%,2.79%,,,https://www.amazon.com/First-Reformed-Ethan-Hawke/dp/B07D6V7MRJ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974441&sr=1-2&keywords=First+Reformed,,,,,"May 18, 2018",
Forever My Girl,2018,adaptation,24,36,30,84,59,25,72,-42,,drama,4245630,4.2,16376066,16,-,-,16376066,164,-,3.5,467.89%,121.30%,,,https://www.amazon.com/Forever-My-Girl-Alex-Roe/dp/B07B3BDXX3/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974454&sr=1-2&keywords=Forever+My+Girl,,,,,"Jan 19, 2018",
Game Night,2018,original screenplay,84,66,75,79,72,7,76,-1,,comedy,17005332,17.0,69001013,69,48,48400000,117401013,1174,41.23%,37,317.30%,45.96%,,,https://www.amazon.com/Game-Night-Jason-Bateman/dp/B079XX3P4R/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974464&sr=1-2&keywords=Game+Night,,,,,"Feb 23, 2018",
God's Not Dead: A Light in Darkness,2018,sequel,13,33,23,53,38,15,46,-23,,drama,2689677,2.7,5728940,6,0,0,5728940,57,0,-,-,-,,,https://www.amazon.com/Gods-Not-Dead-Light-Darkness/dp/B07FMJDX7C/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974478&sr=1-1&keywords=God27s+Not+Dead3A+A+Light+in+Darkness,,,,,"Mar 30, 2018",
Goosebumps 2: Haunted Halloween,2018,sequel,47,53,50,45,43,2,44,6,,comedy,15802225,15.8,46700633,47,46,45967417,92668050,927,49.60%,35,264.77%,45.15%,,,https://www.amazon.com/Goosebumps-Bonus-Content-Wendi-McLendon-Covey/dp/B07JBNMF8Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974488&sr=1-1&keywords=Goosebumps+23A+Haunted+Halloween,,,,,"Oct 12, 2018",
Gotti,2018,based on a true story,0,24,12,53,46,7,50,-38,,drama,1719902,1.7,4286367,4,0,0,4286367,43,0,10,42.86%,17.20%,,,https://www.amazon.com/Gotti-John-Travolta/dp/B07GRG6LNF/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974499&sr=1-2&keywords=Gotti,,,,,"Jun 15, 2018",
Green Book,2018,based on a true story,81,70,76,94,76,18,85,-10,,"comedy, drama",5501520,5.5,35252256,35,0,160872,35413128,354,0.45%,23,153.97%,23.92%,,,-,,,,,"Nov 16, 2018",
Gringo,2018,original screenplay,39,46,43,40,55,-15,48,-5,,black comedy,2722420,2.7,4969853,5,6,6031774,11001627,110,54.83%,-,-,-,,,https://www.amazon.com/Gringo-David-Oyelowo/dp/B078J2R4MC/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974536&sr=1-2&keywords=gringo,,,,,"Mar 9, 2018",
Halloween ,2018,sequel,79,67,73,73,70,3,72,2,,horror,76221545,76.2,159342015,159,94,94337910,253679925,2537,37.19%,10,2536.80%,762.22%,,,https://www.amazon.com/Halloween-Jamie-Lee-Curtis/dp/B07JG4HZ12/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974551&sr=1-1&keywords=halloween+2018,,,,,"Oct 19, 2018",
Hearts Beat Loud,2018,original screenplay,91,65,78,73,73,0,73,5,,drama,74524,0.1,2384689,2,0,0,2384689,24,0,2,119.23%,3.73%,,,https://www.amazon.com/Hearts-Beat-Loud-Nick-Offerman/dp/B07DMBMM3R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974561&sr=1-1&keywords=Hearts+Beat+Loud,,,,,"Jun 8, 2018",
Hereditary,2018,original screenplay,89,87,88,60,75,-15,68,21,,horror,13575172,13.6,44062718,44,35,35269917,79332635,793,44.46%,10,793.33%,135.75%,,,https://www.amazon.com/Hereditary-Toni-Collette/dp/B07DJ1BXPM/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974573&sr=1-2&keywords=Hereditary,,,,,"Jun 8, 2018",
Holmes and Watson,2018,adaptation,8,24,16,28,15,13,22,-6,,comedy,7411522,7.4,28410922,28,7,7100000,35510922,355,19.99%,42,84.55%,17.65%,,,https://www.amazon.com/Holmes-Watson-Will-Ferrell/dp/B07LGRN4RB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974586&sr=1-2&keywords=Holmes+and+Watson,,,,,"Dec 25, 2018",
Hostiles,2018,original screenplay,71,65,68,72,71,1,72,-4,,drama,10110739,10.1,29819114,30,0,0,29819114,298,0,45,66.26%,22.47%,,,https://www.amazon.com/Hostiles-Christian-Bale/dp/B07B37BCPL/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975004&sr=1-2&keywords=Hostiles,,,,,"Jan 5, 2018",
Hotel Artemis,2018,original screenplay,59,58,59,33,58,-25,46,13,,"thriller, suspense",3232790,3.2,6708137,7,5,4516678,11224815,112,40.24%,15,74.83%,21.55%,,,https://www.amazon.com/Hotel-Artemis-Jodie-Foster/dp/B07J1FZ4TZ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975013&sr=1-1&keywords=Hotel+Artemis,,,,,"Jun 8, 2018",
Hotel Transylvania 3: Summer Vacation,2018,sequel,59,54,57,52,61,-9,57,0,,adventure,44076225,44.1,158946600,159,304,303666328,462612928,4626,65.64%,80,578.27%,55.10%,,,https://www.amazon.com/Hotel-Transylvania-3-Adam-Sandler/dp/B07FCZ655C/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975022&sr=1-1&keywords=Hotel+Transylvania+33A+Summer+Vacation,,,,,"Jul 13, 2018",
Hunter Killer,2018,adaptation,37,43,40,79,62,17,71,-31,,action,6653777,6.7,15767460,16,0,0,15767460,158,0.00%,40,-,-,,,https://www.amazon.com/Hunter-Killer-Gerard-Butler/dp/B07L9FHQXM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975030&sr=1-1&keywords=Hunter+Killer,,,,,"Oct 26, 2018",
I Can Only Imagine,2018,based on a true story,65,30,48,91,80,11,86,-38,,drama,17108914,17.1,83482352,83,0,0,83482352,835,0,7,1192.61%,244.41%,,,https://www.amazon.com/Can-Only-Imagine-Michael-Finley/dp/B07D6W2PWT/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975039&sr=1-2&keywords=I+Can+Only+Imagine,,,,,"Mar 16, 2018",
I Feel Pretty,2018,original screenplay,33,47,40,34,34,0,34,6,,comedy,16030218,16.0,48795601,49,40,39630481,88426082,884,44.82%,32,276.33%,50.09%,,,https://www.amazon.com/I-Feel-Pretty-Amy-Schumer/dp/B07C7N5K8V/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975048&sr=1-2&keywords=I+Feel+Pretty,,,,,"Apr 20, 2018",
Incredibles 2,2018,sequel,93,80,87,87,82,5,85,2,,adventure,182687905,182.7,597247671,597,545,545340438,1142588109,11426,47.73%,200,571.29%,91.34%,,,https://www.amazon.com/Incredibles-2-Craig-T-Nelson/dp/B07DPG9Z6R/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975057&sr=1-2&keywords=Incredibles+2,,,,,"Jun 15, 2018",
Insidious: The Last Key,2018,sequel,33,49,41,56,53,3,55,-14,,horror,29581355,29.6,67347895,67,100,100353053,167700948,1677,59.84%,10,1677.01%,295.81%,,,https://www.amazon.com/Insidious-Last-Key-Lin-Shaye/dp/B0786WX8DZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975066&sr=1-2&keywords=Insidious3A+The+Last+Key,,,,,"Jan 5, 2018",
Instant Family,2018,based on a true story,82,57,70,79,70,9,75,-5,,comedy,14504315,14.5,66220028,66,10,9724832,75944860,759,12.81%,48,158.22%,30.22%,,,https://www.amazon.com/Instant-Family-Mark-Wahlberg/dp/B07KFQCLGP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975078&sr=1-1&keywords=Instant+Family,,,,,"Nov 16, 2018",
Isle of Dogs,2018,original screenplay,90,82,86,88,81,7,85,2,,comedy,1620294,1.6,32014532,32,32,32133161,64147693,641,50.09%,-,-,-,,,https://www.amazon.com/Isle-Dogs-Bryan-Cranston/dp/B07C4825LL/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975090&sr=1-2&keywords=Isle+of+Dogs,,,,,"Mar 23, 2018",
Jurassic World: Fallen Kingdom,2018,sequel,50,51,51,54,58,-4,56,-6,,action,148024610,148.0,413080780,413,882,881574397,1294655177,12947,68.09%,170,761.56%,87.07%,,,https://www.amazon.com/Jurassic-World-Kingdom-Chris-Pratt/dp/B07DRD1SP2/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975101&sr=1-2&keywords=Jurassic+World3A+Fallen+Kingdom,,,,,"Jun 22, 2018",
La Boda de Valentina,2018,original screenplay,22,-,-,29,-,-,-,-,,"romance, comedy",1147073,1.1,2783739,3,0,0,2783739,28,0,2.48,112.25%,46.25%,,,https://www.amazon.com/Boda-Valentina-Omar-Chaparro/dp/B07GDV2SSL/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975138&sr=1-2&keywords=La+Boda+de+Valentina,,,,,"Feb 9, 2018",
Lean on Pete,2018,adaptation,92,80,86,73,75,-2,74,12,,drama,46975,0.0,1163056,1,0,0,1163056,12,0,8,14.54%,0.59%,,,https://www.amazon.com/Lean-Pete-Charlie-Plummer/dp/B07BVTF9TG/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975150&sr=1-2&keywords=Lean+on+Pete,,,,,"Apr 27, 2018",
