Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Jack the Giant Slayer,2013,adaptation,52,51,52,55,61,-6,58,-7,,"Adventure, Drama, Fantasy, Romance",27202226,27.20,65187603,65.19,132.50,132500000,"197,687,603",198,67.02%,195,101.38%,13.95%,,,http://www.amazon.com/gp/product/B00CISAPJS/?tag=titb-20,1,,,,"Mar 1, 2013",
World War Z,2013,adaptation,68,63,66,72,68,4,70,-5,,"Action, Adventure, Sci-Fi, Drama, Thriller, Horror",66411834,66,202359711,202,338,337648165,"540,007,876",540,62.53%,190,284.21%,34.95%,,,http://www.amazon.com/gp/product/B00F91SCXC/?tag=titb-20,1,,,,"Jun 21, 2013",
Pacific Rim,2013,original screenplay,72,64,68,77,75,2,76,-8,,"Action, Adventure, Sci-Fi, Fantasy",37285325,37.29,101802906,101.80,309.20,309200000,"411,002,000",411,75.23%,190,216.32%,19.62%,,,http://www.amazon.com/gp/product/B00FWLTPU8/?tag=titb-20,1,,,,"Jul 12, 2013",
Star Trek Into Darkness,2013,sequel,87,72,80,90,78,12,84,-5,,"Action, Adventure, Sci-Fi. Thriller",70165559,70.17,228778661,228.78,239,239000000,"467,778,661",468,51.09%,190,246.20%,36.93%,,,http://www.amazon.com/gp/product/B00E5Q1LTY/?tag=titb-20,1,,,,"May 16, 2013",
47 Ronin,2013,original screenplay,14,28,21,48,63,-15,56,-35,,"Action, Adventure, Drama, Fantasy",9910310,9.91,38362475,38.36,112.60,112600000,"150,962,475",151,74.59%,175,86.26%,5.66%,,,http://www.amazon.com/gp/product/B00J0I67XM/?tag=titb-20,1,,,,"Dec 25, 2013",
Thor: The Dark World,2013,sequel,65,54,60,78,74,4,76,-17,,"Action, Adventure, Fantasy",85737841,86,206362140,206,438,438209262,"644,783,140",645,67.96%,170,379.28%,50.43%,,,http://www.amazon.com/gp/product/B00IMYZL2S/?tag=titb-20,1,,,,"Nov 8, 2013",
Fast & Furious 6,2013,sequel,69,61,65,84,71,13,78,-13,,"Action, Adventure, Thriller, Crime",97375245,97,238679850,239,550,550000000,"788,679,850",789,69.74%,160,492.92%,60.86%,,,http://www.amazon.com/gp/product/B00FY2UJAU/?tag=titb-20,1,,,,"May 24, 2013",
White House Down,2013,original screenplay,51,52,52,63,59,4,61,-10,,"Action, Drama, Thriller",24852258,24.85,73103784,73.10,132.26,132262953,"205,366,737",205,64.40%,150,136.91%,16.57%,,,http://www.amazon.com/gp/product/B00EVW0VTI/?tag=titb-20,1,,,,"Jun 28, 2013",
The Croods,2013,original screenplay,70,55,63,78,71,7,75,-12,,"Adventure, Comedy, Animation, Family",43639736,44,187168425,187,400,400036243,"587,204,668",587,68.13%,135,434.97%,32.33%,,,http://www.amazon.com/gp/product/B00E0SX118/?tag=titb-20,1,,,,"Mar 22, 2013",
Turbo,2013,original screenplay,67,58,63,66,62,4,64,-2,,"Adventure, Sport, Comedy, Animation, Family",21312625,21.31,83028128,83.03,199.54,199542554,"282,570,682",283,70.62%,135,209.31%,15.79%,,,http://www.amazon.com/gp/product/B00FRMDH7Y/?tag=titb-20,1,,,,"Jul 17, 2013",
R.I.P.D.,2013,adaptation,13,25,19,39,47,-8,43,-24,,"Action, Fantasy, Comedy, Crime",12691415,12.69,33618855,33.62,44.71,44705365,"78,324,220",78,57.08%,130,60.25%,9.76%,,,http://www.amazon.com/gp/product/B00FPH51LQ/?tag=titb-20,1,,,,"Jul 19, 2013",
After Earth,2013,original screenplay,11,33,22,37,41,-4,39,-17,,"Action, Adventure, Sci-Fi, Mystery",27520040,27.52,60522097,60.52,183.32,183321030,"243,843,127",244,75.18%,130,187.57%,21.17%,,,http://www.amazon.com/gp/product/B00EP0KBXM/?tag=titb-20,1,,,,"May 31, 2013",
G.I. Joe: Retaliation,2013,sequel,28,41,35,49,53,-4,51,-17,,"Action, Adventure, Sci-Fi, Thriller",40501814,40.50,122523060,122.52,253.22,253217645,"375,740,705",376,67.39%,130,289.03%,31.16%,,,http://www.amazon.com/gp/product/B00E8B1358/?tag=titb-20,1,,,,"Mar 28, 2013",
The Hunger Games: Catching Fire,2013,sequel,89,75,82,90,79,11,85,-3,,"Action, Adventure, Sci-Fi, Drama, Thriller",158074286,158,424668047,425,440,440343699,"864,912,963",865,50.91%,130,665.32%,121.60%,,,http://www.amazon.com/gp/product/B00I2TV3NO/?tag=titb-20,1,,,,"Nov 22, 2013",
Oblivion,2013,adaptation,54,54,54,61,70,-9,66,-12,,"Action, Adventure, Sci-Fi, Mystery, Thriller",37054485,37.05,89107235,89.11,197.06,197061337,"286,168,572",286,68.86%,120,238.47%,30.88%,,,http://www.amazon.com/gp/product/B00DP3IGJ6/?tag=titb-20,1,,,,"Apr 19, 2013",
The Wolverine,2013,adaptation,69,60,65,70,67,3,69,-4,,"Action, Adventure, Sci-Fi, Fantasy",53113752,53,132556852,133,282,282271394,"414,828,246",415,68.05%,120,345.69%,44.26%,,,http://www.amazon.com/gp/product/B008ASLK8A/,1,,,,"Jul 26, 2013",
Elysium,2013,original screenplay,68,61,65,58,69,-11,64,1,,"Action, Sci-Fi, Drama, Thriller",29807393,29.81,93050117,93.05,193.09,193090583,"286,140,700",286,67.48%,115,248.82%,25.92%,,,http://www.amazon.com/gp/product/B00G3HSF7O/?tag=titb-20,1,,,,"Aug 9, 2013",
Ender's Game,2013,adaptation,60,51,56,66,68,-2,67,-12,,"Action, Adventure, Sci-Fi",27017351,27.02,61737191,61.74,63.80,63800000,"125,537,191",126,50.82%,110,114.12%,24.56%,,,http://www.amazon.com/gp/product/B00HV8T8S4/?tag=titb-20,1,,,,"Nov 1, 2013",
The Great Gatsby,2013,adaptation,48,55,52,68,72,-4,70,-19,,"Drama, Romance",50085185,50,144840419,145,206,206200000,"351,040,419",351,58.74%,105,334.32%,47.70%,,,http://www.amazon.com/gp/product/B00ESY77LO/?tag=titb-20,1,,,,"May 10, 2013",
The Smurfs 2,2013,sequel,14,34,24,57,35,22,46,-22,,"Fantasy, Comedy, Animation, Family",17548389,17.55,71017784,71.02,276.53,276527576,"347,545,360",348,79.57%,105,331.00%,16.71%,,,http://www.amazon.com/gp/product/B00FPTW1A8/?tag=titb-20,1,,,,"Jul 31, 2013",
The Hangover Part III,2013,sequel,19,30,25,45,54,-9,50,-25,,Comedy,41671198,41.67,112200072,112.20,249.80,249800000,"362,000,072",362,69.01%,103,351.46%,40.46%,,,http://www.amazon.com/gp/product/B00FPGSPQU/?tag=titb-20,1,,,,"May 23, 2013",
Epic,2013,adaptation,64,52,58,65,63,2,64,-6,,"Adventure, Fantasy, Comedy, Animation, Family",33531068,33.53,107518682,107.52,160.91,160907952,"268,426,634",268,59.94%,100,268.43%,33.53%,,,http://www.amazon.com/gp/product/B00ECHM73U/?tag=titb-20,1,,,,"May 24, 2013",
The Wolf of Wall Street,2013,based on a true story,77,75,76,82,78,4,80,-4,,"Biography, Drama, Comedy, Crime",18361578,18.36,116900694,116.90,275.10,275100000,"392,000,694",392,70.18%,100,392.00%,18.36%,,,http://www.amazon.com/gp/product/B00IIUATDM/?tag=titb-20,1,,,,"Dec 25, 2013",
A Good Day to Die Hard,2013,sequel,14,28,21,41,47,-6,44,-23,,"Action, Thriller, Crime",24834845,24.83,67349198,67.35,237.30,237304984,"304,654,182",305,77.89%,92,331.15%,26.99%,,,http://www.amazon.com/gp/product/B00CFQMVLS/?tag=titb-20,1,,,,"Feb 14, 2013",
The Secret Life of Walter Mitty,2013,"adaptation, remake / reboot",50,54,52,70,74,-4,72,-20,,"Adventure, Drama, Fantasy, Comedy",12765508,12.77,58236838,58.24,129.90,129896484,"188,133,322",188,69.04%,90,209.04%,14.18%,,,http://www.amazon.com/gp/product/B00ISJT5IS/?tag=titb-20,1,,,,"Dec 25, 2013",
Percy Jackson: Sea of Monsters,2013,sequel,42,39,41,56,52,4,54,-14,,"Action, Adventure, Drama, Fantasy, Famiily",14401054,14.40,68559554,68.56,131.29,131290761,"199,850,315",200,65.69%,90,222.06%,16.00%,,,http://www.amazon.com/gp/product/B00GK65HWE/?tag=titb-20,1,,,,"Aug 7, 2013",
Red 2,2013,sequel,43,47,45,63,67,-4,65,-20,,"Action, Thriller, Comedy, Crime",18048422,18.05,53262560,53.26,94.81,94813005,"148,075,565",148,64.03%,84,176.28%,21.49%,,,http://www.amazon.com/gp/product/B00FXMGI0G/?tag=titb-20,1,,,,"Jul 19, 2013",
Grown Ups 2,2013,sequel,7,19,13,54,31,23,43,-30,,Comedy,41508572,42,133668525,134,113,113315753,"246,984,278",247,45.88%,80,308.73%,51.89%,,,http://www.amazon.com/gp/product/B00FNSR9DK/?tag=titb-20,1,,,,"Jul 12, 2013",
Cloudy With a Chance of Meatballs 2,2013,sequel,70,59,65,67,71,-4,69,-5,,"Sci-Fi, Fantasy, Comedy, Animation, Family",34017930,34.02,119793567,119.79,154.53,154532382,"274,325,949",274,56.33%,78,351.70%,43.61%,,,http://www.amazon.com/gp/product/B00304E5NG/?tag=titb-20,1,,,,"Sep 27, 2013",
Despicable Me 2,2013,sequel,74,62,68,85,74,11,80,-12,,"Adventure, Sci-Fi, Comedy, Crime, Animation, Family",83517315,84,368061265,368,603,602700620,"970,761,885",971,62.09%,78,1244.57%,107.07%,,,http://www.amazon.com/gp/product/B00FVZJUS2/?tag=titb-20,1,,,,"Jul 3, 2013",
Now You See Me,2013,original screenplay,50,50,50,71,69,2,70,-20,,"Mystery, Thriller, Crime",29350389,29.35,117723989,117.72,234.00,234000000,"351,723,989",352,66.53%,75,468.97%,39.13%,,,http://www.amazon.com/gp/product/B00EY8BRGU/?tag=titb-20,1,,,,"May 31, 2013",
Olympus Has Fallen,2013,original screenplay,48,41,45,67,58,9,63,-18,,"Action, Thriller",30373794,30.37,98925640,98.93,62.10,62100000,"161,025,640",161,38.57%,70,230.04%,43.39%,,,http://www.amazon.com/gp/product/B00ECU9EYW/?tag=titb-20,1,,,,"Mar 22, 2013",
2 Guns,2013,adaptation,64,55,60,67,66,1,67,-7,,"Action, Drama, Thriller, Comedy, Crime ",27059130,27.06,75612460,75.61,56.33,56327951,"131,940,411",132,42.69%,61,216.30%,44.36%,,,http://www.amazon.com/gp/product/B00G5SQFXC/?tag=titb-20,1,,,,"Aug 2, 2013",
Beautiful Creatures,2013,adaptation,46,52,49,54,61,-7,58,-9,,"Drama, Fantasy, Romance",7582595,7.58,19452138,19.45,40.60,40600000,"60,052,138",60,67.61%,60,100.09%,12.64%,,,http://www.amazon.com/gp/product/B00CWVGS10/?tag=titb-20,1,,,,"Feb 14, 2013",
The Mortal Instruments: City of Bones,2013,adaptation,12,33,23,59,64,-5,62,-39,,"Action, Adventure, Drama, Mystery, Fantasy, Romance",9336957,9.34,31165421,31.17,59.40,59400000,"90,565,421",91,65.59%,60,150.94%,15.56%,,,http://www.amazon.com/gp/product/B00FW1CSNE/?tag=titb-20,1,,,,"Aug 21, 2013",
Gangster Squad,2013,based on a true story,31,40,36,57,63,-6,60,-25,,"Action, Drama, Thriller, Crime",17070347,17.07,46000903,46.00,59.20,59200000,"105,200,903",105,56.27%,60,175.33%,28.45%,,,http://www.amazon.com/gp/product/B00CBKVMG8/?tag=titb-20,1,,,,"Jan 11, 2013",
The Internship,2013,original screenplay,34,42,38,52,59,-7,56,-18,,Comedy,17325307,17.33,44672764,44.67,48.82,48820080,"93,492,844",93,52.22%,58,161.19%,29.87%,,,http://www.amazon.com/gp/product/B00F55HNBY/?tag=titb-20,1,,,,"Jun 7, 2013",
Captain Phillips,2013,based on a true story,93,83,88,89,81,8,85,3,,"Action, Adventure, Biography, Drama, Thriller, Crime",25718314,25.72,107100855,107.10,111.69,111690956,"218,791,811",219,51.05%,55,397.80%,46.76%,,,http://www.amazon.com/gp/product/B00HYTSTNU/?tag=titb-20,1,,,,"Oct 11, 2013",
Free Birds,2013,original screenplay,18,38,28,44,41,3,43,-15,,"Adventure, Comedy, Animation, Family",15805237,15.81,55750480,55.75,54.64,54636592,"110,387,072",110,49.50%,55,200.70%,28.74%,,,http://www.amazon.com/gp/product/B00HBCNIMM/?tag=titb-20,1,,,,"Nov 1, 2013",
Hansel and Gretel: Witch Hunters,2013,adaptation,15,21,18,52,57,-5,55,-37,,"Action, Fantasy, Horro, Comedy",19690956,19.69,55703475,55.70,170.65,170646274,"226,349,749",226,75.39%,50,452.70%,39.38%,,,http://www.amazon.com/gp/product/B00C7DGQ9C/?tag=titb-20,1,,,,"Jan 25, 2013",
Escape Plan,2013,original screenplay,49,49,49,55,74,-19,65,-16,,"Action, Sci-Fi, Drama, Mystery, Thriller, Crime",9885732,9.89,25135965,25.14,112.19,112192336,"137,328,301",137,81.70%,50,274.66%,19.77%,,,http://www.amazon.com/gp/product/B00HB92NIK/?tag=titb-20,1,,,,"Oct 18, 2013",
Planes,2013,original screenplay,26,39,33,50,34,16,42,-10,,"Adventure, Comedy, Animation, Family",22232291,22.23,90288712,90.29,148.97,148970000,"239,258,712",239,62.26%,50,478.52%,44.46%,,,http://www.amazon.com/gp/product/B00FQMVCEA/?tag=titb-20,1,,,,"Aug 9, 2013",
Anchorman 2: The Legend Continues,2013,sequel,75,61,68,53,62,-9,58,11,,Comedy,26232425,26.23,127352707,127.35,46.30,46296308,"173,649,015",174,26.66%,50,347.30%,52.46%,,,http://www.amazon.com/gp/product/B00HVNZT3M/?tag=titb-20,1,,,,"Dec 18, 2013",
Prisoners,2013,original screenplay,82,74,78,87,83,4,85,-7,,"Drama, Thriller, Crime",20817053,20.82,61002302,61.00,61.12,61124385,"122,126,687",122,50.05%,46,265.49%,45.25%,,,http://www.amazon.com/gp/product/B00GT2GUZW/?tag=titb-20,1,,,,"Sep 20, 2013",
Blue is the Warmest Colour,2013,original screenplay,91,88,90,85,82,3,84,6,,"Drama, Romance",100316,0.10,2199787,2.20,5.18,5180019,"7,379,806",7,70.19%,44,16.77%,0.23%,,,http://www.amazon.com/gp/product/B00I0PENR8/?tag=titb-20,1,,,,"Oct 9, 2013",
The Heat,2013,original screenplay,65,60,63,72,65,7,69,-6,,"Action, Comedy, Crime",39115043,39,159582188,160,70,70348583,"229,727,774",230,30.62%,43,534.25%,90.97%,,,http://www.amazon.com/gp/product/B00F4YK53Y/?tag=titb-20,1,,,,"Jun 28, 2013",
Lone Survivor,2013,adaptation,75,60,68,87,75,12,81,-14,,"Action, Biography, Drama, Thriller, War",90872,0.09,125095601,125.10,24.20,24200000,"149,295,601",149,16.21%,40,373.24%,0.23%,,,http://www.amazon.com/gp/product/B00JX1ROME/?tag=titb-20,1,,,,"Jan 10, 2013",
The Host,2013,adaptation,8,35,22,50,48,2,49,-28,,"Action, Adventure, Sci-Fi, Thriller, Romance",10600112,10.60,26627201,26.63,36.70,36700000,"63,327,201",63,57.95%,40,158.32%,26.50%,,,http://www.amazon.com/gp/product/B00DU74U74/?tag=titb-20,1,,,,"Mar 29, 2013",
42,2013,based on a true story,79,62,71,86,74,12,80,-10,,"Biography, Drama, Sport",27487144,27.49,95020213,95.02,0,0,"95,020,213",95,0.00%,40,237.55%,68.72%,,,http://www.amazon.com/gp/product/B00DYQW6EU/?tag=titb-20,1,,,,"Apr 12, 2013",
American Hustle,2013,based on a true story,93,90,92,74,75,-1,75,17,,"Drama, History, Thriller, Crime",740455,1,150117807,150,101,101054000,"251,171,807",251,40.23%,40,627.93%,1.85%,,,http://www.amazon.com/gp/product/B00J2PEZAU/?tag=titb-20,1,,,,"Dec 20, 2013",
Escape From Planet Earth,2013,original screenplay,33,35,34,54,57,-3,56,-22,,"Adventure, Sci-Fi, Comedy, Animation, Family",15891055,15.89,57012977,57.01,17.58,17584666,"74,597,643",75,23.57%,40,186.49%,39.73%,,,http://www.amazon.com/gp/product/B00CNT53YY/?tag=titb-20,1,,,,"Feb 15, 2013",
Grudge Match,2013,original screenplay,29,35,32,47,65,-18,56,-24,,"Sport, Comedy",7021993,7.02,29807260,29.81,15.10,15100000,"44,907,260",45,33.62%,40,112.27%,17.55%,,,http://www.amazon.com/gp/product/B00IJ7QSAW/?tag=titb-20,1,,,,"Dec 25, 2013",
Rush ,2013,based on a true story,89,75,82,88,85,3,87,-5,,"Action, Biography, Drama, Sport",187289,0.19,26947624,26.95,63.30,63300000,"90,247,624",90,70.14%,38,237.49%,0.49%,,,http://www.amazon.com/gp/product/B00H9671YQ/?tag=titb-20,1,,,,"Sep 27, 2013",
Riddick,2013,sequel,59,49,54,54,72,-18,63,-9,,"Action, Sci-Fi, Thriller",19030375,19.03,42025135,42.03,56.31,56312160,"98,337,295",98,57.26%,38,258.78%,50.08%,,,http://www.amazon.com/gp/product/B00GU9E17I/?tag=titb-20,1,,,,"Sep 6, 2013",
We're The Millers,2013,original screenplay,47,44,46,72,70,2,71,-26,,"Comedy, Crime",26419396,26,150394119,150,120,119600000,"269,994,119",270,44.30%,37,729.71%,71.40%,,,http://www.amazon.com/gp/product/B00FLNRN06/?tag=titb-20,1,,,,"Aug 7, 2013",
Warm Bodies,2013,adaptation,81,59,70,73,69,4,71,-1,,"Drama, Horror, Comedy, Romance",20353987,20.35,66380662,66.38,50.60,50600000,"116,980,662",117,43.26%,35,334.23%,58.15%,,,http://www.amazon.com/gp/product/B00CL50LEC/?tag=titb-20,1,,,,"Feb 1, 2013",
Mandela: Long Walk to Freedom,2013,based on a true story,58,60,59,69,59,10,64,-5,,"Biography, Drama, History",84283,0.08,8323085,8.32,19.01,19010750,"27,333,835",27,69.55%,35,78.10%,0.24%,,,http://www.amazon.com/gp/product/B00IF5P8TA/?tag=titb-20,1,,,,"Nov 29, 2013",
Saving Mr. Banks,2013,based on a true story,80,65,73,84,77,7,81,-8,,"Biography, Drama, History, Comedy, Music, Family",413373,0.41,83301580,83.30,29.24,29243000,"112,544,580",113,25.98%,35,321.56%,1.18%,,,http://www.amazon.com/gp/product/B00J2PEU3W/?tag=titb-20,1,,,,"Dec 20, 2013",
Identity Thief,2013,original screenplay,19,35,27,54,49,5,52,-25,,"Comedy, Crime",34551025,34.55,134506920,134.51,0.00,39.46,"173,965,010",174,0.00%,35,497.04%,98.72%,,,http://www.amazon.com/gp/product/B00D6C6JAO/?tag=titb-20,1,,,,"Feb 8, 2013",
Snitch,2013,original screenplay,56,51,54,61,60,1,61,-7,,"Action, Drama, Thriller",13167607,13.17,42930462,42.93,14.89,14894212,"42,930,477",43,34.69%,35,122.66%,37.62%,,,http://www.amazon.com/gp/product/B00CTSYHLE/?tag=titb-20,1,,,,"Feb 22, 2013",
This is the End,2013,original screenplay,83,67,75,71,71,0,71,4,,"Action, Sci-Fi, Fantasy, Comedy",20719162,20.72,101470202,101.47,24.57,24571120,"126,041,120",126,19.49%,32,393.88%,64.75%,,,http://www.amazon.com/gp/product/B00EP0MY64/?tag=titb-20,1,,,,"Jun 12, 2013",
Oldboy,2013,adaptation,41,49,45,37,47,-10,42,3,,"Action, Drama, Mystery, Thriller",885382,0.89,2193658,2.19,2.67,2667364,"4,861,022",5,54.87%,30,16.20%,2.95%,,,http://www.amazon.com/gp/product/B00I95N384/?tag=titb-20,1,,,,"Nov 27, 2013",
The Family,2013,adaptation,29,42,36,41,61,-20,51,-16,,"Action, Drama, Thriller, Comedy, Crime",14034764,14.03,36918811,36.92,41.50,41500000,"78,418,811",78,52.92%,30,261.40%,46.78%,,,http://www.amazon.com/gp/product/B00GJ4A9NO/?tag=titb-20,1,,,,"Sep 13, 2013",
Carrie,2013,"adaptation, remake / reboot",48,53,51,45,62,-17,54,-3,,"Sci-Fi, Drama, Horro",12101552,12.10,35266619,35.27,49.52,49524059,"84,790,678",85,58.41%,30,282.64%,40.34%,,,http://www.amazon.com/gp/product/B00HME4I0A/?tag=titb-20,1,,,,"Oct 18, 2013",
Lee Daniels' The Butler,2013,based on a true story,72,66,69,78,67,11,73,-4,,"Biography, Drama, History",24637312,24.64,116632095,116.63,59.97,59966813,"176,598,908",177,33.96%,30,588.66%,82.12%,,,http://www.amazon.com/gp/product/B00H6PG2NG/?tag=titb-20,1,,,,"Aug 16, 2013",
Side Effects,2013,original screenplay,83,75,79,70,75,-5,73,7,,"Drama, Thriller, Crime",9303145,9.30,32172757,32.17,31.20,31200000,"63,372,757",63,49.23%,30,211.24%,31.01%,,,http://www.amazon.com/gp/product/B00CWV8X04/?tag=titb-20,1,,,,"Feb 8, 2013",
Safe Haven,2013,adaptation,12,34,23,67,54,13,61,-38,,"Drama, Mystery, Thriller, Romance",21401594,21.40,71349120,71.35,26.25,26245020,"97,594,140",98,26.89%,28,348.55%,76.43%,,,http://www.amazon.com/gp/product/B00COGXGNQ/?tag=titb-20,1,,,,"Feb 14, 2013",
Last Vegas,2013,original screenplay,46,48,47,60,70,-10,65,-18,,Comedy,16334566,16.33,63914167,63.91,70.49,70488283,"134,402,450",134,52.45%,28,480.01%,58.34%,,,http://www.amazon.com/gp/product/B00HZ4AFOU/?tag=titb-20,1,,,,"Nov 1, 2013",
Kick-Ass 2,2013,sequel,30,41,36,58,72,-14,65,-30,,"Action, Thriller, Comedy, Crime",13332955,13.33,28795985,28.80,32.00,32000000,"60,795,985",61,52.64%,28,217.13%,47.62%,,,http://www.amazon.com/gp/product/B00GQ69PUI/?tag=titb-20,1,,,,"Aug 16, 2013",
Pain & Gain,2013,adaptation,49,45,47,47,65,-18,56,-9,,"Action, Drama, Thriller, Comedy, Crime",20244505,20.24,49875291,49.88,36.30,36300000,"86,175,291",86,42.12%,26,331.44%,77.86%,,,http://www.amazon.com/gp/product/B00ESY863M/?tag=titb-20,1,,,,"Apr 26, 2013",
Delivery Man,2013,original screenplay,39,44,42,47,61,-14,54,-13,,"Drama, Comedy",7944977,7.94,30664106,30.66,20.50,20500000,"51,164,106",51,40.07%,26,196.79%,30.56%,,,http://www.amazon.com/gp/product/B00I8R4DNC/?tag=titb-20,1,,,,"Nov 22, 2013",
August: Osage County,2013,adaptation,64,58,61,66,70,-4,68,-7,,"Drama, Comedy",179302,0.18,37738810,37.74,36.45,36450127,"74,188,937",74,49.13%,25,296.76%,0.72%,,,http://www.amazon.com/gp/product/B00IEPTXUG/?tag=titb-20,1,,,,"Dec 27, 2013",
Tyler Perry's A Madea Christmas,2013,adaptation,18,28,23,71,37,34,54,-31,,"Drama, Comedy",16007634,16.01,52543354,52.54,0.85,853000,"53,396,354",53,1.60%,25,213.59%,64.03%,,,http://www.amazon.com/gp/product/B00NPTL6O2/?tag=titb-20,1,,,,"Dec 13, 2013",
