Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Frozen,2013,adaptation,89,74,82,86,77,9,82,0,,"Action, Adventure, Mystery, Thriller, Fantasy, Comedy, Romance, Animation, Family, Musical",243390,0,400738009,401,876,875742326,"1,274,219,009","1,274",68.73%,150,849.48%,0.16%,Oscar winner,Best Animated Feature,http://www.amazon.com/gp/product/B00HV2KPNW/?tag=titb-20,1,,,,"Nov 27, 2013",
Gravity,2013,original screenplay,97,96,97,80,78,2,79,18,,"Sci-Fi, Drama, Mystery, Thriller",55785112,56,274092705,274,449,449100000,"716,392,705",716,62.69%,100,716.39%,55.79%,Oscar winner,Best Director,http://www.amazon.com/gp/product/B00HJ92QTI/,1,,,,"Oct 4, 2013",
Her ,2013,original screenplay,94,90,92,82,85,-3,84,9,,"Sci-Fi, Drama, Comedy, Romance",260382,0.26,25568251,25.57,21.78,21783000,"47,351,251",47,46.00%,23,205.88%,1.13%,Oscar winner,Best Original Screenplay (Spike Jonze),http://www.amazon.com/Her-Joaquin-Phoenix/dp/B00IA3NGB4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1456346457&sr=1-1&keywords=her,1,,,,"Dec 18, 2013",
12 Years a Slave,2013,adaptation,96,97,97,90,80,10,85,12,,"Biography, Drama, History",923715,0.92,56671993,56.67,131.06,131061209,"187,733,202",188,69.81%,20,938.67%,4.62%,Oscar winner,"Best Picture, Best Adapted Screenplay",http://www.amazon.com/gp/product/B00IRMTTPU/?tag=titb-20,1,,,,"Oct 18, 2013",
Blue Jasmine,2013,original screenplay,91,78,85,77,76,1,77,8,,"Drama, Comedy",612064,0.61,33405481,33.41,64.10,64100000,"97,505,481",98,65.74%,18,541.70%,3.40%,Oscar winner,Best Actress (Cate Blanchett),http://www.amazon.com/gp/product/B00HAQAQME/?tag=titb-20,1,,,,"Aug 23, 2013",
Dallas Buyers Club,2013,based on a true story,93,84,89,91,83,8,87,2,,"Biography, Drama, History",260865,0.26,27298285,27.30,27.90,27900000,"55,198,285",55,50.55%,5,1103.97%,5.22%,Oscar winner,"Best Supporting Actor (Jared Leto), Best Makeup and Hairstyling (Adruitha Lee and Robin Mathews), Best Actor (Matthew McConaughey)",http://www.amazon.com/gp/product/B00I8H6X58/?tag=titb-20,1,,,,"Nov 22, 2013",
Man of Steel ,2013,adaptation,56,55,56,76,76,0,76,-21,,"Action, Adventure, Sci-Fi, Fantasy",116619362,117,291045518,291,377,377000000,"668,045,518",668,56.43%,225,296.91%,51.83%,,,http://www.amazon.com/gp/product/B00G91WB3S/?tag=titb-20,1,,,,"Jun 14, 2013",
The Hobbit: The Desolation of Smaug,2013,adaptation,74,66,70,86,78,8,82,-12,,"Action, Drama, Fantasy",73645187,74,258366855,258,700,700000000,"960,366,855",960,72.89%,225,426.83%,32.73%,,,http://www.amazon.com/gp/product/B00ISJSK7K/?tag=titb-20,1,,,,"Dec 13, 2013",
Oz The Great and Powerful,2013,adaptation,59,44,52,56,61,-5,59,-7,,"Action, Adventure, Fantasy, Family",79110453,79,234911825,235,258,258400000,"493,311,825",493,52.38%,215,229.45%,36.80%,,,http://www.amazon.com/gp/product/B00DC7NNAC/?tag=titb-20,1,,,,"Mar 8, 2013",
The Lone Ranger,2013,adaptation,31,37,34,51,65,-14,58,-24,,"Action, Adventure, Western",29210849,29.21,89302115,89.30,171.20,171200000,"260,502,115",261,65.72%,215,121.16%,13.59%,,,http://www.amazon.com/gp/product/B00G8P1WXK/?tag=titb-20,1,,,,"Jul 3, 2013",
Iron Man 3,2013,sequel,79,62,71,79,64,15,72,-1,,"Action, Adventure, Sci-Fi, Thriller, Fantasy",174144585,174,409013994,409,806,805797258,"1,215,439,994","1,215",66.30%,200,607.72%,87.07%,,,http://www.amazon.com/gp/product/B00FEHXCIG/?tag=titb-20,1,,,,"May 3, 2013",
Monsters University,2013,sequel,78,65,72,82,78,4,80,-9,,"Adventure, Fantasy, Comedy, Animation, Family",82429469,82,268492764,268,476,475736673,"738,892,764",739,64.39%,200,369.45%,41.21%,,,http://www.amazon.com/gp/product/B00G9U7NEQ/?tag=titb-20,1,,,,"Jun 21, 2013",
