Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
The Master,2012,original screenplay,85,86,86,59,69,-10,64,22,,drama,736311,1.00,16377274,16.00,11.88,11880786,28258060,28,42.04%,32,88.31,3.13%,,,http://www.amazon.com/gp/product/B00BLGXL3U/?tag=titb-20,1,,,,"Sep 21, 2012",
Anna Karenina,2012,adaptation,63,63,63,51,65,-14,58,5,,drama,320690,0.32,12816367,12.82,56.11,56112783,68929150,69,81.41%,31,222.35%,1.03%,,,http://www.amazon.com/gp/product/B00BHU9BV6/?tag=titb-20,1,,,,"Nov 16, 2012",
Flight,2012,original screenplay,78,76,77,75,72,3,74,4,,thriller,24900566,24.90,93772375,93.77,68.00,68000000,161772375,162,42.03%,31,521.85%,80.32%,,,http://www.amazon.com/gp/product/B00BB8SKPW/?tag=titb-20,1,,,,"Nov 2, 2012",
The Three Stooges,2012,adaptation,52,56,54,49,59,-10,54,0,,comedy,17010125,17.01,44338224,44.34,10.48,10481077,54819301,55,19.12%,30,182.73%,56.70%,,,http://www.amazon.com/gp/product/B008DJBR5W/?tag=titb-20,1,,,,"Apr 13, 2012",
The Impossible,2012,based on a true story ,81,73,77,85,80,5,83,-6,,"history, thriller",143818,0.14,19019882,19.02,161.25,161254241,180274123,180,89.45%,30,600.91%,0.48%,,,http://www.amazon.com/gp/product/B00CHIMG6Y/?tag=titb-20,1,,,,"Dec 21, 2012",
The Vow,2012,based on a true story ,29,43,36,63,60,3,62,-26,,romance,41202458,41.20,125014030,125.01,71.10,71100540,196114570,196,36.25%,30,653.72%,137.34%,,,http://www.amazon.com/gp/product/B007URCTOG/?tag=titb-20,1,,,,"Feb 10, 2012",
Hope Springs,2012,original screenplay,74,65,70,56,67,-11,62,8,,"comedy, romance",14650121,14.65,63536011,63.54,50.75,50745040,114281051,114,44.40%,30,380.94%,48.83%,,,http://www.amazon.com/gp/product/B00AHSINKO/?tag=titb-20,1,,,,"Aug 8, 2012",
Looper,2012,original screenplay,93,84,89,82,77,5,80,9,,"action, crime, sci-fi",20801522,20.80,66486205,66.49,110.02,110020614,176506819,177,62.33%,30,588.36%,69.34%,,,http://www.amazon.com/gp/product/B00A9X9TIW/?tag=titb-20,1,,,,"Sep 28, 2012",
Safe (2012),2012,original screenplay,57,55,56,60,63,-3,62,-6,,"action, crime, thriller",7892539,7.89,17142080,17.14,23.20,23204106,40346186,40,57.51%,30,134.49%,26.31%,,,http://www.amazon.com/gp/product/B0095R5YIC/?tag=titb-20,1,,,,"Apr 27, 2012",
The Cabin in the Woods,2012,original screenplay,92,72,82,73,74,-1,74,9,,"horror, mystery, thriller",14743614,14.74,42073277,42.07,24.41,24412803,66486080,66,36.72%,30,221.62%,49.15%,,,http://www.amazon.com/gp/product/B009CPN42K/?tag=titb-20,1,,,,"Apr 13, 2012",
The Five-Year Engagement,2012,original screenplay,63,62,63,52,63,-11,58,5,,"comedy, romance",10610060,10.61,28835528,28.84,25.07,25074223,53909751,54,46.51%,30,179.70%,35.37%,,,http://www.amazon.com/gp/product/B0095T3H2U/?tag=titb-20,1,,,,"Apr 27, 2012",
Lawless,2012,adaptation,67,58,63,75,70,5,73,-10,,crime ,10001982,10.00,37400127,37.40,16.28,16276453,53676580,54,30.32%,26,206.45%,38.47%,,,http://www.amazon.com/gp/product/B00AE2LJVS/?tag=titb-20,1,,,,"Aug 29, 2012",
The Lucky One,2012,adaptation,20,39,30,68,55,13,62,-32,,romance,22518358,22.52,60457138,60.46,38.90,38900000,99357138,99,39.15%,25,397.43%,90.07%,,,http://www.amazon.com/gp/product/B00932A4N4/?tag=titb-20,1,,,,"Apr 20, 2012",
Parental Guidance,2012,original screenplay,18,36,27,61,49,12,55,-28,,comedy,14554053,14.55,77267296,77.27,42.50,42504936,119772232,120,35.49%,25,479.09%,58.22%,,,http://www.amazon.com/gp/product/B00C1BVM8A/?tag=titb-20,1,,,,"Dec 25, 2012",
The Grey,2012,original screenplay,79,64,72,61,69,-8,65,7,,"action, adventure  ",19665101,19.67,51580236,51.58,25.70,25698095,77278331,77,33.25%,25,309.11%,78.66%,,,http://www.amazon.com/gp/product/B007WV05GY/?tag=titb-20,1,,,,"Jan 27, 2012",
Contraband,2012,remake / reboot,51,51,51,58,60,-2,59,-8,,"action, crime, drama",24349815,24.35,66528000,66.53,29.73,29734212,96262212,96,30.89%,25,385.05%,97.40%,,,http://www.amazon.com/gp/product/B007X16GFC/?tag=titb-20,1,,,,"Jan 13, 2012",
Haywire,2012,original screenplay,80,67,74,40,55,-15,48,26,,"action, thriller",8425370,8.43,18942396,18.94,14.43,14430210,33372606,33,43.24%,23,145.10%,36.63%,,,http://www.amazon.com/gp/product/B007Z9RAX4/?tag=titb-20,1,,,,"Jan 20, 2012",
Diary of a Wimpy Kid: Dog Days,2012,adaptation,51,54,53,64,71,-7,68,-15,,"comedy, family",14623599,14.62,49008662,49.01,28.10,28103514,77112176,77,36.44%,22,350.51%,66.47%,,,http://www.amazon.com/gp/product/B00APVBKR6/?tag=titb-20,1,,,,"Aug 3, 2012",
Pitch Perfect,2012,adaptation,81,66,74,83,78,5,81,-7,,"comedy, music, romance",5149433,5.15,65001093,65.00,48.04,48040982,113042075,113,42.50%,17,664.95%,30.29%,,,http://www.amazon.com/gp/product/B015O6OZUA/?tag=titb-20,1,,,,"Sep 28, 2012",
The Woman in Black,2012,adaptation,66,62,64,55,66,-11,61,4,,"horror, thriller",20874072,20.87,54333290,54.33,73.40,73397446,127730736,128,57.46%,17,751.36%,122.79%,,,http://www.amazon.com/gp/product/B008Y7EYSK/?tag=titb-20,1,,,,"Feb 3, 2012",
Moonrise Kingdom,2012,original screenplay,94,84,89,86,80,6,83,6,,"comedy, romance",522996,0.52,45512466,45.51,22.75,22750700,22750700,23,100.00%,16,142.19%,3.27%,,,http://www.amazon.com/gp/product/B009RI4FRU/?tag=titb-20,1,,,,"Jun 29, 2012",
Killing Them Softly,2012,adaptation,75,64,70,44,59,-15,52,18,,"crime, thriller",6812900,6.81,15026056,15.03,22.90,22904409,37930465,38,60.39%,15,252.87%,45.42%,,,http://www.amazon.com/gp/product/B00BJOCX24/?tag=titb-20,1,,,,"Nov 30, 2012",
Salmon Fishing in the Yemen,2012,adaptation,67,58,63,64,65,-1,65,-2,,"comedy, romance",225894,0.23,9047981,9.05,25.52,25516670,34564651,35,73.82%,15,230.43%,1.51%,,,http://www.amazon.com/gp/product/B008Y720JU/?tag=titb-20,1,,,,"Mar 9, 2012",
Seven Psychopaths,2012,original screenplay,83,66,75,71,74,-3,73,2,,"comedy, crime, thriller",4174915,4.17,15024049,15.02,4.40,4398212,19422261,19,22.65%,15,129.48%,27.83%,,,http://www.amazon.com/gp/product/B00B7G2HQ6/?tag=titb-20,1,,,,"Oct 12, 2012",
The Possession,2012,original screenplay,40,45,43,49,54,-5,52,-9,,"horror, thriller",17732480,17.73,49130154,49.13,36.32,36315921,85446075,85,42.50%,14,610.33%,126.66%,,,http://www.amazon.com/gp/product/B00B19DMUE/?tag=titb-20,1,,,,"Aug 31, 2012",
Sparkle (2012),2012,remake / reboot,57,54,56,65,63,2,64,-9,,music  ,11643342,11.64,24397469,24.40,0.24,240000,24637469,25,0.97%,14,175.98%,83.17%,,,http://www.amazon.com/gp/product/B00AFS3E00/?tag=titb-20,1,,,,"Aug 17, 2012",
The Perks of Being a Wallflower,2012,adaptation,85,67,76,89,84,5,87,-11,,romance,228359,0.23,17742948,17.74,15.64,15641179,33384127,33,46.85%,13,256.80%,1.76%,,,http://www.amazon.com/gp/product/B00AVTMCYW/?tag=titb-20,1,,,,"Oct 12, 2012",
