Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Brave,2012,original screenplay,78,69,74,76,72,4,74,-1,,"animation, action, adventure",66323594,66.32,237283207,237.28,301.70,"301,700,000",538983207,539,55.98%,185,291.34%,35.85%,Oscar winner,Best Animated Feature,http://www.amazon.com/gp/product/B009D5VNLS/?tag=titb-20,1,,,,"Jun 22, 2012",
Life of Pi,2012,adaptation,87,79,83,85,78,7,82,2,,"adventure, fantasy",22451514,22.45,124987023,124.99,484.03,484029542,609016565,609,79.48%,120,507.51%,18.71%,Oscar winner,Best Director,http://www.amazon.com/gp/product/B00BSBT8M6/?tag=titb-20,1,,,,"Nov 21, 2012",
Django Unchained,2012,original screenplay,88,81,85,92,85,7,89,-4,,"adventure, western",30122888,30.12,162805434,162.81,262.56,262562804,425368238,425,61.73%,100,425.37%,30.12%,Oscar winner,Best Original Screenplay,http://www.amazon.com/gp/product/B00BJS7104/?tag=titb-20,1,,,,"Dec 25, 2012",
Argo,2012,based on a true story,96,86,91,90,79,11,85,7,,"biography, history",19458109,19.46,136025503,136.03,96.30,96300000,232325503,232,41.45%,45,516.28%,43.24%,Oscar winner,"Best Picture, Best Adapted Screenplay",http://www.amazon.com/gp/product/B00BHMETKC/?tag=titb-20,1,,,,"Oct 12, 2012",
Silver Linings Playbook,2012,adaptation,92,81,87,86,83,3,85,2,,"comedy, romance",443003,0.44,132092958,132.09,104.32,104319495,236412453,236,44.13%,21,1125.77%,2.11%,Oscar winner,Best Actress,http://www.amazon.com/gp/product/B00BZAJMWG/?tag=titb-20,1,,,,"Nov 16, 2012",
John Carter,2012,adaptation,51,51,51,60,70,-10,65,-14,,"action, adventure, fantasy",30180188,30.18,73078100,73.08,211.06,211061000,284139100,284,74.28%,250,113.66%,12.07%,,,http://www.amazon.com/gp/product/B0088RQ4X4/?tag=titb-20,1,,,,"Mar 9, 2012",
The Dark Knight Rises,2012,sequel,88,78,83,90,84,6,87,-4,,"action, crime, thriller",160887295,160.89,448139099,448.14,636.30,636300000,1084439099,"1,084",58.68%,250,433.78%,64.35%,,,http://www.amazon.com/gp/product/B009LRE040/?tag=titb-20,1,,,,"Jul 20, 2012",
The Amazing Spider-Man,2012,adaptation,73,66,70,77,72,5,75,-5,,"action, adventure, fantasy",62004688,62.00,262030663,262.03,490.19,490185894,752216557,752,65.17%,230,327.05%,26.96%,,,http://www.amazon.com/gp/product/B00JPNZPCG/?tag=titb-20,1,,,,"Jul 3, 2012",
MIB 3,2012,sequel,70,58,64,71,69,2,70,-6,,"action, comedy, sci-fi",54592779,54.59,179020854,179.02,445.01,445005922,624026776,624,71.31%,225,277.35%,24.26%,,,http://www.amazon.com/gp/product/B009HEJXFS/?tag=titb-20,1,,,,"May 25, 2012",
Marvel's The Avengers,2012,adaptation,92,69,81,91,79,12,85,-5,,"action, fantasy",207438708,207,623357910,623,895,895237000,1518594910,"1,519",58.95%,220,690.27%,94.29%,,,http://www.amazon.com/gp/product/B009GEBBNQ/?tag=titb-20,1,,,,"May 4, 2012",
Battleship,2012,original screenplay,34,41,38,55,56,-1,56,-18,,"action, adventure, sci-fi",25534825,25.53,65422625,65.42,237.60,237602860,303025485,303,78.41%,209,144.99%,12.22%,,,http://www.amazon.com/gp/product/B008N1LL42/?tag=titb-20,1,,,,"May 18, 2012",
The Hobbit: An Unexpected Journey,2012,adaptation,65,58,62,83,81,2,82,-21,,"adventure, fantasy",84617303,84.62,303003568,303.00,714.00,714000000,1017003568,"1,017",70.21%,200,508.50%,42.31%,,,http://www.amazon.com/gp/product/B00BWJ6JO4/?tag=titb-20,1,,,,"Dec 14, 2012",
Skyfall,2012,original screenplay,92,81,87,86,75,11,81,6,,"action, adventure, thriler",88364714,88.36,304360277,304.36,804.20,804200736,1108561013,"1,109",72.54%,200,554.28%,44.18%,,,http://www.amazon.com/gp/product/B00B5HQLMI/?tag=titb-20,1,,,,"Nov 9, 2012",
Snow White and the Huntsman,2012,adaptation,48,57,53,52,62,-10,57,-5,,"adventure, fantasy",56217700,56.22,155332381,155.33,241.26,241260448,396592829,397,60.83%,170,233.29%,33.07%,,,http://www.amazon.com/gp/product/B0098VXCR0/?tag=titb-20,1,,,,"Jun 1, 2012",
Wreck-It Ralph,2012,original screenplay,86,72,79,87,85,2,86,-7,,"animation, adventure, comedy",49038712,49.04,189422889,189.42,281.80,281800000,471222889,471,59.80%,165,285.59%,29.72%,,,http://www.amazon.com/gp/product/B00B2DSK06/?tag=titb-20,1,,,,"Nov 2, 2012",
Dark Shadows,2012,adaptation,38,55,47,46,56,-10,51,-5,,"comedy, horror",29685274,29.69,79727149,79.73,165.80,165800000,245527149,246,67.53%,150,163.68%,19.79%,,,http://www.amazon.com/gp/product/B009KHBDUU/?tag=titb-20,1,,,,"May 11, 2012",
Wrath of the Titans,2012,sequel,25,37,31,49,52,-3,51,-20,,"action, adventure, fantasy",33457188,33.46,83670083,83.67,221.60,221600000,305270083,305,72.59%,150,203.51%,22.30%,,,http://www.amazon.com/gp/product/B008EQIA7W/?tag=titb-20,1,,,,"Mar 30, 2012",
Rise of the Guardians,2012,adaptation,74,57,66,81,75,6,78,-13,,"animation, adventure, family",23773465,23.77,103412758,103.41,203.53,203528912,306941670,307,66.31%,145,211.68%,16.40%,,,http://www.amazon.com/gp/product/B00BBQXQFI/?tag=titb-20,1,,,,"Nov 21, 2012",
Madagascar 3: Europe's Most Wanted,2012,sequel,79,60,70,73,66,7,70,0,,"animation, adventure, comedy",60316738,60.32,216391482,216.39,530.53,"530,529,792",746921274,747,71.03%,145,515.12%,41.60%,,,http://www.amazon.com/gp/product/B0097EZ36Q/?tag=titb-20,1,,,,"Jun 8, 2012",
Prometheus,2012,original screenplay,74,65,70,69,65,4,67,3,,"adventure, mystery, sci-fi",51050101,51.05,126477084,126.48,276.88,276877385,403354469,403,68.64%,130,310.27%,39.27%,,,http://www.amazon.com/gp/product/B009AJDDQU/?tag=titb-20,1,,,,"Jun 8, 2012",
Total Recall (2012),2012,adaptation,30,43,37,47,59,-12,53,-17,,"action, adventure, sci-fi",25577758,25.58,58877969,58.88,139.59,139589199,198467168,198,70.33%,125,158.77%,20.46%,,,http://www.amazon.com/gp/product/B00A0SLTCU/?tag=titb-20,1,,,,"Aug 3, 2012",
The Bourne Legacy,2012,sequel,56,61,59,58,61,-3,60,-1,,"action, adventure, mystery",38142825,38.14,113203870,113.20,162.94,162940880,276144750,276,59.01%,125,220.92%,30.51%,,,http://www.amazon.com/gp/product/B00AMBH70S/?tag=titb-20,1,,,,"Aug 10, 2012",
The Twilight Saga: Breaking Dawn Part 2,2012,sequel,48,52,50,71,42,29,57,-7,,"adventure, fantasy",141067634,141.07,292324737,292.32,537.36,537360640,829685377,830,64.77%,120,691.40%,117.56%,,,http://www.amazon.com/gp/product/B00BLQQQJ6/?tag=titb-20,1,,,,"Nov 16, 2012",
Cloud Atlas,2012,adaptation,66,55,61,67,81,-14,74,-14,,"adventure, sci-fi  ",9612247,9.61,27108272,27.11,103.37,103374596,130482868,130,79.22%,102,127.92%,9.42%,,,http://www.amazon.com/gp/product/B00CRWJ5GO/?tag=titb-20,1,,,,"Oct 26, 2012",
The Expendables 2,2012,sequel,65,51,58,68,70,-2,69,-11,,"action, adventure, thriller",28591370,28.59,85028192,85.03,220.40,220400000,305428192,305,72.16%,100,305.43%,28.59%,,,http://www.amazon.com/gp/product/B009WUAK2M/?tag=titb-20,1,,,,"Aug 17, 2012",
Ice Age: Continental Drift,2012,sequel,37,49,43,63,60,3,62,-19,,"animation, adventure, comedy",46629259,46.63,161321843,161.32,715.92,715922939,877244782,877,81.61%,95,923.42%,49.08%,,,http://www.amazon.com/gp/product/B00APUQT7I/?tag=titb-20,1,,,,"Jul 13, 2012",
Mirror Mirror,2012,adaptation,49,46,48,45,53,-8,49,-2,,"adventure, comedy",18132085,18.13,64935167,64.94,101.24,101235755,166170922,166,60.92%,85,195.50%,21.33%,,,http://www.amazon.com/gp/product/B0086DBE62/?tag=titb-20,1,,,,"Mar 30, 2012",
Hotel Transylvania,2012,original screenplay,45,47,46,72,67,5,70,-24,,"animation, comedy, family",42522194,42.52,148313048,148.31,210.06,210062555,358375603,358,58.62%,85,421.62%,50.03%,,,http://www.amazon.com/gp/product/B00APJLY0Q/?tag=titb-20,1,,,,"Sep 28, 2012",
Safe House,2012,original screenplay,53,52,53,64,65,-1,65,-12,,"action, crime, mystery",40172720,40.17,126373434,126.37,81.70,81702771,208076205,208,39.27%,85,244.80%,47.26%,,,http://www.amazon.com/gp/product/B0088TG252/?tag=titb-20,1,,,,"Feb 10, 2012",
Journey 2: The Mysterious Island,2012,sequel,52,41,47,60,58,2,59,-13,,"action, adventure, comedy",27335363,27.34,103860290,103.86,231.40,231400000,335260290,335,69.02%,79,424.38%,34.60%,,,http://www.amazon.com/gp/product/B0088WG89O/?tag=titb-20,1,,,,"Feb 10, 2012",
The Hunger Games,2012,adaptation,84,67,76,81,70,11,76,0,,"adventure, sci-fi, thriller",152535747,152.54,408010692,408.01,283.24,283237076,691247768,691,40.97%,78,886.22%,195.56%,,,http://www.amazon.com/gp/product/B008Z9YLV2/?tag=titb-20,1,,,,"Mar 23, 2012",
Rock of Ages,2012,adaptation,41,47,44,55,59,-4,57,-13,,"comedy, musical",14437269,14.00,38518613,39.00,20.90,20900000,59418613,59,35.17%,75,79.22,18.67%,,,http://www.amazon.com/gp/product/B009NPKTN6/?tag=titb-20,1,,,,"Jun 15, 2012",
Dr. Seuss' The Lorax,2012,adaptation,54,46,50,64,65,-1,65,-15,,"animation, comedy, family",70217070,70.22,214030500,214.03,134.81,134809816,348840316,349,38.65%,70,498.34%,100.31%,,,http://www.amazon.com/gp/product/B008K3HRF0/?tag=titb-20,1,,,,"Mar 2, 2012",
That's My Boy,2012,original screenplay,20,31,26,53,54,-1,54,-28,,comedy,13453714,13.45,36931089,36.93,20.79,20788004,57719093,58,36.02%,70,82.46%,19.22%,,,http://www.amazon.com/gp/product/B009M1ACO2/?tag=titb-20,1,,,,"Jun 15, 2012",
That's My Boy,2012,original screenplay,20,31,26,53,54,-1,54,-28,,comedy,13453714,13.00,36931089,37.00,20.79,20788004,57719093,58,36.02%,70,82.46,18.57%,,,http://www.amazon.com/gp/product/B009M1ACO2/?tag=titb-20,1,,,,"Jun 15, 2012",
Underworld Awakening,2012,sequel,26,39,33,62,63,-1,63,-30,,"action, fantasy, horror",25306725,25.31,62321039,62.32,97.79,97791632,160112671,160,61.08%,70,228.73%,36.15%,,,http://www.amazon.com/gp/product/B0094M2O7C/?tag=titb-20,1,,,,"Jan 20, 2012",
Abraham Lincoln: Vampire Hunter,2012,adaptation,35,42,39,51,59,-8,55,-17,,"action, fantasy, horror",16306974,16.31,37519139,37.52,78.95,78952441,116471580,116,67.79%,69,168.80%,23.63%,,,http://www.amazon.com/gp/product/B009HV2JT8/?tag=titb-20,1,,,,"Jun 22, 2012",
The Watch,2012,original screenplay,17,36,27,40,55,-15,48,-21,,"comedy, sci-fi",12750297,13.00,35353000,35.00,32.91,32914862,68267862,68,48.21%,68,100.39,19.12%,,,http://www.amazon.com/gp/product/B00A6N773O/?tag=titb-20,1,,,,"Jul 27, 2012",
Lincoln,2012,adaptation,90,86,88,81,75,6,78,10,,"biography, history",944308,0.94,182207973,182.21,93.09,93085477,275293450,275,33.81%,65,423.53%,1.45%,,,http://www.amazon.com/gp/product/B00C1BU7V8/?tag=titb-20,1,,,,"Nov 16, 2012",
The Dictator,2012,original screenplay,57,58,58,45,62,-17,54,4,,comedy,17435092,17.44,59650222,59.65,119.73,119729311,179379533,179,66.75%,65,275.97%,26.82%,,,http://www.amazon.com/gp/product/B0090EIILU/?tag=titb-20,1,,,,"May 16, 2012",
Red Dawn (2012),2012,remake / reboot,12,31,22,52,45,7,49,-27,,"action, thriller, war",14276668,14.28,44806783,44.81,4.00,4000000,44806787,45,8.93%,65,68.93%,21.96%,,,http://www.amazon.com/gp/product/B00BP4XHZU/?tag=titb-20,1,,,,"Nov 21, 2012",
Resident Evil: Retribution,2012,sequel,31,39,35,51,50,1,51,-16,,"action, horror, sci-fi",21052227,21.05,42345531,42.35,197.81,197813724,240159255,240,82.37%,65,369.48%,32.39%,,,http://www.amazon.com/gp/product/B00APUQMD4/?tag=titb-20,1,,,,"Sep 14, 2012",
Les Miserables (2012),2012,adaptation,70,63,67,79,73,6,76,-10,,"musical, romance",27281735,27.28,148809770,148.81,293.00,293000000,441809770,442,66.32%,61,724.28%,44.72%,,,http://www.amazon.com/gp/product/B00BI5IXL4/?tag=titb-20,1,,,,"Dec 25, 2012",
Jack Reacher,2012,adaptation,61,50,56,67,62,5,65,-9,,"action, crime, thriller",15210156,15.21,80070736,80.07,138.27,138269859,218340595,218,63.33%,60,363.90%,25.35%,,,http://www.amazon.com/gp/product/B00COGY2P2/?tag=titb-20,1,,,,"Dec 21, 2012",
ParaNorman,2012,original screenplay,87,72,80,72,71,1,72,8,,"animation, adventure, comedy",14087050,14.09,56003051,56.00,51.14,51136348,107139399,107,47.73%,60,178.57%,23.48%,,,http://www.amazon.com/gp/product/B009SQOGZ2/?tag=titb-20,1,,,,"Aug 17, 2012",
Red Tails,2012,based on a true story,40,46,43,58,59,-1,59,-16,,"action, adventure",18782154,19,49876377,50,489121,489000,50365377,50,0.97%,58,86.84%,32.38%,,,http://www.amazon.com/gp/product/B0085776BG/?tag=titb-20,1,,,,"Jan 20, 2012",
Ghost Rider: Spirit of Vengeance,2012,adaptation,17,32,25,32,45,-13,39,-14,,"action, fantasy, thriller",22115334,22.12,51774002,51.77,80.79,80789928,132563930,133,60.94%,57,232.57%,38.80%,,,http://www.amazon.com/gp/product/B00845PT18/?tag=titb-20,1,,,,"Feb 17, 2012",
The Pirates! Band of Misfits,2012,adaptation,86,73,80,60,68,-8,64,16,,"animation, adventure, comedy",11137734,11.14,31051126,31.05,92.00,92002915,123054041,123,74.77%,55,223.73%,20.25%,,,http://www.amazon.com/gp/product/B0091XRRQC/?tag=titb-20,1,,,,"Apr 27, 2012",
Dredd,2012,adaptation,78,59,69,72,82,-10,77,-9,,"action, crime, sci-fi",6278491,6.00,13414714,13.00,22.21,22211811,35626525,36,62.35%,50,71.25,12.00%,,,http://www.amazon.com/gp/product/B00AYB1RGG/?tag=titb-20,1,,,,"Sep 21, 2012",
Ted,2012,original screenplay,68,62,65,74,70,4,72,-7,,"comedy, fantasy",54415205,54.42,218815487,218.82,330.55,330552828,549368315,549,60.17%,50,1098.74%,108.83%,,,http://www.amazon.com/gp/product/B00AMBLXP8/?tag=titb-20,1,,,,"Jun 29, 2012",
American Reunion,2012,sequel,44,49,47,63,69,-6,66,-20,,comedy,21514080,21.51,57011521,57.01,177.98,177978063,234989584,235,75.74%,50,469.98%,43.03%,,,http://www.amazon.com/gp/product/B008JAGZDE/?tag=titb-20,1,,,,"Apr 6, 2012",
Savages (2012),2012,adaptation,51,59,55,55,64,-9,60,-5,,"crime, thriller",16016910,16.02,47382068,47.38,35.58,35584084,82966152,83,42.89%,45,184.37%,35.59%,,,http://www.amazon.com/gp/product/B00A6N7BS0/?tag=titb-20,1,,,,"Jul 6, 2012",
Taken 2,2012,sequel,21,45,33,54,56,-2,55,-22,,"action, crime, thriller",49514769,49.51,139854287,139.85,236.29,236287019,376141306,376,62.82%,45,835.87%,110.03%,,,http://www.amazon.com/gp/product/B00APLFZWM/?tag=titb-20,1,,,,"Oct 5, 2012",
21 Jump Street,2012,adaptation,85,69,77,82,75,7,79,-2,,"action, comedy, crime",36302612,36.30,138447667,138.45,63.14,63137661,201585328,202,31.32%,42,479.97%,86.43%,,,http://www.amazon.com/gp/product/B0081L37Z0/?tag=titb-20,1,,,,"Mar 16, 2012",
Man on a Ledge,2012,original screenplay,32,40,36,52,62,-10,57,-21,,"action, crime, thriller",8001932,8.00,18620000,18.62,27.60,27601189,46221189,46,59.72%,42,110.05%,19.05%,,,http://www.amazon.com/gp/product/B0087UPMXU/?tag=titb-20,1,,,,"Jan 27, 2012",
Big Miracle,2012,adaptation,74,61,68,64,59,5,62,6,,romance,7760205,7.76,20157300,20.16,4.56,4561915,24719215,25,18.45%,40,61.80%,19.40%,,,http://www.amazon.com/gp/product/B008A1NSTG/?tag=titb-20,1,,,,"Feb 3, 2012",
Big Miracle,2012,adaptation,74,61,68,64,59,5,62,6,,romance,7760205,8.00,20157300,20.00,4.56,4561915,24719215,25,18.45%,40,61.8,20.00%,,,http://www.amazon.com/gp/product/B008A1NSTG/?tag=titb-20,1,,,,"Feb 3, 2012",
What to Expect When You're Expecting,2012,adaptation,22,41,32,48,49,-1,49,-17,,"comedy, romance",10547068,10.55,41152203,41.15,43.23,43231799,84384002,84,51.23%,40,210.96%,26.37%,,,http://www.amazon.com/gp/product/B0098VXBIA/?tag=titb-20,1,,,,"May 18, 2012",
Zero Dark Thirty,2012,based on a true story,93,95,94,80,66,14,73,21,,"history, thriller",417150,0.42,95720716,95.72,37.10,37100000,132820716,133,27.93%,40,332.05%,1.04%,,,http://www.amazon.com/gp/product/B00BF11UM0/?tag=titb-20,1,,,,"Jan 11, 2013",
The Guilt Trip,2012,original screenplay,38,50,44,40,66,-26,53,-9,,comedy,5290629,5.00,37134215,37.00,4.73,4726399,41860614,42,11.29%,40,104.65,12.50%,,,http://www.amazon.com/gp/product/B00BMT9SQA/?tag=titb-20,1,,,,"Dec 19, 2012",
Frankenweenie,2012,remake / reboot,87,74,81,70,73,-3,72,9,,"animation, comedy, family",11412213,11.41,35291068,35.29,46.20,46200000,81491068,81,56.69%,39,208.95%,29.26%,,,http://www.amazon.com/gp/product/B00AOOIIVA/?tag=titb-20,1,,,,"Oct 5, 2012",
Premium Rush,2012,original screenplay,76,66,71,60,68,-8,64,7,,"action, crime, thriller",6030164,6.00,20275446,20.00,10.81,10808153,31083599,31,34.77%,35,88.81,17.14%,,,http://www.amazon.com/gp/product/B00ARAO720/?tag=titb-20,1,,,,"Aug 24, 2012",
Premium Rush,2012,original screenplay,76,66,71,60,68,-8,64,7,,"action, crime, thriller",6030164,6.03,20275446,20.28,10.81,10808153,31083599,31,34.77%,35,88.81%,17.23%,,,http://www.amazon.com/gp/product/B00ARAO720/?tag=titb-20,1,,,,"Aug 24, 2012",
This Is 40,2012,sequel,51,59,55,51,59,-8,55,0,,comedy,11579175,11.58,67544505,67.54,20.51,20514281,88058786,88,23.30%,35,251.60%,33.08%,,,http://www.amazon.com/gp/product/B00BGIBVP8/?tag=titb-20,1,,,,"Dec 21, 2012",
Step Up Revolution,2012,sequel,42,43,43,69,46,23,58,-15,,"music, romance",11731708,11.73,35074677,35.07,105.40,105396069,140470746,140,75.03%,33,425.67%,35.55%,,,http://www.amazon.com/gp/product/B00A3YTC6Q/?tag=titb-20,1,,,,"Jul 27, 2012",
The Master,2012,original screenplay,85,86,86,59,69,-10,64,22,,drama,736311,0.74,16377274,16.38,11.88,11880786,28258060,28,42.04%,32,88.31%,2.30%,,,http://www.amazon.com/gp/product/B00BLGXL3U/?tag=titb-20,1,,,,"Sep 21, 2012",
