Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Zoolander 2,2016,sequel,23,34,28.5,22,43,-21,32.5,-4,,Comedy,13841146,13.84,28848693,28.85,27.12,27120307,55969000,55.97,48.46%,50,112%,27.68%,,,https://www.amazon.com/Zoolander-No-Magnum-Ben-Stiller/dp/B01BLZI392/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218830&sr=1-1&keywords=Zoolander+2,,,,,"Feb 12, 2016",
Barbershop: The Next Cut,2016,sequel,90,67,78.5,68,60,8,64,15,,Comedy,20242415,20.24,54030051,54.03,1.00,1000000,55030051,55.03,1.82%,20,275%,101.21%,,,https://www.amazon.com/Barbershop-Next-Cut-Anthony-Anderson/dp/B01DYYXCIU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219044&sr=1-1&keywords=Barbershop3A+The+Next+Cut,,,,,"Apr 15, 2016",
Why Him?,2016,original screenplay,40,38,39.0,63,50,13,56.5,-18,,Comedy,11002986,11.00,39508337,40,14.53,14528677,54037014,54.04,26.89%,38,142%,28.96%,,,,,,,,"Dec 23, 2016",
The Finest Hours,2016,based on a true story,63,58,60.5,66,66,0,66,-6,,thriller,10288932,10.29,27569558,27.57,24.53,24529532,52099090,52.10,47.08%,80,65%,12.86%,,,https://www.amazon.com/Finest-Hours-Theatrical-Chris-Pine/dp/B01B6YRA2O/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218809&sr=1-1&keywords=The+Finest+Hours,,,,,"Jan 29, 2016",
Arrival,2016,adaptation,93,81,87.0,82,81,1,81.5,6,,Drama,24074047,24.07,25943101,25.94,21.99,21993825,47936926,47.94,45.88%,47,102%,51.22%,,,https://www.amazon.com/Arrival-Amy-Adams/dp/B01M3XJHGR/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218714&sr=1-1&keywords=Arrival,,,,,"Nov 11, 2016",
Collateral Beauty,2016,original screenplay,12,24,18.0,69,50,19,59.5,-42,,Drama,7102085,7.10,27734185,28,20.00,20000000,47734185,47.73,41.90%,36,133%,19.73%,,,,,,,,"Dec 16, 2016",
Eddie the Eagle,2016,based on a true story,80,54,67.0,83,73,10,78,-11,,Drama,6084682,6.08,15789389,15.79,30.36,30363411,46152800,46.15,65.79%,23,201%,26.46%,,,https://www.amazon.com/Eddie-Eagle-Taron-Egerton/dp/B01BXL0HY8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218412&sr=1-1&keywords=Eddie+the+Eagle,,,,,"Feb 26, 2016",
Risen,2016,original screenplay,52,51,51.5,71,72,-1,71.5,-20,,Drama,11801271,11.80,36880033,36.88,9.19,9189535,46069568,46.07,19.95%,20,230%,59.01%,,,https://www.amazon.com/Risen-Joseph-Fiennes/dp/B01BT67CHC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218934&sr=1-1&keywords=Risen,,,,,"Feb 19, 2016",
Blair Witch,2016,sequel,36,47,41.5,34,50,-16,42,-1,,Horror,9576057,9.58,20777061,20.78,24.35,24352790,45129851,45.13,53.96%,5,903%,191.52%,,,https://www.amazon.com/Blair-Witch-James-Allen-McCune/dp/B01LR17RHE/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218609&sr=1-1&keywords=Blair+Witch,,,,,"Sep 16, 2016",
Florence Foster Jenkins,2016,based on a true story,87,71,79.0,74,72,2,73,6,,Drama,6601313,6.60,27383770,27.38,16.94,16939503,44323273,44.32,38.22%,29,153%,22.76%,,,https://www.amazon.com/Florence-Foster-Jenkins-Meryl-Streep/dp/B01K5CF9NK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218801&sr=1-1&keywords=Florence+Foster+Jenkins,,,,,"Aug 12, 2016",
Nine Lives,2016,original screenplay,11,11,11.0,43,25,18,34,-23,,Comedy,28387,0.03,19700032,19.70,24.52,24524212,44224244,44.22,55.45%,30,147%,0.09%,,,https://www.amazon.com/Nine-Lives-Kevin-Spacey/dp/B01MEGP5XV/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218584&sr=1-1&keywords=Nine+Lives,,,,,"Aug 5, 2016",
Mother’s Day,2016,original screenplay,7,18,12.5,45,22,23,33.5,-21,,"romance, comedy",8369184,8.37,32492859,32.49,11.30,11300000,43792859,43.79,25.80%,25,175%,33.48%,,,https://www.amazon.com/Mothers-Day-Jennifer-Aniston/dp/B01EVZDQ14/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218873&sr=1-1&keywords=MotherE28099s+Day,,,,,"Apr 29, 2016",
Fences,2016,adaptation,95,78,86.5,81,72,9,76.5,10,,Drama,11600170,11.60,40663264,41,0.00,0,40663264,40.66,0.00%,24,169%,48.33%,,,,,,,,"Dec 25, 2016",
The Witch,2016,original screenplay,91,83,87.0,56,71,-15,63.5,24,,Horror,8800230,8.80,25138705,25.14,15.29,15285240,40423945,40.42,37.81%,3,1347%,293.34%,,,https://www.amazon.com/Witch-Anya-Taylor-Joy/dp/B01BT3SDQO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218695&sr=1-1&keywords=The+Witch,,,,,"Feb 19, 2016",
The Wild Life,2016,original screenplay,15,36,25.5,29,33,-4,31,-6,,Adventure,4001400,4.00,8005586,8.01,31.54,31537995,39543581,39.54,79.76%,13,304%,30.78%,,,https://www.amazon.com/Wild-Life-Doug-Stone/dp/B01LRGMUY4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218086&sr=1-1&keywords=The+Wild+Life,,,,,"Sep 9, 2016",
Criminal,2016,original screenplay,30,37,33.5,49,77,-28,63,-30,,Action,5767278,5.77,14708696,14.71,24.10,24095297,38803993,38.80,62.09%,32,121%,18.02%,,,https://www.amazon.com/Criminal-Kevin-Costner/dp/B01GW4RH26/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218374&sr=1-1&keywords=Criminal,,,,,"Apr 15, 2016",
The Forest,2016,original screenplay,76,34,55.0,42,71,-29,56.5,-2,,thriller,12741176,12.74,26594261,26.59,11.01,11014038,37608299,37.61,29.29%,10,376%,127.41%,,,https://www.amazon.com/Forest-Natalie-Dormer/dp/B01D5FLDH0/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218740&sr=1-1&keywords=The+Forest,,,,,"Jan 8, 2016",
Absolutely Fabulous: The Movie,2016,adaptation,60,59,59.5,48,44,4,46,14,,Comedy,1861118,1.86,4761241,4.76,32.51,32508768,37270009,37.27,87.23%,37,101%,5.03%,,,https://www.amazon.com/Absolutely-Fabulous-Movie-Jennifer-Saunders/dp/B01MQFOPN1/ref=sr_1_cc_1?s=aps&ie=UTF8&qid=1481217851&sr=1-1-catcorr&keywords=Absolutely+Fabulous3A+The+Movie,,,,,"Jul 1, 2016",
Eye in the Sky,2016,original screenplay,95,73,84.0,83,70,13,76.5,8,,thriller,113803,0.11,18704596,18.70,14.27,14270445,32975041,32.98,43.28%,13,254%,0.88%,,,https://www.amazon.com/Eye-Sky-Helen-Mirren/dp/B01GPQPBYM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218546&sr=1-1&keywords=Eye+in+the+Sky,,,,,"Mar 11, 2016",
Snowden,2016,adaptation,63,58,60.5,73,71,2,72,-12,,Drama,8000058,8.00,21567387,21.57,9.76,9759150,31326537,31.33,31.15%,40,78%,20.00%,,,https://www.amazon.com/Snowden-Joseph-Gordon-Levitt/dp/B01LZKKXS1/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218633&sr=1-1&keywords=Snowden,,,,,"Sep 16, 2016",
