Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Hell or High Water,2016,original screenplay,98,88,93.0,89,84,5,86.5,7,,thriller,3551931,3.55,26981227,26.98,4.11,4109640,31090867,31.09,13.22%,12,259%,29.60%,,,https://www.amazon.com/Hell-High-Water-Jeff-Bridges/dp/B01K5CB2DG/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218754&sr=1-1&keywords=Hell+or+High+Water,,,,,"Aug 26, 2016",
Manchester by the Sea,2016,original screenplay,97,96,96.5,81,79,2,80,17,,Drama,256498,0.26,30308167,30,0.67,672483,30980650,30.98,2.17%,8.5,364%,3.02%,,,https://www.amazon.com/Manchester-Sea-Casey-Affleck/dp/B01M6BFCRC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640884&sr=1-1&keywords=Manchester+by+the+Sea,,,,,"Dec 16, 2016",
When the Bough Breaks,2016,original screenplay,6,28,17.0,49,23,26,36,-19,,thriller,14202323,14.20,29740655,29.74,0.85,845497,30586152,30.59,2.76%,10,306%,142.02%,,,https://www.amazon.com/When-Bough-Breaks-Theo-Rossi/dp/B01LQ60FUG/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218839&sr=1-1&keywords=When+the+Bough+Breaks,,,,,"Sep 9, 2016",
"Hello, My Name is Doris",2016,original screenplay,82,63,72.5,77,73,4,75,-3,,Drama,2376822,2.38,28751693,28.75,0.21,211196,28962889,28.96,0.73%,1,2896%,237.68%,,,https://www.amazon.com/Hello-Name-Doris-Sally-Field/dp/B01CUBR6IK/ref=sr_1_fkmr0_1?s=instant-video&ie=UTF8&qid=1481218819&sr=1-1-fkmr0&keywords=Hello2C+My+Name+is+Doris,,,,,"Mar 11, 2016",
Keeping Up with the Joneses,2016,original screenplay,19,34,26.5,46,51,-5,48.5,-22,,Comedy,5461475,5.46,14319483,14.32,13.91,13912424,28231907,28.23,49.28%,40,71%,13.65%,,,https://www.amazon.com/Keeping-Up-Joneses-Zach-Galifianakis/dp/B01M9982IY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218345&sr=1-1&keywords=Keeping+Up+with+the+Joneses,,,,,"Oct 21, 2016",
Norm of the North,2016,original screenplay,8,21,14.5,22,9,13,15.5,-1,,Adventure,6844137,6.84,17062499,17.06,10.36,10363612,27426111,27.43,37.79%,18,152%,38.02%,,,https://www.amazon.com/Norm-North-Rob-Schneider/dp/B01C3IQB4A/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218455&sr=1-1&keywords=Norm+of+the+North,,,,,"Jan 15, 2016",
The Brothers Grimsby,2016,original screenplay,37,44,40.5,42,63,-21,52.5,-12,,Comedy,3258327,3.26,6864016,6.86,18.31,18308092,25172108,25.17,72.73%,35,72%,9.31%,,,https://www.amazon.com/Brothers-Grimsby-Sacha-Baron-Cohen/dp/B01CPZMJ10/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218035&sr=1-1&keywords=The+Brothers+Grimsby,,,,,"Mar 11, 2016",
Race,2016,based on a true story,61,56,58.5,78,65,13,71.5,-13,,Drama,7353922,7.35,19115191,19.12,5.86,5864054,24979245,24.98,23.48%,5,500%,147.08%,,,https://www.amazon.com/Race-Stephan-James/dp/B01FERVANY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218564&sr=1-1&keywords=Race,,,,,"Feb 19, 2016",
Whiskey Tango Foxtrot,2016,based on a true story,68,57,62.5,55,65,-10,60,3,,Comedy,7450275,7.45,23083334,23.08,1.83,1832635,24915969,24.92,7.36%,35,71%,21.29%,,,https://www.amazon.com/Whiskey-Tango-Foxtrot-Tina-Fey/dp/B01CH2GV56/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218641&sr=1-1&keywords=Whiskey+Tango+Foxtrot,,,,,"Mar 4, 2016",
Nocturnal Animals,2016,adaptation,71,67,69.0,76,81,-5,78.5,-10,,"drama, thriller",3161381,3.16,10286142,10,13.40,13398972,23685114,23.69,56.57%,22.5,105%,14.05%,,,https://www.amazon.com/Nocturnal-Animals-Amy-Adams/dp/B01NAG5VL9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640892&sr=1-1&keywords=nocturnal+animals+movie,,,,,"Dec 9, 2016",
Masterminds,2016,based on a true story,31,47,39.0,42,46,-4,44,-5,,Comedy,6541205,6.54,17356894,17.36,6.17,6169416,23526310,23.53,26.22%,25,94%,26.16%,,,,,,,,"Sep 30, 2016",
The Choice,2016,adaptation,12,26,19.0,62,43,19,52.5,-34,,Drama,6050443,6.05,18730891,18.73,4.69,4689987,23420878,23.42,20.02%,10,234%,60.50%,,,https://www.amazon.com/Choice-Benjamin-Walker/dp/B01B8LXD08/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218555&sr=1-1&keywords=The+Choice,,,,,"Feb 5, 2016",
Bad Santa 2,2016,original screenplay,23,38,30.5,40,53,-13,46.5,-16,,Comedy,6176680,6.18,17743394,18,5.44,5443315,23186709,23.19,23.48%,26,89%,23.76%,,,,,,,,"Nov 23, 2016",
Free State of Jones,2016,original screenplay,47,53,50.0,66,64,2,65,-15,,Drama,7572206,7.57,20810036,20.81,2.34,2344199,23154235,23.15,10.12%,50,46%,15.14%,,,https://www.amazon.com/Free-State-Jones-Matthew-McConaughey/dp/B01HDR26FY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218617&sr=1-1&keywords=Free+State+of+Jones,,,,,"Jun 24, 2016",
Triple 9,2016,original screenplay,54,52,53.0,43,63,-20,53,0,,thriller,6109085,6.11,12639297,12.64,10.48,10480145,23119442,23.12,45.33%,20,116%,30.55%,,,https://www.amazon.com/Triple-9-Casey-Affleck/dp/B01FERY1BM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218322&sr=1-1&keywords=Triple+9,,,,,"Feb 26, 2016",
Hunt for the Wilderpeople,2016,adaptation,98,81,89.5,91,77,14,84,6,,Comedy,78439,0.08,5205471,5.21,17.46,17460077,22665548,22.67,77.03%,2.5,907%,3.14%,,,https://www.amazon.com/Hunt-Wilderpeople-Sam-Neill/dp/B01HE1H3WK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217934&sr=1-1&keywords=Hunt+for+the+Wilderpeople,,,,,"Jun 24, 2016",
Café Society,2016,original screenplay,70,64,67.0,60,69,-9,64.5,3,,Drama,359289,0.36,11103205,11.10,0.95,31909548,12048652,12.05,264.84%,30,40%,1.20%,,,https://www.amazon.com/Cafe-Society-Jesse-Eisenberg/dp/B01IARP6L2/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218271&sr=1-1&keywords=CafC3A9+Society,,,,,"Jul 15, 2016",
God’s Not Dead 2,2016,sequel,9,22,15.5,63,18,45,40.5,-25,,Drama,7623662,7.62,20773069,20.77,0.95,945447,21718516,21.72,4.35%,5,434%,152.47%,,,https://www.amazon.com/Gods-Dead-Melissa-Joan-Hart/dp/B01DQ7OOT6/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1481218600&sr=1-2&keywords=GodE28099s+Not+Dead+2,,,,,"Apr 1, 2016",
Fifty Shades of Black,2016,original screenplay,7,28,17.5,19,18,1,18.5,-1,,Comedy,5900528,5.90,11686940,11.69,9.48,9477859,21164799,21.16,44.78%,5,423%,118.01%,,,https://www.amazon.com/Fifty-Shades-Black-Marlon-Wayans/dp/B01E9H4SIY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218283&sr=1-1&keywords=Fifty+Shades+of+Black,,,,,"Jan 29, 2016",
Keanu,2016,original screenplay,76,63,69.5,57,64,-7,60.5,9,,Comedy,9453224,9.45,20591853,20.59,0.02,18124,20609977,20.61,0.09%,15,137%,63.02%,,,https://www.amazon.com/Keanu-Jordan-Peele/dp/B01EXR5LAE/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218591&sr=1-1&keywords=Keanu,,,,,"Apr 29, 2016",
Middle School: The Worst Years of My Life,2016,adaptation,55,51,53.0,65,63,2,64,-11,,Comedy,6878437,6.88,19576626,19.58,0.66,655877,20232503,20.23,3.24%,8.5,238%,80.92%,,,https://www.amazon.com/Middle-School-Worst-Years-Life/dp/B01LZP9Z5Q/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218574&sr=1-1&keywords=Middle+School3A+The+Worst+Years+of+My+Life,,,,,"Oct 7, 2016",
Love & Friendship,2016,adaptation,98,87,92.5,62,69,-7,65.5,27,,Drama,133513,0.13,14016568,14.02,5.63,5633566,19650134,19.65,28.67%,3,655%,4.45%,,,https://www.amazon.com/Love-Friendship-Kate-Beckinsale/dp/B01F4CBK20/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218337&sr=1-1&keywords=Love+26+Friendship,,,,,"May 13, 2016",
The Infiltrator,2016,based on a true story,69,66,67.5,73,76,-3,74.5,-7,,thriller,5303775,5.30,15436808,15.44,2.79,2792670,18229478,18.23,15.32%,47,39%,11.28%,,,https://www.amazon.com/Infiltrator-Bryan-Cranston/dp/B01LWJFJ8F/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218386&sr=1-1&keywords=The+Infiltrator,,,,,"Jul 13, 2016",
Pride & Prejudice & Zombies,2016,adaptation,42,45,43.5,46,57,-11,51.5,-8,,Comedy,5324240,5.32,10907291,10.91,5.47,5467037,16374328,16.37,33.39%,28,58%,19.02%,,,https://www.amazon.com/Pride-Prejudice-Zombies-Lily-James/dp/B01BECSFDQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218260&sr=1-1&keywords=pride+and+prejudice+and+zombies,,,,,"Feb 5, 2016",
Almost Christmas,2016,original screenplay,50,55,52.5,72,57,15,64.5,-12,,Drama,15134235,15.13,15970925,15.97,0.29,290351,16261276,16.26,1.79%,17,96%,89.02%,,,https://www.amazon.com/Almost-Christmas-Kimberly-Elise/dp/B01M3UN2YA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218432&sr=1-1&keywords=Almost+Christmas,,,,,"Nov 11, 2016",
The Birth of a Nation,2016,based on a true story,72,68,70.0,76,54,22,65,5,,Drama,7004254,7.00,15774779,15.77,0.17,170165,15944944,15.94,1.07%,10,159%,70.04%,,,https://www.amazon.com/Birth-Nation-Nate-Parker/dp/B01LZBXOVL/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218393&sr=1-1&keywords=The+Birth+of+a+Nation,,,,,"Oct 7, 2016",
The Lobster,2016,original screenplay,90,82,86.0,65,67,-2,66,20,,"romance, comedy",190252,0.19,9196278,9.20,6.46,6459915,15656193,15.66,41.26%,4.5,348%,4.23%,,,https://www.amazon.com/Lobster-Colin-Farrell/dp/B01I0QTVEQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218150&sr=1-1&keywords=The+Lobster,,,,,"May 13, 2016",
The Edge of Seventeen,2016,original screenplay,94,77,85.5,85,73,12,79,7,,Comedy,4754215,4.75,14288406,14,0.47,472777,14761183,14.76,3.20%,9,164%,52.82%,,,https://www.amazon.com/Edge-Seventeen-Hailee-Steinfeld/dp/B01N3P70TO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640856&sr=1-1&keywords=The+Edge+of+Seventeen,,,,,"Nov 18, 2016",
Hardcore Henry,2016,original screenplay,49,51,50.0,55,80,-25,67.5,-18,,Action,5107604,5.11,9252038,9.25,5.08,5081752,14333790,14.33,35.45%,2,717%,255.38%,,,https://www.amazon.com/Hardcore-Henry-Sharlto-Copley/dp/B01DWYJXVW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218167&sr=1-1&keywords=Hardcore+Henry,,,,,"Apr 8, 2016",
Moonlight,2016,original screenplay,98,99,98.5,90,78,12,84,15,,Drama,402075,0.40,13262486,13.26,0.00,0,13262486,13.26,0.00%,5,265%,8.04%,,,,,,,,"Oct 21, 2016",
Ratchet & Clank,2016,adaptation,18,29,23.5,45,65,-20,55,-32,,Adventure,4869278,4.87,8813410,8.81,3.00,3000000,11813410,11.81,25.39%,20,59%,24.35%,,,https://www.amazon.com/Ratchet-Clank-Paul-Giamatti/dp/B01EN8ZMC0/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218127&sr=1-1&keywords=Ratchet+and+Clank,,,,,"Apr 29, 2016",
Jackie,2016,based on a true story,86,81,83.5,73,79,-6,76,8,,Drama,278715,0.28,10468089,10,0.59,587351,11055440,11.06,5.31%,9,123%,3.10%,,,https://www.amazon.com/Jackie-Natalie-Portman/dp/B01NGTTSG6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641253&sr=1-1&keywords=jackie,,,,,"Dec 2, 2016",
The Darkness,2016,based on a true story,4,55,29.5,20,48,-28,34,-5,,Horror,4950859,4.95,10753574,10.75,0.08,76943,10830517,10.83,0.71%,4,271%,123.77%,,,https://www.amazon.com/Darkness-Kevin-Bacon/dp/B01KMVO9KI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218248&sr=1-1&keywords=The+Darkness,,,,,"May 13, 2016",
The Perfect Match,2016,original screenplay,27,41,34.0,46,41,5,43.5,-10,,"romance, comedy",4294232,4.29,9669521,9.67,0.75,745217,10414738,10.41,7.16%,5,208%,85.88%,,,https://www.amazon.com/Perfect-Match-Terrence-Jenkins/dp/B01D0S1VLA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218238&sr=1-1&keywords=The+Perfect+Match,,,,,"Mar 11, 2016",
Captain Fantastic,2016,original screenplay,82,72,77.0,85,78,7,81.5,-5,,Drama,93824,0.09,5879835,5.88,4.09,4089338,9969173,9.97,41.02%,9,111%,1.04%,,,https://www.amazon.com/Captain-Fantastic-Viggo-Mortensen/dp/B01I2D82K6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217946&sr=1-1&keywords=Captain+Fantastic,,,,,"Jul 8, 2016",
The Queen of Katwe,2016,based on a true story,92,73,82.5,88,66,22,77,6,,Drama,3049363,3.05,8610752,8.61,0.99,992493,9603245,9.60,10.33%,15,64%,20.33%,,,https://www.amazon.com/Queen-Katwe-Theatrical-Version-Oyelowo/dp/B01M1R7HWO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218115&sr=1-1&keywords=The+Queen+of+Katwe,,,,,"Oct 7, 2016",
Popstar: Never Stop Never Stopping,2016,original screenplay,77,68,72.5,67,74,-7,70.5,2,,Comedy,4698715,4.70,9496130,9.50,0.04,40990,9537120,9.54,0.43%,20,48%,23.49%,,,https://www.amazon.com/Popstar-Never-Stop-Stopping/dp/B01GHBYMMC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218221&sr=1-1&keywords=Popstar3A+Never+Stop+Never+Stopping,,,,,"Jun 3, 2016",
Meet the Blacks,2016,original screenplay,13,26,19.5,26,11,15,18.5,1,,Comedy,4055940,4.06,9097072,9.10,0.00,0,9097072,9.10,0.00%,1,910%,405.59%,,,https://www.amazon.com/Meet-Blacks-Mike-Epps/dp/B01J6UKR98/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218139&sr=1-1&keywords=Meet+the+Blacks,,,,,"Apr 1, 2016",
Live by Night,2016,adaptation,37,51,44.0,63,73,-10,68,-24,,Crime,33336,0.03,5605644,6,3.30,3300000,8905644,8.91,37.06%,65,14%,0.05%,,,,,,,,"Dec 13, 2016",
The Young Messiah,2016,adaptation,46,33,39.5,66,57,9,61.5,-22,,Drama,3294876,3.29,6469813,6.47,0.84,843884,7313697,7.31,11.54%,18.5,40%,17.81%,,,https://www.amazon.com/Young-Messiah-Sean-Bean/dp/B01FVUJ6PI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217982&sr=1-1&keywords=The+Young+Messiah,,,,,"Mar 11, 2016",
Southside with You,2016,original screenplay,92,74,83.0,79,53,26,66,17,,Drama,2868403,2.87,6304223,6.30,0.08,75066,6379289,6.38,1.18%,1.5,425%,191.23%,,,https://www.amazon.com/Southside-You-Tika-Sumpter/dp/B01L0QPPHK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217958&sr=1-1&keywords=Southside+with+You,,,,,"Aug 26, 2016",
Incarnate,2016,original screenplay,14,30,22.0,21,39,-18,30,-8,,Horror,2534884,2.53,4799774,5,1.54,1542081,6341855,6.34,24.32%,5,127%,50.70%,,,https://www.amazon.com/Incarnate-Aaron-Eckhart/dp/B01N5760FJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641230&sr=1-1&keywords=incarnate,,,,,"Dec 2, 2016",
Silence,2016,adaptation,88,82,85.0,75,85,-10,80,5,,Drama,130880,0.13,355070,0,4.63,4625000,4980070,4.98,92.87%,50,10%,0.26%,,,,,,,,"Jan 13, 2017",
Rules Don't Apply,2016,original screenplay,55,59,57.0,42,62,-20,52,5,,"comedy, drama",1589625,1.59,3652206,4,0.00,0,3652206,3.65,0.00%,25,15%,6.36%,,,,,,,,"Nov 23, 2016",
Miss Sloane,2016,original screenplay,69,63,66.0,58,45,13,51.5,15,,"drama, thriller",1844972,1.84,3500605,4,0.00,0,3500605,3.50,0.00%,13,27%,14.19%,,,,,,,,"Dec 9, 2016",
Patriots Day,2016,adaptation,79,70,74.5,85,65,20,75,-1,,Drama,161306,0.16,713831,1,1.50,1500000,2213831,2.21,67.76%,45,5%,0.36%,,,,,,,,"Jan 13, 2017",
