Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2020/?grossesOption=calendarGrosses
Impractical Jokers: The Movie,2020,original screenplay,35,39,37,76,64,12,70,-33,comedy,,2607049,2.6,10466091,10.5,-,-,-,-,-,3.0,-,86.67%,,,https://www.amazon.co.uk/Impractical-Jokers-James-Murr-Murray/dp/B086MMJ6ZV/ref=sr_1_1?crid=2MFC3Y9DWEXSN&keywords=impractical+jokers+movie&qid=1695322233&s=instant-video&sprefix=impra%2Cinstant-video%2C183&sr=1-1,,truTV,5.8,18,"Feb 21, 2020",,
Infidel,2020,original screenplay,58,-,-,86,83,3,85,-,thriller,,1384296,1.4,4051990,4.0,-,-,-,-,-,-,-,-,,,https://www.amazon.co.uk/Infidel-Claudia-Karvan/dp/B08QRQYN55/ref=sr_1_2?crid=VXVZG17M2W04&keywords=infidel&qid=1695322254&s=instant-video&sprefix=infidel%2Cinstant-video%2C184&sr=1-2,,Cloudburst Entertainment,5.6,30,"Sep 18, 2020",,
Just Mercy,2020,based on a true story,85,68,77,99,70,29,85,-8,drama,,107858,0.1,36001502,36.0,14.4,14393271,50394773,50.4,28.6,25.0,201.58%,0.40%,,,https://www.amazon.co.uk/Just-Mercy-Michael-B-Jordan/dp/B083XL1Q86/ref=sr_1_1?crid=1PAZ6FLY7PI0V&keywords=just+mercy&qid=1695322312&s=instant-video&sprefix=just+mercy%2Cinstant-video%2C360&sr=1-1,,Warner Bros. Pictures,7.6,23,"Jan 10, 2020",,
Let Him Go,2020,adaptation,84,63,74,76,61,15,69,5,crime,,4000470,4.0,9358025,9.4,1.4,1414982,10773007,10.8,13.0,21.0,51.30%,19.05%,,,https://www.amazon.co.uk/Let-Him-Go-Diane-Lane/dp/B08QMVZRXQ/ref=sr_1_1?crid=1KMXSZXWCRSVJ&keywords=let+him+go&qid=1695322323&s=instant-video&sprefix=let+him+go%2Cinstant-video%2C236&sr=1-1,,Focus Features,6.7,9,"Nov 6, 2020",,
Like a Boss,2020,original screenplay,22,33,28,65,34,31,50,-22,comedy,,10011272,10,22169514,22.2,4.4,4394374,26563888,26.6,16.5,29,91.60%,34.48%,,,https://www.amazon.co.uk/Like-Boss-Tiffany-Haddish/dp/B0BX4KVDMS/ref=sr_1_2?crid=2C7LX342390FU&keywords=like+a+boss&qid=1695322337&s=instant-video&sprefix=like+a+b%2Cinstant-video%2C235&sr=1-2,,Paramount Pictures,4.7,18,"Jan 10, 2020",,
Love and Monsters,2020,original screenplay,94,63,79,89,73,16,81,-3,adventure,,270302,0.3,1070714,1.0,0.1,60969,1131683,1.1,5.5,30.0,3.77%,1.00%,,,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.e6ba7f9f-e830-fd19-44c4-c16d4aab3ae1?autoplay=0&ref_=atv_cf_strg_wb,,Paramount Pictures,6.9,20,"Oct 16, 2020",,
Monster Hunter,2020,original screenplay,44,47,46,70,41,29,56,-10,action,,2201269,2.2,15162470,15.2,32.7,32691423,47853893,47.9,68.3,60.0,79.76%,3.67%,,,https://www.amazon.co.uk/Monster-Hunter-Milla-Jovovich/dp/B097BVM4K9/ref=sr_1_1?crid=AYFSDQXCXJ87&keywords=monster+hunter&qid=1695322603&s=instant-video&sprefix=monster+hunter%2Cinstant-video%2C205&sr=1-1,,Sony Pictures,5.2,18,"Dec 18, 2020",,
News of the World,2020,adaptation,88,73,81,89,68,21,79,2,western,,2250430,2.3,12668325,12.7,-,-,-,-,-,38.0,-,6.05%,,,https://www.amazon.com/News-World-Tom-Hanks/dp/B08SF5YF26,,Universal Pictures,6.8,21,"Dec 25, 2020",,
Onward,2020,original screenplay,89,61,75,95,73,22,84,-9,adventure,,39119861,39.1,61555145,62.0,71.8,71802456,133357601,133.4,53.8,200.0,66.68%,19.55%,,,https://www.amazon.co.uk/Onward-Ali-Wong-Officer-Gore/dp/B085TRDPWG/ref=sr_1_1?crid=1A8ECABKAAGYU&keywords=onward&qid=1695323298&s=instant-video&sprefix=onward%2Cinstant-video%2C328&sr=1-1,,Walt Disney Studios Motion Pictures,7.4,21,"Mar 6, 2020",,
Promising Young Woman,2020,original screenplay,90,72,81,87,72,15,80,2,thriller,,719305,0.7,6460965,6.5,12.4,12393201,18854166,18.9,65.6,10.0,188.54%,7.00%,,,https://www.amazon.co.uk/Promising-Young-Woman-Carey-Mulligan/dp/B0887JYSNC/ref=sr_1_1?crid=3DFRHFH34V1EX&keywords=promising+young+woman&qid=1695323318&s=instant-video&sprefix=promising+young+woman%2Cinstant-video%2C191&sr=1-1,,Focus Features,7.5,12,"Dec 25, 2020",,
Run,2020,original screenplay,89,67,78,74,72,2,73,5,thriller,,-,-,5200000,-,-,-,-,5.2,-,1.0,-,-,,,https://www.netflix.com/ie/title/81157374,,Lionsgate,6.7,7,"Nov 20, 2020",,
Sonic the Hedgehog,2020,original screenplay,63,47,55,93,80,13,87,-32,adventure,,58018348,58,146066470,146.1,156.5,156469654,302536124,302.5,51.7,90,336.15%,64.44%,,,https://www.amazon.co.uk/Sonic-Hedgehog-Jim-Carrey/dp/B084MLWSBX/ref=sr_1_2?crid=1SVUG2KL41X0W&keywords=sonic+the+hedgehog&qid=1695323362&s=instant-video&sprefix=sonic+the+h%2Cinstant-video%2C196&sr=1-2,,Paramount Pictures,6.5,28,"Feb 14, 2020",,
Tenet,2020,original screenplay,69,69,69,76,74,2,75,-6,action,,20001852,20.0,58504105,58.5,301.7,301736084,360240189,360.2,83.8,205.0,175.73%,9.76%,,,https://www.amazon.co.uk/Tenet-John-David-Washington/dp/B08MXT2KSN/ref=sr_1_1?crid=2EA3TP1JHSE47&keywords=tenet&qid=1695323385&s=instant-video&sprefix=tenet%2Cinstant-video%2C191&sr=1-1,,Warner Bros. Pictures,7.3,3,"Aug 26, 2020",,
The Assistant,2020,original screenplay,-,79,-,20,54,-34,37,-,drama,,79141,0.1,1100310,1.1,0.3,250299,1350609,1.3,23.1,1.8,75.88%,4.49%,,,https://www.amazon.co.uk/Assistant-Julia-Garner/dp/B0892HHSYK/ref=sr_1_1?crid=3MJN0AY6GRP77&keywords=the+assistant&qid=1695323396&s=instant-video&sprefix=the+assistant%2Cinstant-video%2C193&sr=1-1,,Bleecker Street,6.4,-44,"Jan 31, 2020",,
The Broken Hearts Gallery,2020,original screenplay,80,57,69,88,79,9,84,-15,romance,,1126401,1.1,4066487,4.1,0.7,713474,4779961,4.8,14.6,8.0,59.75%,13.75%,,,https://www.amazon.co.uk/Broken-Hearts-Gallery-Geraldine-Viswanathan/dp/B08HVYHBRM/ref=sr_1_1?crid=1KIVIJFQRX4FU&keywords=the+broken+hearts+gallery&qid=1695323407&s=instant-video&sprefix=the+broken+hear%2Cinstant-video%2C193&sr=1-1,,TriStar Pictures,6.3,25,"Sep 11, 2020",,
The Call of the Wild,2020,adaptation,63,48,56,89,64,25,77,-21,adventure,,24791624,24.8,62342368,62.3,45.0,45008823,107351191,107.4,41.9,125.0,85.88%,19.84%,,,https://www.amazon.co.uk/Call-Wild-Omar-Sy/dp/B084WTNS7J/ref=sr_1_1?crid=170R0MWK6WC0W&keywords=the+call+of+the+wild&qid=1695323420&s=instant-video&sprefix=the+call+of+the+wild%2Cinstant-video%2C190&sr=1-1,,20th Century Studios,6.7,22,"Feb 21, 2020",,
The Croods: A New Age,2020,sequel,77,56,67,94,62,32,78,-12,adventure,,9724200,9.7,58568815,58.6,156.2,156221431,214790246,214.8,72.7,65.0,330.45%,14.92%,,,https://www.amazon.co.uk/Croods-2-New-Age/dp/B09CJN9NSZ/ref=sr_1_1?crid=3KIUZQ35ST4QL&keywords=the+croods+a+new+age&qid=1695323430&s=instant-video&sprefix=the+croods+a%2Cinstant-video%2C189&sr=1-1,,Universal Pictures,6.9,25,"Nov 25, 2020",,
The Devil All the Time,2020,adaptation,65,55,60,79,77,2,78,-18,thriller,,-,-,-,-,-,-,,-,-,-,-,-,,,https://www.netflix.com/title/81028870,,Netflix,7.1,8,"Sep 16, 2020 (Netflix)",,
The Empty Man,2020,adaptation,75,63,69,39,-,-,-,-,horror,,1310326,1.3,2995698,3.0,0.9,973982,36427155,36.4,2.5,-,-,-,,,https://www.amazon.co.uk/Empty-Man-James-Badge-Dale/dp/B08WZ725GX/ref=sr_1_1?crid=3AU11Y0P5Z48B&keywords=the+empty+man&qid=1695323467&s=instant-video&sprefix=the+empty+man%2Cinstant-video%2C207&sr=1-1,,20th Century Studios,6.2,-23,"Oct 23, 2020",,
The Gentlemen,2020,adaptation,75,51,63,84,78,6,81,-18,crime,,10651884,10.7,36471796,36.5,76.7,76680426,113152222,113,67.9,22.0,514.33%,48.64%,,,https://www.amazon.co.uk/Gentlemen-Matthew-McConaughey/dp/B085HKMGHG/ref=sr_1_1?crid=1R3Y4R9H4IZ2U&keywords=the+gentlemen&qid=1695323478&s=instant-video&sprefix=the+gentlemen%2Cinstant-video%2C187&sr=1-1,,STX Entertainment,7.8,6,"Jan 24, 2020",,
The Grudge,2020,original screenplay,20,41,31,23,40,-17,32,-1,horror,,11404113,11.4,21221803,21.2,28.3,28286969,49503117,49.5,57.2,10.0,495.03%,114.00%,,,https://www.amazon.co.uk/Grudge-Demian-Bichir/dp/B0843SVXQB/ref=sr_1_1?crid=3UMVWC4W87ITW&keywords=the+grudge+2020&qid=1695323487&s=instant-video&sprefix=the+grudge+2020%2Cinstant-video%2C189&sr=1-1,,Sony Pictures,4.4,-21,"Jan 3, 2020",,
The Hunt,2020,original screenplay,57,50,54,66,65,1,66,-12,thriller,,5304455,5.3,5812500,5.8,6.6,6588479,12400979,12.4,53.2,18.2,68.14%,29.12%,,,https://www.amazon.co.uk/Hunt-Ike-Barinholtz/dp/B085T4433H/ref=sr_1_1?crid=3SPGQ4ORFMQOH&keywords=the+hunt+2020&qid=1695323495&s=instant-video&sprefix=the+hun+2020%2Cinstant-video%2C183&sr=1-1,,Universal Pictures,6.5,1,"Mar 13, 2020",,
The Invisible Man,2020,adaptation,92,72,82,88,69,19,79,4,horror,,28205665,28.2,64914050,64.9,74.1,74097915,139011965,139.0,53.3,7.0,1985.89%,402.86%,,,https://www.amazon.co.uk/Invisible-Man-Storm-Reid/dp/B08512VQ4H/ref=sr_1_1?crid=3514YRAXQPNP5&keywords=the+invisible+man&qid=1695323507&s=instant-video&sprefix=the+invisible+man%2Cinstant-video%2C187&sr=1-1,,Universal Pictures,7.1,17,"Feb 28, 2020",,
