Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
The Transporter Refueled,2015,sequel,17,32,25,35,43,-8,39,-15,,action,7355622,7.36,16016485,16.02,16.02,16016485,32032970,32,50.00%,22,145.60%,33.43%,,,http://www.amazon.com/gp/product/B018SVS6BW/?tag=titb-20,1,,,,"Sep 4, 2015",
No Escape,2015,original screenplay,46,38,42,67,65,2,66,-24,,action,8111264,8.11,27203371,27.20,27.13,27130000,54333371,54,49.93%,0.45,12074.08%,1802.50%,,,http://www.amazon.com/gp/product/B016Z411SE/?tag=titb-20,1,,,,"Aug 26, 2015",
Run All Night,2015,original screenplay,60,59,60,58,75,-17,67,-7,,action,11012305,11.01,26461644,26.46,45.10,45100000,71561644,72,63.02%,50,143.12%,22.02%,,,http://www.amazon.com/gp/product/B00X8CYDN2/?tag=titb-20,1,,,,"Mar 13, 2015",
The Man from U.N.C.L.E.,2015,adaptation,68,55,62,79,78,1,79,-17,,action,13421036,13.42,45445109,45.45,55.10,55100000,100545109,101,54.80%,75,134.06%,17.89%,,,http://www.amazon.com/gp/product/B013WF1Z4O/?tag=titb-20,1,,,,"Aug 14, 2015",
Point Break,2015,remake / reboot,9,34,22,30,37,-7,34,-12,,Action,9800252,10,28782481,28.78,104.94,104936230,133718711,133.72,78.48%,105,127%,9.33%,,,https://www.amazon.com/Point-Break-C389dgar-RamC3ADrez/dp/B01B3MD92E/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217970&sr=1-1&keywords=Point+Break,,,,,"Dec 25, 2015",
San Andreas,2015,original screenplay,50,43,47,56,55,1,56,-9,,action,54588173,54.59,155190832,155.19,315.30,315300000,470490832,470,67.02%,110,427.72%,49.63%,,,http://www.amazon.com/gp/product/B016JGX1DQ/?tag=titb-20,1,,,,"May 29, 2015",
Terminator Genisys,2015,sequel,25,38,32,59,63,-4,61,-30,,action,27018486,27.02,89760956,89.76,350.84,350842581,440603537,441,79.63%,155,284.26%,17.43%,,,http://www.amazon.com/gp/product/B017QHZYUK/?tag=titb-20,1,,,,"Jul 1, 2015",
Mission: Impossible - Rogue Nation,2015,sequel,92,75,84,89,79,10,84,-1,,action,55520089,55.52,195042377,195.04,487.10,487100000,682142377,682,71.41%,150,454.76%,37.01%,,,http://www.amazon.com/gp/product/B012PJVQ7Y/?tag=titb-20,1,,,,"Jul 31, 2015",
Spectre,2015,sequel,64,60,62,65,67,-2,66,-4,,action,70403148,70.40,196489955,196.49,653.90,653900000,850389955,850,76.89%,245,347.10%,28.74%,Oscar Winner,Original Song,http://www.amazon.com/gp/product/B017HYSN0A/?tag=titb-20,1,,,,"Nov 6, 2015",
Furious 7,2015,sequel,81,67,74,84,68,16,76,-2,,action,147187040,147.19,352786830,352.79,"1,162.04",1162040651,1514827481,1515,76.71%,190,797.28%,77.47%,,,http://www.amazon.com/gp/product/B00VLV8BNA/?tag=titb-20,1,,,,"Apr 3, 2015",
Hitman: Agent 47,2015,adaptation,7,28,18,47,37,10,42,-25,,"action, adventure",8326530,8.33,22467450,22.47,59.79,59792987,82260437,82,72.69%,35,235.03%,23.79%,,,http://www.amazon.com/gp/product/B018HIW658/?tag=titb-20,1,,,,"Aug 21, 2015",
Fantastic Four,2015,adaptation,9,27,18,20,26,-6,23,-5,,"action, adventure",25685737,25.69,56117548,56.12,111.77,111765333,167882881,168,66.57%,120,139.90%,21.40%,,,http://www.amazon.com/gp/product/B013JPCA1Y/?tag=titb-20,1,,,,"Aug 7, 2015",
Insurgent,2015,adaptation,30,42,36,61,54,7,58,-22,,"action, adventure",52263680,52.26,130179072,130.18,166.82,166823455,297002527,297,56.17%,110,270.00%,47.51%,,,http://www.amazon.com/gp/product/B00YI7PCPY/?tag=titb-20,1,,,,"Mar 20, 2015",
Maze Runner: The Scorch Trials,2015,sequel,49,43,46,63,65,-2,64,-18,,"action, adventure",30316510,30.32,79809643,79.81,218.64,218644323,298453966,298,73.26%,61,489.27%,49.70%,,,http://www.amazon.com/gp/product/B018HCDOVY/?tag=titb-20,1,,,,"Sep 18, 2015",
Ant-Man,2015,adaptation,80,64,72,89,80,9,85,-13,,"action, adventure",57225526,57.23,179267303,179.27,334.50,334500000,513767303,514,65.11%,130,395.21%,44.02%,,,http://www.amazon.com/gp/product/B015YJRQ8U/?tag=titb-20,1,,,,"Jul 17, 2015",
"The Hunger Games: Mockingjay, Part II",2015,sequel,70,65,68,70,70,0,70,-3,,"action, adventure",102665981,102.67,265885848,265.89,352.20,352200000,618085848,618,56.98%,160,386.30%,64.17%,,,http://www.amazon.com/gp/product/B0186DG6XC/?tag=titb-20,1,,,,"Nov 20, 2015",
Avengers: Age of Ultron,2015,"sequel, adaptation",74,66,70,85,70,15,78,-8,,"action, adventure",191271109,191.27,459005868,459.01,943.80,943800000,1402805868,1403,67.28%,250,561.12%,76.51%,,,http://www.amazon.com/gp/product/B01133UU4S/?tag=titb-20,1,,,,"May 1, 2015",
American Ultra,2015,original screenplay,45,50,48,51,64,-13,58,-10,,"action, comedy",5454284,5.45,14440985,14.44,1.00,1000000,15440985,15,6.48%,28,55.15%,19.48%,,,http://www.amazon.com/gp/product/B018BF2CSI/?tag=titb-20,1,,,,"Aug 21, 2015",
Mortdecai,2015,adaptation,12,27,20,30,32,-2,31,-12,,"action, comedy",4200586,4.20,7696134,7.70,39.58,39579561,47275695,47,83.72%,60,78.79%,7.00%,,,http://www.amazon.com/gp/product/B00SNQWXZS/?tag=titb-20,1,,,,"Jan 23, 2015",
Pixels,2015,adaptation,17,27,22,51,53,-2,52,-30,,"action, comedy",24011616,24.01,78747585,78.75,164.82,164819305,243566890,244,67.67%,88,276.78%,27.29%,,,http://www.amazon.com/gp/product/B012HPO8TE/?tag=titb-20,1,,,,"Jul 24, 2015",
Sicario,2015,original screenplay,93,81,87,88,85,3,87,1,,"action, drama",12148041,12.15,43923193,43.92,29.98,29982451,73905644,74,40.57%,30,246.35%,40.49%,,,http://www.amazon.com/gp/product/B0162LLAQS/?tag=titb-20,1,,,,"Sep 18, 2015",
