Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
The Last Witch Hunter,2015,original screenplay,16,35,26,50,47,3,49,-23,,"action, fantasy",10812861,10.81,23520165,23.52,58.85,58851554,82371719,82,71.45%,70,117.67%,15.45%,,,http://www.amazon.com/gp/product/B017HPQE1Y/?tag=titb-20,1,,,,"Oct 23, 2015",
The Walk,2015,based on a true story,86,70,78,84,74,10,79,-1,,adventure,3719177,3.72,10137502,10.14,41.10,41101314,51238816,51,80.22%,35,146.40%,10.63%,,,http://www.amazon.com/gp/product/B017ORBC1W/?tag=titb-20,1,,,,"Oct 9, 2015",
Strange Magic,2015,original screenplay,17,25,21,50,51,-1,51,-30,,animation,5504441,5.50,12429583,12.43,1.1,1100000,13529583,14,8.13%,95,14.24%,5.79%,,,http://www.amazon.com/gp/product/B00XVPCK4K/?tag=titb-20,1,,,,"Jan 23, 2015",
The Peanuts Movie,2015,adaptation,86,67,77,81,83,-2,82,-6,,animation,44213073,44.21,127742629,127.74,44.60,44601164,172343793,172,25.88%,99,174.08%,44.66%,,,http://www.amazon.com/gp/product/B018RK2JV2/?tag=titb-20,1,,,,"Nov 6, 2015",
Shaun the Sheep Movie,2015,adaptation,99,81,90,82,89,-7,86,5,,animation,4038962,4.04,19375982,19.38,64.10,64100000,83475982,83,76.79%,25,333.90%,16.16%,,,http://www.amazon.com/gp/product/B013G1EFIC/?tag=titb-20,1,,,,"Aug 5, 2015",
The Good Dinosaur,2015,original screenplay,77,66,72,66,70,-4,68,4,,Adventure,39155217,39,123087120,123.09,209.12,209120551,332207671,332.21,62.95%,200,166%,19.58%,,,https://www.amazon.com/Good-Dinosaur-Theatrical-Peter-Sohn/dp/B018YO6WAA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218093&sr=1-1&keywords=The+Good+Dinosaur,,,,,"Nov 25, 2015",
The SpongeBob Movie: Sponge Out of Water,2015,adaptation,78,62,70,55,67,-12,61,9,,animation,55365012,55.37,162994032,162.99,152.95,152951000,315945032,316,48.41%,74,426.95%,74.82%,,,http://www.amazon.com/gp/product/B00T57EOK6/?tag=titb-20,1,,,,"Feb 6, 2015",
Home,2015,adaptation,47,55,51,64,74,-10,69,-18,,animation,52107731,52.11,177397510,177.40,208.64,208644097,386041607,386,54.05%,135,285.96%,38.60%,,,http://www.amazon.com/gp/product/B00V9U6BP8/?tag=titb-20,1,,,,"Mar 27, 2015",
Hotel Transylvania 2,2015,sequel,51,44,48,71,74,-3,73,-25,,animation,48464322,48.46,156461403,156.46,217.60,217600000,374061403,374,58.17%,80,467.58%,60.58%,,,http://www.amazon.com/gp/product/B015ENAX9U/?tag=titb-20,1,,,,"Sep 25, 2015",
Inside Out,2015,original screenplay,98,94,96,90,88,2,89,7,,animation,90440272,90.44,355597857,355.60,486.90,486900000,842497857,842,57.79%,175,481.43%,51.68%,Oscar Winner,Animated Feature Film,http://www.amazon.com/gp/product/B015D4H780/?tag=titb-20,1,,,,"Jun 19, 2015",
Minions,2015,sequel,54,56,55,51,58,-7,55,1,,animation,115718405,115.72,335240450,335.24,821.23,821229247,1156469697,1156,71.01%,74,1562.80%,156.38%,,,http://www.amazon.com/gp/product/B011802KGM/?tag=titb-20,1,,,,"Jul 10, 2015",
Grandma,2015,original screenplay,92,78,85,71,71,0,71,14,,comedy,1501101,1.50,6741296,6.74,0.1,100000,6841296,7,1.46%,0.6,1140.22%,250.18%,,,http://www.amazon.com/gp/product/B019HQ7ZJQ/?tag=titb-20,1,,,,"Aug 21, 2015",
Hot Tub Time Machine 2,2015,sequel,14,29,22,28,34,-6,31,-10,,comedy,5963324,5.96,12314651,12.31,0.77,767000,13081651,13,5.86%,14,93.44%,42.60%,,,http://www.amazon.com/gp/product/B00VRTFJYK/?tag=titb-20,1,,,,"Feb 20, 2015",
Unfinished Business,2015,original screenplay,11,32,22,27,38,-11,33,-11,,comedy,4772613,4.77,10219501,10.22,4.21,4211752,14431253,14,29.18%,35,41.23%,13.64%,,,http://www.amazon.com/gp/product/B00UBRGMI6/?tag=titb-20,1,,,,"Jun 5, 2015",
Burnt,2015,original screenplay,28,42,35,89,44,45,67,-32,,comedy,5002521,5.00,5002521,5.00,4.58,4577251,9579772,10,47.78%,37,25.89%,13.52%,,,http://www.amazon.com/gp/product/B017CDG46G/?tag=titb-20,1,,,,"Oct 30, 2015",
A Walk in the Woods,2015,adaptation,46,51,49,57,53,4,55,-7,,comedy,8246267,8.25,29216212,29.22,5,5000000,34216212,34,14.61%,8,427.70%,103.08%,,,http://www.amazon.com/gp/product/B019QXXFHG/?tag=titb-20,1,,,,"Sep 2, 2015",
The Night Before,2015,original screenplay,67,58,63,72,62,10,67,-5,,comedy,9880536,9.88,42800601,42.80,7.33,7334506,50135107,50,14.63%,25,200.54%,39.52%,,,http://www.amazon.com/gp/product/B018AEY8HI/?tag=titb-20,1,,,,"Nov 20, 2015",
The DUFF,2015,adaptation,71,56,64,67,67,0,67,-4,,comedy,10809149,10.81,34030343,34.03,9.50,9498291,43528634,44,21.82%,8.5,512.10%,127.17%,,,http://www.amazon.com/gp/product/B00UXS8PQ0/?tag=titb-20,1,,,,"Feb 20, 2015",
Entourage,2015,adaptation,32,38,35,64,51,13,58,-23,,comedy,10283250,10.28,32363404,32.36,12.20,12200000,44563404,45,27.38%,30,148.54%,34.28%,,,http://www.amazon.com/gp/product/B00YSRRDRY/?tag=titb-20,1,,,,"Jun 3, 2015",
Sisters,2015,original screenplay,59,58,59,63,63,0,63,-5,,comedy,13922855,13.92,86126310,86.13,15.10,15100000,101226310,101,14.92%,30,337.42%,46.41%,,,http://www.amazon.com/gp/product/B019EJYASU/?tag=titb-20,1,,,,"Dec 18, 2015",
The Wedding Ringer,2015,original screenplay,27,35,31,65,31,34,48,-17,,comedy,20649306,20.65,64460211,64.46,15.34,15339669,79799880,80,19.22%,23,346.96%,89.78%,,,http://www.amazon.com/gp/product/B00SBZL7F8/?tag=titb-20,1,,,,"Jan 16, 2015",
Hot Pursuit,2015,original screenplay,8,31,20,37,38,-1,38,-18,,comedy,13942258,13.94,34580201,34.58,16.80,16800000,51380201,51,32.70%,35,146.80%,39.84%,,,http://www.amazon.com/gp/product/B00XCGUISI/?tag=titb-20,1,,,,"May 8, 2015",
Get Hard,2015,original screenplay,29,34,32,48,38,10,43,-12,,comedy,33803253,33.80,"90,411,453",90.41,21.30,"21,300,000",111711453,112,19.07%,40,279.28%,84.51%,,,http://www.amazon.com/gp/product/B010O68E0C/?tag=titb-20,1,,,,"Mar 27, 2015",
Trainwreck,2015,original screenplay,85,75,80,73,57,16,65,15,,comedy,30097040,30.10,110038130,110.04,28.29,28288853,138326983,138,20.45%,35,395.22%,85.99%,,,http://www.amazon.com/gp/product/B017QHYW1W/?tag=titb-20,1,,,,"Jul 17, 2015",
Paul Blart: Mall Cop 2,2015,sequel,5,13,9,36,24,12,30,-21,,comedy,23762435,23.76,71038190,71.04,36.49,36492537,107530727,108,33.94%,30,358.44%,79.21%,,,http://www.amazon.com/gp/product/B00W96OEV4/?tag=titb-20,1,,,,"Apr 17, 2015",
Vacation,2015,sequel,26,34,30,52,61,-9,57,-27,,comedy,14681108,14.68,58884188,58.88,45.20,45200000,104084188,104,43.43%,31,335.76%,47.36%,,,http://www.amazon.com/gp/product/B012Y4GPYE/?tag=titb-20,1,,,,"Jul 29, 2015",
Daddy's Home,2015,original screenplay,30,42,36,64,60,4,62,-26,,comedy,38740203,38.74,150357137,150.36,90.00,90003255,240360392,240,37.45%,50,480.72%,77.48%,,,http://www.amazon.com/gp/product/B019YHGMBK/?tag=titb-20,1,,,,"Dec 25, 2015",
Pitch Perfect 2,2015,sequel,66,63,65,67,57,10,62,3,,comedy,69216890,69.22,183785415,183.79,101.38,101380369,285165784,285,35.55%,29,983.33%,238.68%,,,http://www.amazon.com/gp/product/B015O6OZUA/?tag=titb-20,1,,,,"May 15, 2015",
Focus,2015,original screenplay,57,56,57,54,62,-8,58,-2,,comedy,18685137,18.69,53862963,53.86,104.90,104900000,158762963,159,66.07%,50,317.53%,37.37%,,,http://www.amazon.com/gp/product/B00YORD6AQ/?tag=titb-20,1,,,,"Feb 27, 2015",
The Intern,2015,original screenplay,60,51,56,78,64,14,71,-16,,comedy,17728313,17.73,71334552,71.33,109.30,109300000,180634552,181,60.51%,35,516.10%,50.65%,,,http://www.amazon.com/gp/product/B015SK5Y4S/?tag=titb-20,1,,,,"Sep 25, 2015",
Spy,2015,original screenplay,93,75,84,81,58,23,70,15,,comedy,29085719,29.09,110825712,110.83,124.84,124840507,235666219,236,52.97%,65,362.56%,44.75%,,,http://www.amazon.com/gp/product/B013EZQV6E/?tag=titb-20,1,,,,"Jun 5, 2015",
Ted 2,2015,sequel,46,48,47,57,64,-7,61,-14,,comedy,33507870,33.51,81284830,81.28,132.45,132449953,213734783,214,61.97%,68,314.32%,49.28%,,,http://www.amazon.com/gp/product/B017K2C8NW/?tag=titb-20,1,,,,"Jun 26, 2015",
I'll See You in My Dreams,2015,original screenplay,94,75,85,70,69,1,70,15,,"comedy, drama",52901,0,7449681,7,0,15084,7449681,7,0.20%,5,148.99%,1.06%,,,http://www.amazon.com/gp/product/B0142KIQYA/?tag=titb-20,1,,,,"May 15, 2015",
Tangerine,2015,original screenplay,95,85,90,80,73,7,77,14,,"comedy, drama",60683,0,702354,1,0,198116,702354,1,28.21%,0.12,585.30%,50.57%,,,http://www.amazon.com/gp/product/B017I242IS/?tag=titb-20,1,,,,"Jul 10, 2015",
Dope,2015,original screenplay,87,72,80,85,75,10,80,-1,,"comedy, drama",6100010,6.10,17506470,17.51,0.48,480000,17986470,18,2.67%,0.7,2569.50%,871.43%,,,http://www.amazon.com/gp/product/B00KG2PHEQ/?tag=titb-20,1,,,,"Jun 19, 2015",
Danny Collins,2015,based on a true story,77,58,68,74,70,4,72,-5,,"comedy, drama",1479158,1.48,5637066,5.64,2.8,2800000,8437066,8,33.19%,10,84.37%,14.79%,,,http://www.amazon.com/gp/product/B00ZGTS68S/?tag=titb-20,1,,,,"Mar 20, 2015",
Aloha,2015,original screenplay,19,40,30,31,44,-13,38,-8,,"comedy, drama",9670235,9.67,21067116,21.07,5.18,5182904,26250020,26,19.74%,37,70.95%,26.14%,,,http://www.amazon.com/gp/product/B00ZAQNRCM/?tag=titb-20,1,,,,"May 29, 2015",
Ricki and the Flash,2015,original screenplay,64,54,59,51,69,-18,60,-1,,"comedy, drama",6610961,6.61,26822144,26.82,13.27,13270979,40093123,40,33.10%,18,222.74%,36.73%,,,http://www.amazon.com/gp/product/B018CBR0C4/?tag=titb-20,1,,,,"Aug 7, 2015",
Joy ,2015,original screenplay,60,56,58,57,65,-8,61,-3,,Drama,17015168,17,56451232,56.45,44.68,44682827,101134059,101.13,44.18%,65,156%,26.18%,,,https://www.amazon.com/Joy-Jennifer-Lawrence/dp/B019SG4BU6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218496&sr=1-1&keywords=Joy,,,,,"Dec 25, 2015",
Magic Mike XXL,2015,sequel,62,60,61,61,55,6,58,3,,"comedy, drama",12857184,12.86,66013057,66.01,51.80,51800000,117813057,118,43.97%,17.8,661.87%,72.23%,,,http://www.amazon.com/gp/product/B016887N70/?tag=titb-20,1,,,,"Jul 1, 2015",
The Second Best Exotic Marigold Hotel,2015,sequel,63,51,57,62,61,1,62,-5,,"comedy, drama",8540370,8.54,33078266,33.08,52.90,52900000,85978266,86,61.53%,10,859.78%,85.40%,,,http://www.amazon.com/gp/product/B011KK9J7S/?tag=titb-20,1,,,,"Mar 6, 2015",
Mr. Holmes,2015,adaptation,87,67,77,76,79,-3,78,-1,,"crime, drama",2434908,2.43,17737646,17.74,11,11000000,28737646,29,38.28%,20,143.69%,12.17%,,,http://www.amazon.com/gp/product/B017TDZESS/?tag=titb-20,1,,,,"Jul 17, 2015",
Black Mass,2015,adaptation,76,68,72,97,77,20,87,-15,,"crime, drama",22635037,22.64,61853408,61.85,18.50,18500000,80353408,80,23.02%,53,151.61%,42.71%,,,http://www.amazon.com/gp/product/B015IVK1BS/?tag=titb-20,1,,,,"Sep 18, 2015",
The End of the Tour,2015,adaptation,91,82,87,88,79,9,84,3,,drama,123238,0,2961006,3,0,111460,2961006,3,3.76%,3,98.70%,4.11%,,,http://www.amazon.com/gp/product/B017CBOWEO/?tag=titb-20,1,,,,"Jul 31, 2015",
My All American,2015,based on a true story,34,34,34,83,53,30,68,-34,,drama,1365000,1,2246000,2,0,0,2246000,2,0.00%,20,11.23%,6.83%,,,http://www.amazon.com/gp/product/B01BZLIO32/?tag=titb-20,1,,,,"Nov 13, 2015",
Freeheld,2015,based on a true story,46,50,48,53,72,-19,63,-15,,drama,37983,0,573335,1,0,1186027,573335,1,206.86%,7,8.19%,0.54%,Oscar Winner,Actress in a Leading Role,http://www.amazon.com/gp/product/B01AOHWGA0/?tag=titb-20,1,,,,"Oct 2, 2015",
War Room,2015,original screenplay,37,26,32,90,53,37,72,-40,,drama,11351389,11,67217187,67,0,6185122,67217187,67,9.20%,3,2240.57%,378.38%,,,http://www.amazon.com/gp/product/B017OJL48G/?tag=titb-20,1,,,,"Aug 28, 2015",
Experimenter,2015,original screenplay,90,81,86,61,80,-19,71,15,,drama,8682,0.01,98495,0.10,0.3,300000,398495,0,75.28%,3,13.28%,0.29%,,,http://www.amazon.com/gp/product/B016Q1OR0U/?tag=titb-20,1,,,,"Oct 16, 2015",
The Diary of a Teenage Girl,2015,adaptation,95,87,91,80,64,16,72,19,,drama,393153,0.39,1477002,1.48,0.4,400000,1877002,2,21.31%,2,93.85%,19.66%,,,http://www.amazon.com/gp/product/B019HR51KA/?tag=titb-20,1,,,,"Aug 7, 2015",
Woodlawn,2015,based on a true story,83,57,70,91,78,13,85,-15,,drama,4002226,4.00,12515813,12.52,2,2000000,14515813,15,13.78%,25,58.06%,16.01%,,,http://www.amazon.com/gp/product/B01AMUSHAC/?tag=titb-20,1,,,,"Oct 16, 2015",
Do You Believe?,2015,original screenplay,18,22,20,84,47,37,66,-46,,drama,3591282,3.59,12985600,12.99,2,2000000,14985600,15,13.35%,2,749.28%,179.56%,,,http://www.amazon.com/gp/product/B010X3I2CQ/?tag=titb-20,1,,,,"Mar 20, 2015",
By The Sea,2015,original screenplay,32,44,38,44,68,-24,56,-18,,drama,96250,0.10,538460,0.54,2.02,2017065,2555525,3,78.93%,10,25.56%,0.96%,,,http://www.amazon.com/gp/product/B01B28GJJY/?tag=titb-20,1,,,,"Nov 13, 2015",
Me and Earl and the Dying Girl,2015,adaptation,81,74,78,88,84,4,86,-9,,drama,1246803,1.25,6758416,6.76,2.32,2316333,9074749,9,25.53%,8,113.43%,15.59%,,,http://www.amazon.com/gp/product/B016887ZU0/?tag=titb-20,1,,,,"Jun 12, 2015",
Concussion,2015,"based on a true story, adaptation",60,56,58,76,62,14,69,-11,,drama,10500000,10.50,34542474,34.54,14.08,14081098,48623572,49,28.96%,35,138.92%,30.00%,,,http://www.amazon.com/gp/product/B00FMOBNKA/?tag=titb-20,1,,,,"December 25, 2015",
Room,2015,adaptation,96,85,91,97,82,15,90,1,,drama,118298,0.12,1406104,1.41,6.3,6300000,12667721,13,49.73%,6,211.13%,1.97%,Oscar Winner,Actress in a Leading Role,http://www.amazon.com/gp/product/B019ELJRNG/?tag=titb-20,1,,,,"Oct 16, 2015",
Creed,2015,sequel,93,82,88,92,86,6,89,-2,,drama,29632823,29.63,96986653,96.99,10.20,10200000,107186653,107,9.52%,37,289.69%,80.09%,,,http://www.amazon.com/gp/product/B017WRCU92/?tag=titb-20,1,,,,"Nov 25, 2015",
Little Boy,2015,original screenplay,20,30,25,80,62,18,71,-46,,drama,2750356,2.75,6485961,6.49,11.3,11300000,17785961,18,63.53%,20,88.93%,13.75%,,,http://www.amazon.com/gp/product/B0142KGGNS/?tag=titb-20,1,,,,"Apr 24, 2015",
The 33,2015,based on a true story,42,55,49,63,52,11,58,-9,,drama,5787266,5.79,11944890,11.94,12.68,12675001,24619891,25,51.48%,26,94.69%,22.26%,,,http://www.amazon.com/gp/product/B01B3NR5ZK/?tag=titb-20,1,,,,"Nov 13, 2015",
The Age of Adaline,2015,original screenplay,54,51,53,67,74,-7,71,-18,,drama,13203458,13.20,42629776,42.63,15.1,15100000,57729776,58,26.16%,25,230.92%,52.81%,,,http://www.amazon.com/gp/product/B014WH7LNK/?tag=titb-20,1,,,,"Apr 24, 2015",
Steve Jobs,2015,based on a true story,85,82,84,77,63,14,70,14,,drama,7105735,7.11,16658868,16.66,15.9,15900000,32558868,33,48.83%,30,108.53%,23.69%,,,http://www.amazon.com/gp/product/B016C9WTP6/?tag=titb-20,1,,,,"Oct 9, 2015",
Spotlight,2015,based on a true story,96,90,93,95,89,6,92,1,,drama,295009,0.30,295009,0.30,16.1,16100000,16395009,16,98.20%,20,81.98%,1.48%,,,http://www.amazon.com/gp/product/B01AZ86I2U/?tag=titb-20,1,,,,"Nov 6, 2015",
Far from the Madding Crowd,2015,adaptation,85,71,78,77,75,2,76,2,,drama,2287234,2.29,12236500,12.24,17.99,17993477,30229977,30,59.52%,20,151.15%,11.44%,,,http://www.amazon.com/gp/product/B011PXGR1Q/?tag=titb-20,1,,,,"May 22, 2015",
Woman in Gold,2015,based on a true story,52,51,52,81,71,10,76,-25,,drama,2091551,2.09,33307195,33.31,26.19,26185890,59493085,59,44.02%,11,540.85%,19.01%,,,http://www.amazon.com/gp/product/B0101432XQ/?tag=titb-20,1,,,,"Apr 1, 2015",
Victor Frankenstein,2015,adaptation,27,36,32,42,53,-11,48,-16,,drama,2469341,2.47,5773519,5.77,27.36,27363123,33136642,33,82.58%,40,82.84%,6.17%,,,http://www.amazon.com/gp/product/B018ITLEHC/?tag=titb-20,1,,,,"Nov 25, 2015",
Southpaw,2015,original screenplay,59,57,58,78,80,-2,79,-21,,drama,16701294,16.70,52421953,52.42,38.48,38481462,90903415,91,42.33%,30,303.01%,55.67%,,,http://www.amazon.com/gp/product/B0175FQZJC/?tag=titb-20,1,,,,"Jul 24, 2015",
Straight Outta Compton,2015,based on a true story,89,72,81,94,75,19,85,-4,,drama,60200180,60.20,161058813,161.06,38.85,38854128,199912941,200,19.44%,28,713.97%,215.00%,,,http://www.amazon.com/gp/product/B018JQTUQG/?tag=titb-20,1,,,,"Aug 14, 2015",
The Big Short,2015,adaptation,87,81,84,89,89,0,89,-5,,drama,10531026,10.53,60900477,60.90,41.80,41800000,102700477,103,40.70%,28,366.79%,37.61%,,,http://www.amazon.com/gp/product/B019969US8/?tag=titb-20,1,,,,"December 11, 2015",
Paper Towns,2015,adaptation,56,56,56,52,64,-12,58,-2,,drama,12650140,12.65,32000304,32.00,53.51,53511996,85512300,86,62.58%,12,712.60%,105.42%,,,http://www.amazon.com/gp/product/B016VLE24Q/?tag=titb-20,1,,,,"Jul 24, 2015",
In the Heart of the Sea,2015,adaptation,43,47,45,57,70,-13,64,-19,,drama,11053366,11.05,24760350,24.76,65.60,65600000,90360350,90,72.60%,100,90.36%,11.05%,,,http://www.amazon.com/gp/product/B0197GGS6M/?tag=titb-20,1,,,,"Dec 11, 2015",
Brooklyn ,2015,adaptation,97,87,92,87,80,84,7,9,,Drama,3946667,4,38322743,38.32,23.75,23753398,38322767,38.32,0.00%,11,348%,35.88%,,,https://www.amazon.com/Brooklyn-Saoirse-Ronan/dp/B01A1IZLAO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218482&sr=1-1&keywords=Brooklyn,,,,,"Nov 4, 2015",
Max,2015,original screenplay,35,47,41,73,56,17,65,-24,,family,12155254,12.16,42656255,42.66,1.3,1300000,43956255,44,2.96%,20,219.78%,60.78%,,,http://www.amazon.com/gp/product/B017C11VP2/?tag=titb-20,1,,,,"Jun 26, 2015",
Alvin and the Chipmunks: The Road Chip,2015,adaptation,16,33,25,52,37,15,45,-20,,"family, comedy",14287159,14.29,85886987,85.89,148.91,148911649,234798636,235,63.42%,90,260.89%,15.87%,,,http://www.amazon.com/gp/product/B019EKV4YC/?tag=titb-20,1,,,,"Dec 18, 2015",
Pan,2015,adaptation,26,36,31,50,50,0,50,-19,,fantasy,15315435,15.32,32371350,32.37,81.60,81600000,113971350,114,71.60%,150,75.98%,10.21%,,,http://www.amazon.com/gp/product/B018JQTSPE/?tag=titb-20,1,,,,"Oct 9, 2015",
Cinderella,2015,adaptation,85,67,76,79,76,3,78,-2,,fantasy,67877361,67.88,201151353,201.15,341.20,341200000,542351353,542,62.91%,95,570.90%,71.45%,,,http://www.amazon.com/gp/product/B010VAG5WA/?tag=titb-20,1,,,,"Mar 13, 2015",
