Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2021/
Licorice Pizza,2021,,90,90,90,66,67,-1,67,24,comedy,drama,345157,0.3,17318007,17.3,,,32903549,32.9,,40.0,82.26%,0.86%,,,https://www.amazon.co.uk/Licorice-Pizza-Alana-Haim/dp/B09QGX2JRB/ref=sr_1_1?crid=2KV2RBEPVHE92&keywords=licorice+pizza&qid=1694135185&s=instant-video&sprefix=licorice+piz2Cinstant-video2C304&sr=1-1,,United Artists Releasing,7.1,-5,"November 26, 2021",,
Long Weekend,2021,,67,53,60,82,-,-,82,-22,drama,romance,245182,0.2,1018532,1.0,,,-,-,,0.5,#VALUE!,49.04%,,,https://www.amazon.co.uk/Long-Weekend-Finn-Wittrock/dp/B098YZW1R7/ref=sr_1_2?crid=1KW9HOP1E3UDV&keywords=long+weekend&qid=1694136418&s=instant-video&sprefix=long+weekend2Cinstant-video2C214&sr=1-2,,Stage 6 Films,6.2,20,"March 12, 2021",,
Malignant,2021,,76,51,64,52,64,-12,58,6,crime,"horror, mystery",5434620,5.4,13391791,13.4,,,33974421,34.0,,50.0,67.95%,10.87%,,,https://www.amazon.co.uk/Malignant-Annabelle-Wallis/dp/B09PB6P9SR/ref=sr_1_1?crid=PMETZ00ITEN8&keywords=malignant&qid=1694135546&s=instant-video&sprefix=malignant2Cinstant-video2C177&sr=1-1,,Warner Bros.,6.2,-10,"September 10, 2021",,
Mortal Kombat,2021,,55,44,50,86,62,24,74,-25,action,"adventure, sci-fi, thriller, fantasy",23302503,23.3,42326031,42.3,,,83508259,83.5,,55.0,151.83%,42.37%,,,https://www.amazon.co.uk/Mortal-Kombat-Lewis-Tan/dp/B093XWF8S7/ref=sr_1_1?crid=2A2EUZJBDK3K5&keywords=mortal+kombat&qid=1693948797&s=instant-video&sprefix=mortal+kombat2Cinstant-video2C160&sr=1-1,,Warner Bros.,6.1,25,"April 23, 2021",,
Nightmare Alley,2021,,80,70,75,68,70,-2,69,6,crime,"drama, mystery",2811703,2.8,11338107,11.3,,,37537773,37.5,,60.0,62.56%,4.69%,,,https://www.amazon.co.uk/Nightmare-Alley-Bradley-Cooper/dp/B09SBY9RT1/ref=sr_1_1?crid=3H4OIVYZ2LWPA&keywords=nightmare+alley&qid=1694135564&s=instant-video&sprefix=nightmare+alley2Cinstant-video2C368&sr=1-1,,Searchlight Pictures,7.0,-2,"December 17, 2021",,
No Time to Die,2021,,83,68,76,88,63,25,76,0,action,"adventure, thriller",55225007,55.2,160891007,160.9,,,759959662,760.0,,250.0,303.98%,22.09%,,,https://www.amazon.co.uk/No-Time-Die-Daniel-Craig/dp/B09LRCDSHR/ref=sr_1_1?crid=3AT5HAF1VJZU5&keywords=no+time+to+die&qid=1693590619&s=instant-video&sprefix=no+time+to+di2Cinstant-video2C168&sr=1-1,,Metro-Goldwyn-Mayer (MGM),7.3,15,"October 8, 2021",,
Nobody,2021,,84,64,74,94,75,19,85,-11,action,"crime, thriller",6820100,6.8,27568035,27.6,,,57512470,57.5,,16.0,359.45%,42.63%,,,https://www.amazon.co.uk/Nobody-Bob-Odenkirk/dp/B098Z7FCHW/ref=sr_1_1?crid=25AD4WXF74WBM&keywords=nobody&qid=1694135038&s=instant-video&sprefix=nobo2Cinstant-video2C234&sr=1-1,,Universal Pictures,7.4,20,"March 26, 2021",,
Old,2021,,50,55,53,53,54,-1,54,-1,thriller,"drama, mystery",16854735,16.9,48276510,48.3,,,89836797,89.8,,18.0,499.09%,93.64%,,,https://www.amazon.co.uk/Old-Thomasin-McKenzie/dp/B09B1FM9D5/ref=sr_1_1?crid=3EOWX608ZIEQZ&keywords=old&qid=1693948378&s=instant-video&sprefix=old2Cinstant-video2C153&sr=1-1,,Universal Pictures,5.8,-5,"July 23, 2021",,
PAW Patrol: The Movie,2021,,80,50,65,97,65,32,81,-16,adventure,"comedy, animation, family",13148340,13.1,40127371,40.1,,,151403419,151.4,,26.0,582.32%,50.57%,,,https://www.amazon.co.uk/PAW-Patrol-Movie-Billy-Frolick/dp/B09CGKLXH4/ref=sr_1_1?keywords=paw+patrol+movie&qid=1693948969&s=instant-video&sprefix=paw+patrol2Cinstant-video2C195&sr=1-1,,Paramount Pictures,6.1,36,"August 20, 2021",,
Peter Rabbit 2: The Runaway,2021,,67,43,55,89,54,35,72,-17,adventure,"fantasy, comedy, family",10101066,10.1,40501717,40.5,,,150976764,151.0,,45.0,335.50%,22.45%,,,https://www.amazon.co.uk/Peter-Rabbit-2-Elizabeth-Debicki/dp/B095KRMJZB/ref=sr_1_1?crid=1Y7UI8RF0S1O6&keywords=peter+rabbit+2&qid=1693948808&s=instant-video&sprefix=peter+rabbit+2Cinstant-video2C149&sr=1-1,,Sony Pictures Entertainment (SPE),6.2,27,"June 11, 2021",,
Pig,2021,,97,82,90,84,72,12,78,12,drama,thriller,970935,1.0,3186668,3.2,,,3875079,3.9,,3.0,129.17%,32.36%,,,https://www.amazon.co.uk/Pig-Nicolas-Cage/dp/B099NPGBDR/ref=sr_1_1?crid=1M9JX0FGQ1MML&keywords=pig&qid=1694135924&s=instant-video&sprefix=pig2Cinstant-video2C164&sr=1-1,,Neon,6.9,15,"July 16, 2021",,
Queen Bees,2021,,55,52,54,89,51,38,70,-17,comedy,"drama, romance",375232,0.4,1926706,1.9,,,2313871,2.3,,5.0,46.28%,7.50%,,,https://www.amazon.co.uk/Queen-Bees-Loretta-Devine/dp/B09ZYTX964/ref=sr_1_1?crid=3VIUIY7YCV6XN&keywords=queen+bees&qid=1694136199&s=instant-video&sprefix=queen+bees2Cinstant-video2C216&sr=1-1,,Gravitas Ventures,6.2,27,"June 11, 2021",,
Raya and the Last Dragon,2021,,93,74,84,97,68,29,83,1,fantasy,"adventure, family",8502498,8.5,54723032,54.7,,,116110408,116.1,,100.0,116.11%,8.50%,,,https://www.amazon.co.uk/Raya-Last-Dragon-Kelly-Marie/dp/B0912LS2T1/ref=sr_1_3?crid=3PZO6AUF6SMP1&keywords=raya+and+the+last+dragon&qid=1693948137&sprefix=raya+and+2Caps2C176&sr=8-3,,Walt Disney Studios Motion Pictures,7.3,24,"March 5, 2021",,
Red Rocket,2021,,90,76,83,75,70,5,73,11,comedy,drama,88195,0.1,1023086,1.0,,,1678408,1.7,,1.1,152.58%,8.02%,,,https://www.amazon.co.uk/Red-Rocket-Simon-Rex/dp/B09R96HRSN/ref=sr_1_1?crid=29EMZLPH2RDC&keywords=red+rocket&qid=1694136402&s=instant-video&sprefix=red+rocket2Cinstant-video2C351&sr=1-1,,A24,7.1,4,"December 10, 2021",,
Reminiscence,2021,,36,46,41,37,53,-16,45,-4,action,"drama, mystery",1950793,2.0,3900193,3.9,,,15449322,15.4,,68.0,22.72%,2.87%,,,https://www.amazon.co.uk/Reminiscence-Hugh-Jackman/dp/B09GHYPZS3/ref=sr_1_1?crid=1V9HTQU5MXLIK&keywords=reminiscence&qid=1694135899&s=instant-video&sprefix=reminiscenc2Cinstant-video2C154&sr=1-1,,Warner Bros.,5.9,-22,"August 20, 2021",,
Resident Evil: Welcome to Raccoon City,2021,,29,44,37,65,37,28,51,-15,action,"horror, sci-fi",5319280,5.3,17000612,17.0,,,41909091,41.9,,25.0,167.64%,21.28%,,,https://www.amazon.co.uk/Resident-Evil-Welcome-Raccoon-City/dp/B09NZWVHJ9/ref=sr_1_1?crid=CPKYJH0C8BWO&keywords=resident+evil+welcome+to+raccoon+city&qid=1694135207&s=instant-video&sprefix=resident+evil+wel2Cinstant-video2C2288&sr=1-1,,Screen Gems,5.2,13,"November 24, 2021",,
Respect,2021,,68,61,65,95,70,25,83,-18,biography,"drama, music",8807513,8.8,24278399,24.3,,,32878589,32.9,,55.0,59.78%,16.01%,,,https://www.amazon.co.uk/Respect-Liesl-Tommy/dp/B09JBW85GT/ref=sr_1_1?crid=1KILXT5JCCNGD&keywords=respect&qid=1694135135&s=instant-video&sprefix=respec2Cinstant-video2C480&sr=1-1,,Metro-Goldwyn-Mayer (MGM),6.6,29,"August 13, 2021",,
Ron's Gone Wrong,2021,,80,65,73,94,73,21,84,-11,animation,"adventure, comedy",7300225,7.3,23009270,23.0,,,58234808,58.2,,-,-,-,,,https://www.amazon.co.uk/Rons-Gone-Wrong-Zach-Galifianakis/dp/B09NCDSLV2/ref=sr_1_1?keywords=ron27s+gone+wrong&qid=1694135162&s=instant-video&sprefix=rons+gone+2Cinstant-video2C216&sr=1-1,,20th Century Studios,7.0,24,"October 22, 2021",,
Separation,2021,,7,-,7,35,52,-17,44,-37,horror,thriller,1800162,1.8,4509143,4.5,,,-,-,,-,-,-,,,https://www.amazon.co.uk/Separation-Rupert-Friend/dp/B09JHS5JBM/ref=sr_1_1?crid=2DX8UCTDRJ9VE&keywords=separation&qid=1694135846&s=instant-video&sprefix=separatio2Cinstant-video2C634&sr=1-1,,Open Road Films (II),4.7,-12,"April 30, 2021",,
Shang-Chi and the Legend of the Ten Rings,2021,,92,71,82,98,71,27,85,-3,action,"adventure, fantasy, sci-fi",75388688,75.4,224543292,224.5,,,432224634,432.2,,150.0,288.15%,50.26%,,,https://www.amazon.co.uk/Shang-Chi-Legend-Ten-Rings-Simu/dp/B09LK2VQGT/ref=sr_1_1?crid=38HTYWJZBVCDQ&keywords=shang+chi&qid=1693589109&s=instant-video&sprefix=shang+chi2Cinstant-video2C161&sr=1-1,,Walt Disney Studios Motion Pictures,7.4,24,"September 3, 2021",,
Sing 2,2021,,72,49,61,98,74,24,86,-26,adventure,"comedy, drama, fantasy",22326230,22.3,162790990,162.8,,,404533371,404.5,,85.0,475.92%,26.27%,,,https://www.amazon.co.uk/Sing-2-Matthew-McConaughey/dp/B09T79VVNP/ref=sr_1_1?crid=BW3DIVH51WGT&keywords=sing+2&qid=1693590439&s=instant-video&sprefix=sing+2Cinstant-video2C223&sr=1-1,,Universal Pictures,7.4,24,"December 22, 2021",,
Snake Eyes: G.I. Joe Origins,2021,,35,43,39,74,47,27,61,-22,action,adventure,13367853,13.4,28264325,28.3,,,34677221,34.7,,88.0,39.41%,15.19%,,,https://www.amazon.co.uk/Snake-Eyes-G-I-Joe-Origins/dp/B09CT9LPZY/ref=sr_1_1?crid=DTYM0DGZIHG3&keywords=snake+eyes&qid=1694135021&s=instant-video&sprefix=snake+eyes2Cinstant-video2C260&sr=1-1,,Paramount Pictures,5.4,20,"July 23, 2021",,
Space Jam: A New Legacy,2021,,25,36,31,79,34,45,57,-26,comedy,"adventure, fantasy",31053362,31.1,70592228,70.6,,,143987946,144.0,,150.0,95.99%,20.70%,,,https://www.amazon.co.uk/Space-Jam-Legacy-Jeff-Bergman/dp/B09CYSM2NX/ref=sr_1_1?crid=3HWYGK75L878R&keywords=space+jam+a+new+legacy&qid=1693592266&s=instant-video&sprefix=space+jam2Cinstant-video2C187&sr=1-1,,Warner Bros.,4.5,34,"July 16, 2021",,
Spencer,2021,,83,76,80,52,68,-16,60,20,biography,"drama, history",2104767,2.1,7086632,7.1,,,16546858,16.5,,18.0,91.93%,11.69%,,,https://www.amazon.co.uk/SPENCER-Kristen-Stewart/dp/B09M9J2P42/ref=sr_1_1?crid=CFIPEFJLQC7O&keywords=spencer&qid=1694135684&s=instant-video&sprefix=spence2Cinstant-video2C223&sr=1-1,,Neon,6.6,-14,"November 5, 2021",,
Spider-Man: No Way Home,2021,,93,71,82,98,85,13,92,-10,action,"adventure, fantasy, sci-fi",260138569,260.1,804793477,804.8,,,1912233593,1912.2,,200.0,956.12%,130.07%,,,https://www.amazon.co.uk/Spider-Man-Way-Home-Tom-Holland/dp/B09NMQQD57,,Sony Pictures Entertainment (SPE),8.2,16,"December 17, 2021",,
Spiral,2021,,37,40,39,75,52,23,64,-25,crime,"horror, mystery",8750034,8.8,23216862,23.2,,,39519588,39.5,,20.0,197.60%,43.75%,,,https://www.amazon.co.uk/Spiral-Book-Saw-Chris-Rock/dp/B097BZ8YD5/ref=sr_1_1?crid=2IIPLHQ0LPTVF&keywords=spiral&qid=1694135152&s=instant-video&sprefix=spira2Cinstant-video2C332&sr=1-1,,Lionsgate,5.2,23,"May 14, 2021",,
Spirit Untamed,2021,,48,49,49,95,45,50,70,-22,animation,"adventure, family",6101050,6.1,17716215,17.7,,,42235744,42.2,,30.0,140.79%,20.34%,,,https://www.amazon.co.uk/Spirit-Untamed-Isabela-Merced/dp/B09FF8HC68/ref=sr_1_1?crid=13VADL4GRA0S6&keywords=spirit+untamed&qid=1694135172&s=instant-video&sprefix=spirit+untame2Cinstant-video2C252&sr=1-1,,Universal Pictures,5.5,40,"June 4, 2021",,
Stillwater,2021,,75,60,68,72,62,10,67,1,crime,"drama, thriller",5188150,5.2,14465535,14.5,,,17243702,17.2,,20.0,86.22%,25.94%,,,https://www.amazon.co.uk/Stillwater-Matt-Damon/dp/B09BZKV2Q6/ref=sr_1_1?crid=29RP7YGLA2LKD&keywords=stillwater&qid=1694135492&s=instant-video&sprefix=stillwater2Cinstant-video2C471&sr=1-1,,Focus Features,6.6,6,"July 30, 2021",,
The Addams Family 2,2021,,28,37,33,69,40,29,55,-22,comedy,"adventure, family",17325007,17.3,56489153,56.5,,,119383236,119.4,,23.0,519.06%,75.33%,,,https://www.amazon.co.uk/Addams-Family-2-Oscar-Isaac/dp/B09MDWN21Y/ref=sr_1_1?keywords=the+addams+family+2&qid=1693593115&s=instant-video&sprefix=the+ad2Cinstant-video2C200&sr=1-1,,United Artists Releasing,5.4,15,"October 1, 2021",,
The Boss Baby 2: Family Business,2021,,46,39,43,89,52,37,71,-28,adventure,"fantasy, comedy, family",16000665,16.0,57300280,57.3,,,146281732,146.3,,82.0,178.39%,19.51%,,,https://www.amazon.co.uk/Boss-Baby-Family-Business/dp/B09LZ1L6MW/ref=sr_1_2?crid=2FOTR3XPBI8IW&keywords=boss+baby+2&qid=1693592870&s=instant-video&sprefix=boss+baby+2Cinstant-video2C139&sr=1-2,,Universal Pictures,5.9,30,"July 2, 2021",,
The Card Counter,2021,,87,77,82,42,66,-24,54,28,drama,thriller,1039580,1.0,2657850,2.7,,,4361248,4.4,,-,-,-,,,https://www.amazon.co.uk/Card-Counter-Oscar-Isaac/dp/B09KZ3J7PN/ref=sr_1_1?keywords=the+card+counter&qid=1694136078&s=instant-video&sprefix=the+card+co2Cinstant-video2C234&sr=1-1,,Focus Features,6.2,-20,"September 10, 2021",,
The Conjuring: The Devil Made Me Do It,2021,,55,53,54,83,63,20,73,-19,mystery,"thriller, horror",24104332,24.1,65631050,65.6,,,200266441,200.3,,40.0,500.67%,60.26%,,,https://www.amazon.co.uk/Conjuring-Devil-Made-Me-Do/dp/B09BK6D4V2/ref=sr_1_1?crid=HMQG41QZ15ET&keywords=the+conjuring+the+devil+made+me+do+it&qid=1693592704&s=instant-video&sprefix=the+conjuring+2Cinstant-video2C162&sr=1-1,,Warner Bros.,6.3,20,"June 4, 2021",,
The Courier,2021,,85,65,75,95,70,25,83,-8,drama,"thriller, comedy, horror",1885829,1.9,6613432,6.6,,,20854726,20.9,,-,-,-,,,https://www.amazon.co.uk/Courier-Benedict-Cumberbatch/dp/B09G3LXTT6/ref=sr_1_1?crid=3I16A7QJK1EV4&keywords=the+courier&qid=1694135698&s=instant-video&sprefix=the+courie2Cinstant-video2C150&sr=1-1,,Roadside Attractions,7.2,23,"March 19, 2021",,
The Eyes of Tammy Faye,2021,,68,55,62,86,58,28,72,-11,biography,"drama, history",652358,0.7,2404127,2.4,,,2707904,2.7,,-,-,-,,,https://www.amazon.co.uk/Eyes-Tammy-Faye-Jessica-Chastain/dp/B09KL7HSF5/ref=sr_1_1?keywords=the+eyes+of+tammy+faye&qid=1694136110&s=instant-video&sprefix=the+eyes+of+tamm2Cinstant-video2C213&sr=1-1,,Searchlight Pictures,6.6,20,"September 17, 2021",,
The Father,2021,,98,88,93,92,86,6,89,4,drama,-,-,-,2122771,2.1,,,36427155,36.4,,6.0,607.12%,-,,,https://www.amazon.co.uk/Father-Anthony-Hopkins/dp/B0971NCHHR/ref=sr_1_1?crid=2LDWA7BHV70X1&keywords=the+father&qid=1694136190&s=instant-video&sprefix=the+fathe2Cinstant-video2C163&sr=1-1,,Sony Pictures Classics,8.2,10,"January 29, 2021",,
The Forever Purge,2021,,49,53,51,78,45,33,62,-11,horror,"action, sci-fi, thriller",12551220,12.6,44539245,44.5,,,76950525,77.0,,18.0,427.50%,69.73%,,,https://www.amazon.co.uk/Forever-Purge-Ana-Reguera/dp/B09BLDYWNR/ref=sr_1_1?crid=3K1AG90JN3K6S&keywords=the+forever+purge&qid=1693948612&s=instant-video&sprefix=the+forever+purg2Cinstant-video2C137&sr=1-1,,Universal Pictures,5.4,24,"July 2, 2021",,
The French Dispatch,2021,,75,74,75,76,70,6,73,2,comedy,"drama, romance",1348804,1.3,16124375,16.1,,,45137404,45.1,,35.0,128.96%,3.85%,,,https://www.amazon.co.uk/French-Dispatch-Benicio-Del-Toro/dp/B09N8RRRRL/ref=sr_1_1?crid=103ELP3CW84K&keywords=the+french+dispatch&qid=1694135218&s=instant-video&sprefix=the+french+dis2Cinstant-video2C224&sr=1-1,,Searchlight Pictures,7.1,5,"October 22, 2021",,
The Girl Who Believes in Miracles,2021,,40,-,40,93,-,-,93,-53,drama,family,546000,0.5,3163362,3.2,,,3239441,3.2,,3.0,107.98%,18.20%,,,https://www.amazon.co.uk/Girl-Who-Believes-Miracles/dp/B0B5NPXW4J/ref=sr_1_1?keywords=the+girl+who+believes+in+miracles&qid=1694135935&s=instant-video&sprefix=the+girl+who+be2Cinstant-video2C448&sr=1-1,,Atlas Distribution Company,5.7,36,"April 2, 2021",,
The Good House,2021,,72,62,67,76,-,-,76,-9,romance,comedy,801568,0.8,2219760,2.2,,,2244388,2.2,,-,-,-,,,https://www.amazon.com/Good-House-Sigourney-Weaver/dp/B0B8TNVD65,,Roadside Attractions,6.4,12,"October 1, 2021",,
The Green Knight,2021,,89,85,87,50,63,-13,57,31,adventure,"drama, fantasy",6790917,6.8,17173321,17.2,,,20022491,20.0,,15.0,133.48%,45.27%,,,https://www.amazon.co.uk/Green-Knight-Dev-Patel/dp/B09GTCV4VB/ref=sr_1_1?crid=PU8AQN6CPZDQ&keywords=the+green+knight&qid=1694135195&s=instant-video&sprefix=the+green+knigh2Cinstant-video2C205&sr=1-1,,A24,6.6,-16,"July 30, 2021",,
The House Next Door: Meet the Blacks 2,2021,,17,-,17,50,-,-,50,-33,action,"comedy, horror",1011756,1.0,2893660,2.9,,,-,-,,3.5,-,28.91%,,,https://www.amazon.co.uk/House-Next-Door-Meet-Blacks/dp/B09VG3Y5DM/ref=sr_1_1?crid=UCKNG58IRJJG&keywords=The+House+Next+Door3A+Meet+the+Blacks+2&qid=1694136011&s=instant-video&sprefix=dream+horse2Cinstant-video2C553&sr=1-1,,Hidden Empire Film Group (HEFG),4.0,10,"June 11, 2021",,
The King's Man,2021,,41,44,43,80,51,29,66,-23,action,"adventure, thriller, comedy, crime",5915542,5.9,37176373,37.2,,,121125300,121.1,,100.0,121.13%,5.92%,,,https://www.amazon.co.uk/Kings-Man-Ralph-Fiennes/dp/B09QFY4HJZ/ref=sr_1_1?crid=2F2VCRFX8Z52P&keywords=the+king27s+man&qid=1694130800&s=instant-video&sprefix=the+king27s+man2Cinstant-video2C179&sr=1-1,,20th Century Studios,6.3,17,"December 22, 2021",,
The Last Duel,2021,,85,67,76,81,73,8,77,-1,action,"drama, history",4759151,4.8,10853945,10.9,,,30080003,30.1,,100.0,30.08%,4.76%,,,https://www.amazon.co.uk/Last-Duel-Matt-Damon/dp/B09ML3CG9L/ref=sr_1_1?crid=15K7S3MUDCUHH&keywords=the+last+duel&qid=1694135576&s=instant-video&sprefix=the+last+duel2Cinstant-video2C219&sr=1-1,,20th Century Studios,7.4,7,"October 15, 2021",,
The Little Things,2021,,45,54,50,67,57,10,62,-13,crime,"drama, thriller",4705527,4.7,15342746,15.3,,,29735222,29.7,,30.0,99.12%,15.69%,,,https://www.amazon.co.uk/Little-Things-Denzel-Washington/dp/B08YJ1BWGY/ref=sr_1_1?crid=3PF692VULT6X1&keywords=the+little+things&qid=1694135249&s=instant-video&sprefix=the+little+thing2Cinstant-video2C219&sr=1-1,,Warner Bros.,6.3,4,"January 29, 2021",,
The Many Saints of Newark,2021,,71,60,66,59,49,10,54,12,crime,drama,4651571,4.7,8237403,8.2,,,12732039,12.7,,50.0,25.46%,9.30%,,,https://www.amazon.co.uk/Many-Saints-Newark-Alessandro-Nivola/dp/B09K3P8RJG/ref=sr_1_1?keywords=the+many+saints+of+newark+movie&qid=1694135623&s=instant-video&sprefix=the+many+saints+of+2Cinstant-video2C162&sr=1-1,,Warner Bros.,6.3,-4,"October 1, 2021",,
The Marksman,2021,,38,44,41,83,57,26,70,-29,action,thriller,3104204,3.1,15566093,15.6,,,23855847,23.9,,23.0,103.72%,13.50%,,,https://www.amazon.co.uk/Marksman-Liam-Neeson/dp/B09KP567W4/ref=sr_1_1?crid=31K3GEAB6Y34W&keywords=the+marksman&qid=1694135228&s=instant-video&sprefix=the+marksman2Cinstant-video2C266&sr=1-1,,Open Road Films (II),5.7,26,"January 15, 2021",,
The Matrix Resurrections,2021,,63,63,63,63,39,24,51,12,action,sci-fi,10749011,10.7,37686805,37.7,,,159197755,159.2,,190.0,83.79%,5.66%,,,https://www.amazon.co.uk/Matrix-Keanu-Reeves/dp/B00IA54SK0/ref=sr_1_1?crid=REVV3N4ULJCM&keywords=the+matrix+resurrections&qid=1694130499&s=instant-video&sprefix=the+matrix+re2Cinstant-video2C146&sr=1-1,,Warner Bros.,5.7,6,"December 22, 2021",,
