Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Captain America: The Winter Soldier,2014,sequel,89,70,80,92,82,10,87,-8,,"action, adventure, sci-fi, thriller",95023721,95.02,259766572,259.77,455.00,455000000,714766572,715,63.66%,170,420.45%,55.90%,,,http://www.amazon.com/gp/product/B018UL4Q4G/?tag=titb-20,1,,,,"Apr 4, 2014",
Dawn of the Planet of the Apes,2014,sequel,90,79,85,89,82,7,86,-1,,"action, sci-fi, drama, thriller",72611427,72.61,208545589,208.55,500.29,500290000,708835589,709,70.58%,170,416.96%,42.71%,,,http://www.amazon.com/gp/product/B00LP9G64O/?tag=titb-20,1,,,,"Jul 11, 2014",
Interstellar,2014,original screenplay ,72,74,73,86,84,2,85,-12,,"action, adventure, sci-fi, mystery",47510360,47.51,188020017,188.02,484.70,484700000,672720017,673,72.05%,165,407.71%,28.79%,,,http://www.amazon.com/gp/product/B00TU9UFTS/?tag=titb-20,1,,,,"Nov 5, 2014",
Godzilla (2014),2014,remake / reboot,74,62,68,67,68,-1,68,1,,"action, adventure, sci-fi, thriller, fantasy",93188384,93.19,200676069,200.68,328.00,328000000,528676069,529,62.04%,160,330.42%,58.24%,,,http://www.amazon.com/gp/product/B00NM7IR26/?tag=titb-20,1,,,,"May 16, 2014",
Mr. Peabody & Sherman,2014,adaptation,79,59,69,73,66,7,70,-1,,"adventure, sci-fi, comedy, animation, family",32207057,32.21,111506430,111.51,161.41,161406000,272912430,273,59.14%,145,188.22%,22.21%,,,http://www.amazon.com/gp/product/B00JEK7QAE/?tag=titb-20,1,,,,"Mar 7, 2014",
How to Train Your Dragon 2,2014,sequel,92,76,84,90,84,6,87,-3,,"action, adventure, fantasy, comedy, animation, family",49451322,49.45,177002924,177.00,441.91,441907011,618909935,619,71.40%,145,426.83%,34.10%,,,http://www.amazon.com/gp/product/B00KYKNHME/?tag=titb-20,1,,,,"Jun 13, 2014",
Exodus: Gods and Kings,2014,adaptation,27,52,40,37,46,-9,42,-2,,"action, adventure, drama",24115934,24.12,65014513,65.01,203.02,203017315,268031828,268,75.74%,140,191.45%,17.23%,,,http://www.amazon.com/gp/product/B00QWUJMV0/?tag=titb-20,1,,,,"Dec 12, 2014",
Penguins of Madagascar,2014,sequel,72,53,63,64,66,-2,65,-3,,"adventure, comedy, animation, family",25447444,25.45,83350911,83.35,290.20,290201183,373552094,374,77.69%,132,282.99%,19.28%,,,http://www.amazon.com/gp/product/B00Q6D5O8S/?tag=titb-20,1,,,,"Nov 26, 2014",
Night at the Museum: Secret of the Tomb,2014,sequel,50,47,49,59,59,0,59,-11,,"adventure, fantasy, comedy, family",17100520,17.10,113574930,113.57,246.63,246625469,360200399,360,68.47%,127,283.62%,13.46%,,,http://www.amazon.com/gp/product/B00R7FU2UE/?tag=titb-20,1,,,,"Dec 19, 2014",
Noah,2014,adaptation,77,68,73,42,53,-11,48,25,,"action, adventure, drama, fantasy",43720472,43.72,101200044,101.20,261.44,261437429,362637473,363,72.09%,125,290.11%,34.98%,,,http://www.amazon.com/gp/product/B00JB3MVCW/?tag=titb-20,1,,,,"Mar 28, 2014",
The Hunger Games: Mockingjay - Part 1,2014,adaptation,65,64,65,73,63,10,68,-4,,"action, adventure, sci-fi, drama, thriller",121897634,121.90,337135885,337.14,414.96,414964344,752100229,752,55.17%,125,601.68%,97.52%,,,http://www.amazon.com/gp/product/B00T6UD7BY/?tag=titb-20,1,,,,"Nov 21, 2014",
Teenage Mutant Ninja Turtles (2014),2014,original screenplay ,21,31,26,53,50,3,52,-26,,"action, adventure, sci-fi, fantasy, comedy, animation",65575105,65.58,191204754,191.20,293.80,293800000,485004754,485,60.58%,125,388.00%,52.46%,,,http://www.amazon.com/gp/product/B00R2Z3SZA/?tag=titb-20,1,,,,"Aug 8, 2014",
300: Rise of An Empire,2014,sequel,42,48,45,53,61,-8,57,-12,,"action, drama, fantasy, war",45038460,45.04,106580051,106.58,231.00,231000000,337580051,338,68.43%,110,306.89%,40.94%,,,http://www.amazon.com/gp/product/B00IXE7274/?tag=titb-20,1,,,,"Mar 7, 2014",
Rio 2,2014,sequel,48,49,49,59,62,-3,61,-12,,"adventure, comedy, animation, family",39327869,39.33,131538435,131.54,368.65,368650000,500188435,500,73.70%,103,485.62%,38.18%,,,http://www.amazon.com/gp/product/B00JM6W5RE/?tag=titb-20,1,,,,"Apr 11, 2014",
Hercules (2014),2014,adaptation,60,47,54,50,65,-15,58,-4,,"action, adventure",29800263,29.80,72688614,72.69,170.70,170700000,243388614,243,70.13%,100,243.39%,29.80%,,,http://www.amazon.com/gp/product/B00OPX707Y/?tag=titb-20,1,,,,"Jul 25, 2014",
RoboCop (2014),2014,remake / reboot,49,52,51,51,63,-12,57,-7,,"action, sci-fi, thriller, crime",21681430,21.68,58607007,58.61,184.08,184081958,242668965,243,75.86%,100,242.67%,21.68%,,,http://www.amazon.com/gp/product/B00IK590UI/?tag=titb-20,1,,,,"Feb 12, 2014",
The Expendables 3,2014,sequel,33,35,34,49,57,-8,53,-19,,"action, adventure, thriller",15879645,15.88,39322544,39.32,166.85,166850000,206172544,206,80.93%,90,229.08%,17.64%,,,http://www.amazon.com/gp/product/B00MQOZETK/?tag=titb-20,1,,,,"Aug 15, 2014",
Divergent,2014,adaptation,40,48,44,70,59,11,65,-21,,"action, adventure, sci-fi, drama, romance",54607747,54.61,150947895,150.95,137.80,137800000,288747895,289,47.72%,85,339.70%,64.24%,,,http://www.amazon.com/gp/product/B00J59ZKV6/?tag=titb-20,1,,,,"Mar 21, 2014",
The Monuments Men,2014,adaptation,31,52,42,44,53,-9,49,-7,,"action, adventure, biography, drama, history, thriller, comedy, war",22003433,22.00,78031620,78.03,76.95,76952415,154984035,155,49.65%,70,221.41%,31.43%,,,http://www.amazon.com/gp/product/B00II399HG/?tag=titb-20,1,,,,"Feb 7, 2014",
Dracula Untold,2014,original screenplay ,23,40,32,59,63,-4,61,-30,,"action, drama, fantasy, horror, war",23514615,23.51,56280355,56.28,159.25,159248846,215529201,216,73.89%,70,307.90%,33.59%,,,http://www.amazon.com/gp/product/B00RW1J8RG/?tag=titb-20,1,,,,"Oct 10, 2014",
Fury (2014),2014,original screenplay ,77,64,71,85,73,12,79,-9,,"action, drama, war",23702421,23.70,85817906,85.82,126.00,126000000,211817906,212,59.49%,68,311.50%,34.86%,,,http://www.amazon.com/gp/product/B00OLI95R6/?tag=titb-20,1,,,,"Oct 17, 2014",
Need for Speed,2014,adaptation,22,39,31,58,65,-7,62,-31,,"action, drama, thriller, crime",17844939,17.84,43577636,43.58,159.70,159700000,203277636,203,78.56%,66,308.00%,27.04%,,,http://www.amazon.com/gp/product/B00MFDPZRS/?tag=titb-20,1,,,,"Mar 14, 2014",
Annie (2014),2014,adaptation,27,33,30,62,48,14,55,-25,,"drama, comedy, family, musical",15861939,15.86,85911262,85.91,47.91,47910554,133821816,134,35.80%,65,205.88%,24.40%,,,http://www.amazon.com/gp/product/B00R7FZ2F4/?tag=titb-20,1,,,,"Dec 19, 2014",
Unbroken,2014,adaptation,51,59,55,71,64,7,68,-13,,"action, biography, drama, history, sport, war",30621445,30.62,115637895,115.64,45.82,45821402,161459297,161,28.38%,65,248.40%,47.11%,,,http://www.amazon.com/gp/product/B00RFHUYKW/?tag=titb-20,1,,,,"Dec 25, 2014",
Gone Girl,2014,adaptation,88,79,84,88,81,7,85,-1,,"drama, mystery, thriller",37513109,37.51,167767189,167.77,200.29,200294722,368061911,368,54.42%,61,603.38%,61.50%,,,http://www.amazon.com/gp/product/B00S65TBHY/?tag=titb-20,1,,,,"Oct 3, 2014",
Jack Ryan: Shadow Recruit,2014,adaptation,56,57,57,53,60,-7,57,0,,"action, drama, mystery, thriller",15451981,15.45,50577412,50.58,84.93,84933618,135511030,136,62.68%,60,225.85%,25.75%,,,http://www.amazon.com/gp/product/B00HZ3C4N6/?tag=titb-20,1,,,,"Jan 17, 2014",
The Boxtrolls,2014,adaptation,75,61,68,65,70,-5,68,1,,"adventure, fantasy, comedy, animation, family",17275239,17.28,50837305,50.84,57.42,57418465,108255770,108,53.04%,60,180.43%,28.79%,,,http://www.amazon.com/gp/product/B00QHMDWUA/?tag=titb-20,1,,,,"Sep 26, 2014",
The LEGO Movie,2014,original screenplay ,96,83,90,87,82,5,85,5,,"action, adventure, fantasy, comedy, animation, family",69050279,69.05,257760692,257.76,211.00,211000000,468760692,469,45.01%,60,781.27%,115.08%,,,http://www.amazon.com/gp/product/B00L23SE52/?tag=titb-20,1,,,,"Feb 7, 2014",
The Equalizer,2014,adaptation,61,57,59,77,68,9,73,-14,,"action, thriller, crime",34137828,34.14,101530738,101.53,90.80,90800000,192330738,192,47.21%,55,349.69%,62.07%,,,http://www.amazon.com/gp/product/B00NY4UIKG/?tag=titb-20,1,,,,"Sep 26, 2014",
22 Jump Street,2014,adaptation,85,71,78,78,74,4,76,2,,"action, comedy, crime",57071445,57.07,191719337,191.72,139.61,139614539,331333876,331,42.14%,50,662.67%,114.14%,,,http://www.amazon.com/gp/product/B00KVLQT6M/?tag=titb-20,1,,,,"Jun 13, 2014",
Into the Woods,2014,adaptation,71,69,70,51,61,-10,56,14,,"adventure, fantasy, comedy, family, musical",31051923,31.05,128002372,128.00,76.30,76300000,204302372,204,37.35%,50,408.60%,62.10%,,,http://www.amazon.com/gp/product/B00TPELV50/?tag=titb-20,1,,,,"Dec 25, 2014",
Into The Storm,2014,original screenplay ,22,44,33,43,52,-9,48,-15,,"action, thriller",17346427,17.35,47602194,47.60,113.00,113000000,160602194,161,70.36%,50,321.20%,34.69%,,,http://www.amazon.com/gp/product/B00YIHMBFI/?tag=titb-20,1,,,,"Aug 8, 2014",
Non-Stop,2014,original screenplay ,60,56,58,64,71,-7,68,-10,,"action, mystery, thriller",28875635,28.88,92168600,92.17,130.64,130641000,222809600,223,58.63%,50,445.62%,57.75%,,,http://www.amazon.com/gp/product/B00KW274SM/?tag=titb-20,1,,,,"Feb 28, 2014",
The Book of Life (2014),2014,original screenplay ,82,67,75,78,73,5,76,-1,,"adventure, fantasy, comedy, romance, animation, family",17005218,17.01,50151543,50.15,47.29,47285106,97437106,97,48.53%,50,194.87%,34.01%,,,http://www.amazon.com/gp/product/B00OM69HZW/?tag=titb-20,1,,,,"Oct 17, 2014",
The Judge,2014,original screenplay ,47,48,48,73,71,2,72,-25,,drama,13116226,13.12,47119388,47.12,36.60,36600000,83719388,84,43.72%,50,167.44%,26.23%,,,http://www.amazon.com/gp/product/B00OCDSPK8/?tag=titb-20,1,,,,"Oct 10, 2014",
Muppets Most Wanted,2014,sequel,78,61,70,59,63,-4,61,9,,"adventure, comedy, crime, family, musical",17005126,17.01,51183113,51.18,29.20,29200000,80383113,80,36.33%,50,160.77%,34.01%,,,http://www.amazon.com/gp/product/B00J5A1V5Y/?tag=titb-20,1,,,,"Mar 21, 2014",
Planes: Fire & Rescue,2014,sequel,44,48,46,57,59,-2,58,-12,,"adventure, comedy, animation, family",17509407,17.51,59165787,59.17,92.00,92000000,151165787,151,60.86%,50,302.33%,35.02%,,,http://www.amazon.com/gp/product/B00LXLN4W6/?tag=titb-20,1,,,,"Jul 18, 2014",
Step Up All In,2014,sequel,43,45,44,57,49,8,53,-9,,"music, romance, drama",6469857,6.47,14904384,14.90,71.26,71261262,86165646,86,82.70%,45,191.48%,14.38%,,,http://www.amazon.com/gp/product/B00O96JHQE/?tag=titb-20,1,,,,"Aug 8, 2014",
The Interview,2014,original screenplay,53,52,53,50,61,-11,56,-3,,comedy,1794666,1.79,6105175,6.11,5.20,5200000,11305175,11,46.00%,43,26.29%,4.17%,,,http://www.amazon.com/gp/product/B00RNRD7Y4/?tag=titb-20,1,,,,"Dec 25, 2014",
The Nut Job,2014,adaptation,10,37,24,45,42,3,44,-20,,"adventure, comedy, animation, family",19423000,19.42,64251541,64.25,49.06,49056421,113307962,113,43.29%,42,269.78%,46.25%,,,http://www.amazon.com/gp/product/B00JJHEVKA/?tag=titb-20,1,,,,"Jan 17, 2014",
Horrible Bosses 2,2014,sequel,35,40,38,50,62,-12,56,-19,,"comedy, crime",15457418,15.46,54445357,54.45,52.20,52200000,106645357,107,48.95%,42,253.92%,36.80%,,,http://www.amazon.com/gp/product/B00S7HRCKY/?tag=titb-20,1,,,,"Nov 26, 2014",
Jersey Boys,2014,adaptation,53,54,54,63,69,-6,66,-13,,"biography, drama, music, musical",13319371,13.32,47047013,47.05,20.30,20300000,67347013,67,30.14%,40,168.37%,33.30%,,,http://www.amazon.com/gp/product/B00PGV8UV4/?tag=titb-20,1,,,,"Jun 20, 2014",
A Million Ways to Die in the West,2014,original screenplay ,33,44,39,40,51,-11,46,-7,,"comedy, western",16797385,16.80,43139300,43.14,43.27,43268783,86408083,86,50.07%,40,216.02%,41.99%,,,http://www.amazon.com/gp/product/B00KNOVIOU/?tag=titb-20,1,,,,"May 30, 2014",
Blended,2014,original screenplay ,14,31,23,64,42,22,53,-31,,comedy,14284031,14.28,46294610,46.29,80.50,80500000,126794610,127,63.49%,40,316.99%,35.71%,,,http://www.amazon.com/gp/product/B00KL5HW9Q/?tag=titb-20,1,,,,"May 23, 2014",
Lucy,2014,original screenplay ,66,61,64,47,60,-13,54,10,,"action, sci-fi, thriller",43899340,43.90,126663600,126.66,332.20,332200000,458863600,459,72.40%,40,1147.16%,109.75%,,,http://www.amazon.com/gp/product/B00QQW1VJA/?tag=titb-20,1,,,,"Jul 25, 2014",
Sex Tape,2014,original screenplay ,17,36,27,34,30,4,32,-6,,"drama, comedy",14608152,14.61,38543473,38.54,87.53,87526036,126069509,126,69.43%,40,315.17%,36.52%,,,http://www.amazon.com/gp/product/B00LWY5B52/?tag=titb-20,1,,,,"Jul 18, 2014",
The Other Woman (2014),2014,original screenplay ,23,39,31,57,51,6,54,-23,,"comedy, romance",24763752,24.76,83911193,83.91,112.87,112870000,196781193,197,57.36%,40,491.95%,61.91%,,,http://www.amazon.com/gp/product/B00JXCZKU6/?tag=titb-20,1,,,,"Apr 25, 2014",
Dumb and Dumber To,2014,sequel,29,36,33,38,56,-18,47,-15,,comedy,36111775,36.11,86208010,86.21,83.63,83629000,169837010,170,49.24%,40,424.59%,90.28%,,,http://www.amazon.com/gp/product/B00S8P05OK/?tag=titb-20,1,,,,"Nov 14, 2014",
Dolphin Tale 2,2014,sequel,67,58,63,73,54,19,64,-1,,"drama, family",15873397,15.87,42024533,42.02,10.40,10400000,52424533,52,19.84%,36,145.62%,44.09%,,,http://www.amazon.com/gp/product/B00PTOYJJ0/?tag=titb-20,1,,,,"Sep 12, 2014",
The Maze Runner,2014,adaptation,63,56,60,68,67,1,68,-8,,"action, sci-fi, mystery, thriller",32512804,32.51,102427862,102.43,238.32,238322778,340750640,341,69.94%,34,1002.21%,95.63%,,,http://www.amazon.com/gp/product/B00NQFLZW8/?tag=titb-20,1,,,,"Sep 19, 2014",
Deliver Us From Evil,2014,adaptation,28,40,34,42,59,-17,51,-17,,,9740471,9.74,30477122,30.48,57.36,57360693,87937815,88,65.23%,30,293.13%,32.47%,,,http://www.amazon.com/gp/product/B00LGIO8X0/?tag=titb-20,1,,,,"Jul 2, 2014",
Vampire Academy,2014,adaptation,9,30,20,57,58,-1,58,-38,,fantasy,3921742,3.92,7791979,7.79,7.60,7600000,15391979,15,49.38%,30,51.31%,13.07%,,,http://www.amazon.com/gp/product/B00JJH4GAU/?tag=titb-20,1,,,,"Feb 7, 2014",
Get On Up,2014,based on a true story,80,71,76,70,71,-1,71,5,,"biography, drama, music",13585915,13.59,30703100,30.70,1.21,1208498,31911598,32,3.79%,30,106.37%,45.29%,,,http://www.amazon.com/gp/product/B00QRPEZ3K/?tag=titb-20,1,,,,"Aug 1, 2014",
A Walk Among the Tombstones,2014,adaptation,66,57,62,54,66,-12,60,2,,"action, drama, mystery, thriller",12758780,12.76,26307600,26.31,26.87,26874000,53181600,53,50.53%,28,189.93%,45.57%,,,http://www.amazon.com/gp/product/B00S65U63W/?tag=titb-20,1,,,,"Sep 19, 2014",
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,adaptation,62,54,58,60,54,6,57,1,,"comedy, family",18360230,18.36,66954149,66.95,33.70,33700000,100654000,101,33.48%,28,359.48%,65.57%,,,http://www.amazon.com/gp/product/B00ST1Q90C/?tag=titb-20,1,,,,"Oct 10, 2014",
3 Days to Kill,2014,original screenplay ,28,40,34,44,57,-13,51,-17,,"action, drama, thriller, crime ",12242218,12.24,30697999,30.70,21.90,21900000,52597999,53,41.64%,28,187.85%,43.72%,,,http://www.amazon.com/gp/product/B00JNMLMJ4/?tag=titb-20,1,,,,"Feb 21, 2014",
The Best of Me,2014,adaptation,8,29,19,60,48,12,54,-36,,"drama, romance",10003827,10.00,26766213,26.77,9.16,9160000,35926213,36,25.50%,26,138.18%,38.48%,,,http://www.amazon.com/gp/product/B00T4819QS/?tag=titb-20,1,,,,"Oct 17, 2014",
The Giver,2014,adaptation,36,47,42,57,61,-4,59,-18,,"sci-fi, drama, fantasy",12305016,12.31,45090374,45.09,21.89,21890082,66980456,67,32.68%,25,267.92%,49.22%,,,http://www.amazon.com/gp/product/B00MR67BCU/?tag=titb-20,1,,,,"Aug 15, 2014",
Million Dollar Arm,2014,based on a true story,62,56,59,70,71,-1,71,-12,,"biography, drama, sport",10515659,10.52,36457627,36.46,1.85,1850000,38307627,38,4.83%,25,153.23%,42.06%,,,http://www.amazon.com/gp/product/B00O8NRZV2/?tag=titb-20,1,,,,"May 16, 2014",
Draft Day,2014,original screenplay ,61,54,58,66,66,0,66,-9,,"drama, sport",9783603,9.78,28842237,28.84,0.62,619809,29462046,29,2.10%,25,117.85%,39.13%,,,http://www.amazon.com/gp/product/B00LMKLJY8/?tag=titb-20,1,,,,"Apr 11, 2014",
Ride Along,2014,original screenplay ,18,41,30,59,55,4,57,-28,,"action, comedy, adventure, family, animation",41516170,41.52,134938200,134.94,19.06,19059619,153997819,154,12.38%,25,615.99%,166.06%,,,http://www.amazon.com/gp/product/B00JP5P1KU/?tag=titb-20,1,,,,"Jan 17, 2014",
The Gambler,2014,remake / reboot,46,55,51,33,58,-25,46,5,,"drama, thriller, crime",9129999,9.13,33680992,33.68,5.49,5490138,39171130,39,14.02%,25,156.68%,36.52%,,,http://www.amazon.com/gp/product/B00R7FUC7M/?tag=titb-20,1,,,,"Dec 25, 2014",
Foxcatcher,2014,based on a true story,88,81,85,67,71,-4,69,16,,drama,270877,0.27,12096300,12.10,6.9,6900000,12096300,12,57.04%,24,50.40%,1.13%,,,http://www.amazon.com/gp/product/B00R2LYXKI/?tag=titb-20,1,,,,"Nov 14, 2014",
Think Like a Man Too,2014,sequel,23,38,31,60,41,19,51,-20,,"comedy, romance",29241911,29.24,65182182,65.18,5.00,4999246,70181428,70,7.12%,24,292.42%,121.84%,,,http://www.amazon.com/gp/product/B00L4YU34O/?tag=titb-20,1,,,,"Jun 20, 2014",
Son of God,2014,adaptation,21,37,29,73,39,34,56,-27,,drama,25601865,25.60,59700064,59.70,8.10,8100000,67800604,68,11.95%,22,308.18%,116.37%,,,http://www.amazon.com/gp/product/B00JWEOYCU/?tag=titb-20,1,,,,"Feb 28, 2014",
The Hundred-Foot Journey,2014,adaptation,68,55,62,81,71,10,76,-15,,"drama, romance",10979290,10.98,54240821,54.24,34.64,34640000,88880821,89,38.97%,22,404.00%,49.91%,,,http://www.amazon.com/gp/product/B00N2YWAF4/?tag=titb-20,1,,,,"Aug 8, 2014",
John Wick,2014,original screenplay ,85,68,77,80,79,1,80,-3,,"action, thriller",14415922,14.42,43037835,43.04,35.70,35702062,78739897,79,45.34%,20,393.70%,72.08%,,,http://www.amazon.com/gp/product/B00R8Q0KV8/?tag=titb-20,1,,,,"Oct 24, 2014",
Tammy,2014,original screenplay ,23,39,31,37,30,7,34,-3,,comedy,21577049,21.58,84525432,84.53,15.85,15850000,100375432,100,15.79%,20,501.88%,107.89%,,,http://www.amazon.com/gp/product/B00LGITGDW/?tag=titb-20,1,,,,"Jul 2, 2014",
This is Where I Leave You,2014,adaptation,41,44,43,60,63,-3,62,-19,,"drama, comedy",11558149,11.56,34296320,34.30,6.70,6700000,40996320,41,16.34%,19.8,207.05%,58.37%,,,http://www.amazon.com/gp/product/B00OVNQ31W/?tag=titb-20,1,,,,"Sep 19, 2014",
Neighbors,2014,original screenplay ,73,68,71,64,63,1,64,7,,comedy,49033915,49.03,150157400,150.16,118.00,118000000,268157400,268,44.00%,18,1489.76%,272.41%,,,http://www.amazon.com/gp/product/B00K7WZVXC/?tag=titb-20,1,,,,"May 9, 2014",
Let's Be Cops,2014,original screenplay ,18,30,24,53,65,-12,59,-35,,"action, comedy",17813722,17.81,82390774,82.39,55.22,55223280,137614054,138,40.13%,17,809.49%,104.79%,,,http://www.amazon.com/gp/product/B00MO7Y6DO/?tag=titb-20,1,,,,"Aug 13, 2014",
Left Behind ,2014,adaptation,2,12,7,44,29,15,37,-30,,thriller,6300147,6.30,14019924,14.02,5.66,5663000,19682924,20,28.77%,16,123.02%,39.38%,,,http://www.amazon.com/gp/product/B00RCSA1ES/?tag=titb-20,1,,,,"Oct 3, 2014",
When the Game Stands Tall,2014,adaptation,18,41,30,73,73,0,73,-44,,"drama, sport",8381509,8,30127963,30,0,10949,30127963,30,0.04%,15,200.85%,55.88%,,,http://www.amazon.com/gp/product/B00MXU9YIE/?tag=titb-20,1,,,,"Aug 22, 2014",
The Imitation Game,2014,based on a true story,89,73,81,92,82,10,87,-6,,"biography, drama, thriller, war",479352,0.48,91125683,91.13,128.85,128854276,219979959,220,58.58%,14,1571.29%,3.42%,,,http://www.amazon.com/gp/product/B00R7FRTWI/?tag=titb-20,1,,,,"Nov 28, 2014",
No Good Deed (2014),2014,original screenplay ,10,26,18,57,44,13,51,-33,,"thriller, horror, crime",24250283,24.25,52543632,52.54,1.78,1779578,54323210,54,3.28%,13.2,411.54%,183.71%,,,http://www.amazon.com/gp/product/B00NMUWM1A/?tag=titb-20,1,,,,"Sep 12, 2014",
