Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Big Hero 6,2014,adaptation,89,74,82,92,80,12,86,-5,,"action, adventure, sci-fi, comedy, animation, family",56215889,56.22,222431643,222.43,429.60,429600000,652031643,652,65.89%,165,395.17%,34.07%,Oscar winner,Best Animated Feature,http://www.amazon.com/gp/product/B00TYBBYK6/?tag=titb-20,1,,,,"Nov 7, 2014",
American Sniper,2014,based on a true story ,73,72,73,86,66,20,76,-4,,"action, biography, drama, war",89269066,89.27,348295276,348.30,193.40,193400000,541695276,542,35.70%,59,918.13%,151.30%,Oscar winner,,http://www.amazon.com/gp/product/B00RFHVCFI/?tag=titb-20,1,,,,"Dec 25, 2014",
The Grand Budapest Hotel,2014,adaptation,92,88,90,86,83,3,85,6,,"drama, comedy",811166,0.81,59100318,59.10,115.50,115500000,174600318,175,66.15%,30,582.00%,2.70%,Oscar winner,,http://www.amazon.com/gp/product/B00JB3O6H0/?tag=titb-20,1,,,,"Mar 7, 2014",
Birdman,2014,original screenplay ,93,88,91,79,79,0,79,12,,"drama, comedy",424397,0.42,42340598,42.34,60.87,60874496,103215094,103,58.98%,18,573.42%,2.36%,Oscar winner,"Best Picture, Best Original Screenplay",http://www.amazon.com/gp/product/B00TPJE3ZK/?tag=titb-20,1,,,,"Oct 17, 2014",
The Theory of Everything,2014,based on a true story,79,72,76,84,76,8,80,-5,,"biography, drama, romance",208763,0.21,35893537,35.89,85.31,85308403,121201940,121,70.39%,15,808.01%,1.39%,Oscar winner,Best Adapted Screenplay,http://www.amazon.com/gp/product/B00SNEGFNG/?tag=titb-20,1,,,,"Nov 7, 2014",
Boyhood,2014,original screenplay ,98,100,99,82,77,5,80,20,,drama,387618,0.39,25352281,25.35,19.14,19143000,44495281,44,43.02%,4,1112.38%,9.69%,Oscar winner,Best Supporting Actress (Patricia Arquette),http://www.amazon.com/gp/product/B00MBWN6UG/?tag=titb-20,1,,,,"Jul 11, 2014",
Whiplash,2014,original screenplay ,95,88,92,95,88,7,92,0,,drama,135388,0.14,13092000,13.09,0.90,901092,13993092,14,6.44%,3.3,424.03%,4.10%,Oscar winner,"Best Supporting Actor (J.K. Simmons), Best Film Editing (Tom Cross), Best Sound Mixing (Craig Mann, Ben Wilkins and Thomas Curley)",http://www.amazon.com/gp/product/B00PRXDUE8/?tag=titb-20,1,,,,"Oct 15, 2014",
The Hobbit: The Battle of the Five Armies,2014,sequel,61,59,60,76,70,6,73,-13,,"adventure, fantasy",54724334,54.72,255119788,255.12,700.00,700000000,955119788,955,73.29%,250,382.05%,21.89%,,,http://www.amazon.com/gp/product/B015K53VXW/?tag=titb-20,1,,,,"Dec 17, 2014",
Transformers: Age of Extinction,2014,sequel,18,32,25,52,46,6,49,-24,,"action, adventure, sci-fi",100038390,100.04,45439076,45.44,845.97,845966021,1091405097,"1,091",77.51%,210,519.72%,47.64%,,,http://www.amazon.com/gp/product/B00L83TQR6/?tag=titb-20,1,,,,"Jun 27, 2014",
The Amazing Spider-Man 2,2014,sequel,53,53,53,66,68,-2,67,-14,,"action, adventure",91608337,91.61,202853933,202.85,506.13,506128390,708982323,709,71.39%,200,354.49%,45.80%,,,http://www.amazon.com/gp/product/B00JPNZPCG/?tag=titb-20,1,,,,"May 2, 2014",
X-Men: Days of Future Past,2014,sequel,91,74,83,92,83,9,88,-5,,"action, adventure, sci-fi, thriller, fantasy",90823660,90.82,233921534,233.92,514.20,514200000,748121534,748,68.73%,200,374.06%,45.41%,,,http://www.amazon.com/gp/product/B00OH74BXY/?tag=titb-20,1,,,,"May 23, 2014",
Maleficent,2014,adaptation,49,56,53,71,69,2,70,-18,,"action, adventure, drama, mystery, thriller, fantasy, romance, family",69431298,69.43,241410378,241.41,517.00,517000000,758410378,758,68.17%,180,421.34%,38.57%,,,http://www.amazon.com/gp/product/B00P7PK6JS/?tag=titb-20,1,,,,"May 30, 2014",
Edge of Tomorrow,2014,adaptation,90,71,81,90,84,6,87,-7,,"action, sci-fi",28760246,28.76,100206256,100.21,269.00,269000000,369206256,369,72.86%,178,207.42%,16.16%,,,http://www.amazon.com/gp/product/B00KW25MFY/?tag=titb-20,1,,,,"Jun 6, 2014",
Guardians of the Galaxy,2014,adaptation,91,76,84,93,85,8,89,-6,,"action, adventure, sci-fi",94320883,94.32,333176600,333.18,441.00,441000000,774176600,774,56.96%,170,455.40%,55.48%,,,http://www.amazon.com/gp/product/B00QROJ94Q/?tag=titb-20,1,,,,"Aug 1, 2014",
