Date,Land Class,Land Category,Commodity,Volume
11/01/2003,Native American,Onshore,Gas Prod Vol (mcf),30633716
11/01/2003,Native American,Onshore,Oil Prod Vol (bbl),889309
11/01/2003,Federal,Offshore,Gas Prod Vol (mcf),349015271
11/01/2003,Federal,Offshore,Oil Prod Vol (bbl),47184399
11/01/2003,Native American,Onshore,Coal Prod Vol (tons),2417148
11/01/2003,Federal,Onshore,Coal Prod Vol (tons),36994823
12/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31239996
12/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49252715
12/01/2003,Native American,Onshore,Oil Prod Vol (bbl),936555
12/01/2003,Federal,Onshore,Coal Prod Vol (tons),38913508
12/01/2003,Native American,Onshore,Coal Prod Vol (tons),2526153
12/01/2003,Federal,Onshore,Gas Prod Vol (mcf),266871189
12/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8114210
12/01/2003,Federal,Offshore,Gas Prod Vol (mcf),362719247
01/01/2004,Native American,Onshore,Oil Prod Vol (bbl),940248
01/01/2004,Federal,Offshore,Gas Prod Vol (mcf),365448070
01/01/2004,Federal,Offshore,Oil Prod Vol (bbl),50125544
01/01/2004,Federal,Onshore,Oil Prod Vol (bbl),8045902
01/01/2004,Federal,Onshore,Coal Prod Vol (tons),39793156
01/01/2004,Federal,Onshore,Gas Prod Vol (mcf),266076437
01/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30638895
01/01/2004,Native American,Onshore,Coal Prod Vol (tons),2790396
02/01/2004,Federal,Onshore,Coal Prod Vol (tons),34206060
02/01/2004,Native American,Onshore,Coal Prod Vol (tons),2274690
02/01/2004,Federal,Offshore,Gas Prod Vol (mcf),342796942
02/01/2004,Federal,Offshore,Oil Prod Vol (bbl),47429201
02/01/2004,Native American,Onshore,Oil Prod Vol (bbl),890828
02/01/2004,Native American,Onshore,Gas Prod Vol (mcf),28657375
02/01/2004,Federal,Onshore,Gas Prod Vol (mcf),245424919
02/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7581949
03/01/2004,Federal,Onshore,Gas Prod Vol (mcf),264153272
03/01/2004,Native American,Onshore,Oil Prod Vol (bbl),956007
03/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30529541
03/01/2004,Federal,Offshore,Gas Prod Vol (mcf),375063043
03/01/2004,Federal,Offshore,Oil Prod Vol (bbl),50178956
03/01/2004,Federal,Onshore,Coal Prod Vol (tons),38220610
03/01/2004,Federal,Onshore,Oil Prod Vol (bbl),8050749
03/01/2004,Native American,Onshore,Coal Prod Vol (tons),2926896
04/01/2004,Federal,Onshore,Gas Prod Vol (mcf),254437311
04/01/2004,Federal,Onshore,Coal Prod Vol (tons),37325558
04/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7753470
04/01/2004,Federal,Offshore,Gas Prod Vol (mcf),362132217
04/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29685549
04/01/2004,Native American,Onshore,Oil Prod Vol (bbl),953431
04/01/2004,Native American,Onshore,Coal Prod Vol (tons),2441696
04/01/2004,Federal,Offshore,Oil Prod Vol (bbl),48107861
05/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30253229
05/01/2004,Native American,Onshore,Coal Prod Vol (tons),2714456
05/01/2004,Federal,Offshore,Gas Prod Vol (mcf),367575551
05/01/2004,Federal,Offshore,Oil Prod Vol (bbl),50195628
05/01/2004,Federal,Onshore,Coal Prod Vol (tons),37085297
05/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7951528
05/01/2004,Federal,Onshore,Gas Prod Vol (mcf),256744555
05/01/2004,Native American,Onshore,Oil Prod Vol (bbl),986457
06/01/2004,Native American,Onshore,Coal Prod Vol (tons),2814287
06/01/2004,Native American,Onshore,Oil Prod Vol (bbl),914967
06/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29256413
06/01/2004,Federal,Onshore,Coal Prod Vol (tons),37941288
06/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7641527
06/01/2004,Federal,Onshore,Gas Prod Vol (mcf),247777517
06/01/2004,Federal,Offshore,Gas Prod Vol (mcf),343370432
06/01/2004,Federal,Offshore,Oil Prod Vol (bbl),45749465
07/01/2004,Federal,Offshore,Oil Prod Vol (bbl),53256487
07/01/2004,Federal,Offshore,Gas Prod Vol (mcf),361432186
07/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30102925
07/01/2004,Native American,Onshore,Oil Prod Vol (bbl),953360
07/01/2004,Native American,Onshore,Coal Prod Vol (tons),2257866
07/01/2004,Federal,Onshore,Gas Prod Vol (mcf),262225457
